BulID,SpellID,Rmin,Rmax,Shape,HP,Turns,Points,EXP,PP,Anime,Update,マップ,Slots,EF0,DEF0,PRY0,MOV0,EF1,DEF1,PRY1,MOV1,EF2,DEF2,PRY2,MOV2,EF3,DEF3,PRY3,MOV3,EF4,DEF4,PRY4,MOV4,EF5,DEF5,PRY5,MOV5,EF6,DEF6,PRY6,MOV6
Alice_en01,,1,6,circle,0,0,10000,200,10,,0,0,1,,5,30,0.45,,,,,,,,,,,,,,,,,,,,,,,,
Alice_en02,,1,4,circle,0,0,10000,250,10,,0,0,1,PRY-_OROSHI,5,30,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Alice_en03,,1,4,circle,0,0,10000,250,10,,0,0,1,PRY-_OROSHI,5,30,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Aya_en01,,1,4,*pondering,0,0,6000,180,10,,0,0,1,PRY+_AYA,10,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Aya_en02,,1,4,*pondering,0,0,6000,180,10,,0,0,1,PRY+_AYA,10,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Aya_en02,OROSHI,1,4,circle,14800,3,8000,200,10,oroshi,1,0,1,PRY-_OROSHI,35,10,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Aya_en02,FUBI,1,4,circle,18000,3,10000,260,10,fubi,1,0,2,,15,15,2,FUBI,12,20,0.8,,,,,,,,,,,,,,,,,,,,
Aya_en03,,1,4,*pondering,0,0,6000,180,10,,0,0,1,PRY+_HATATE,10,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Aya_en04,,1,4,*pondering,0,0,6000,180,10,,0,0,1,PRY+_HATATE,10,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Bakebake_en01,,1,5,fan,0,0,1600,90,8,spiral,0,0,1,,25,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Bakebake_en02,,1,5,fan,0,0,1600,90,8,spiral,0,0,1,,25,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Bakebake_en03,,1,5,fan,0,0,1600,90,8,spiral,0,0,1,,25,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
BakebakeL_en01,,1,2,square,0,0,8000,120,10,,0,0,1,MOV-_ALL,40,0,2,,,,,,,,,,,,,,,,,,,,,,,,
BakebakeL_en02,,1,2,square,0,0,8000,120,10,,0,0,1,MOV-_ALL,40,0,2,,,,,,,,,,,,,,,,,,,,,,,,
BakebakeL_en03,,1,2,square,0,0,8000,120,10,,0,0,1,MOV-_ALL,40,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Bat_en01,,1,2,circle,0,0,2000,150,8,spiral,0,0,1,,25,25,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Bat_en02,,1,2,circle,0,0,2000,150,8,spiral,0,0,1,,25,25,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Bat_en03,,1,2,circle,0,0,2000,150,8,spiral,0,0,1,,25,25,1.2,,,,,,,,,,,,,,,,,,,,,,,,
Byakuren_en01,,0,3,circle,0,0,25000,250,25,,0,0,1,DEF+_BYAKURENN,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
ByakurenN_en01,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
ByakurenN_en01,BYAKURENN,1,7,circle,30000,3,40000,280,30,majin,1,0,2,PARAM+_ALL_BYAKURENN,15,15,0.2,NUMACT+_BYAKURENN,15,15,0.2,,,,,,,,,,,,,,,,,,,,
ByakurenN_en02,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
ByakurenN_en02,BYAKURENN,1,7,circle,30000,3,40000,280,30,majin,1,0,2,PARAM+_ALL_BYAKURENN,15,15,0.2,NUMACT+_BYAKURENN,15,15,0.2,,,,,,,,,,,,,,,,,,,,
ByakurenN_en03,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
ByakurenN_en03,BYAKURENN,1,7,circle,30000,3,40000,280,30,majin,1,0,2,PARAM+_ALL_BYAKURENN,15,15,0.2,NUMACT+_BYAKURENN,15,15,0.2,,,,,,,,,,,,,,,,,,,,
ByakurenN_en04,,0,5,circle,0,0,0,0,0,,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ByakurenN_en04,NIGHTMARE_B07,1,7,circle,30000,5,50000,300,30,majin,1,0,2,PARAM+_ALL_BYAKURENN2,15,15,0.2,PARAM+_ALL_BYAKURENN2,15,15,0.2,,,,,,,,,,,,,,,,,,,,
Chen_en01,,1,3,circle,0,0,8500,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en01,CHEN,0,6,circle,18000,3,12500,220,15,Chen,0,0,1,BUNSHIN_CHEN2,18,30,1,BUNSHIN_CHEN,18,30,1,,,,,,,,,,,,,,,,,,,,
Chen_en02,,1,3,circle,0,0,8500,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en03,,1,3,circle,0,0,8500,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en04,,1,3,circle,0,0,5000,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en05,,1,3,circle,0,0,5000,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en06,,1,3,circle,0,0,5000,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Chen_en07,,1,3,circle,0,0,5000,180,15,spiral,0,0,1,,25,10,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en01,,3,6,circle,0,0,6000,180,10,spiral,0,0,1,,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en01,PFREEZE,1,5,circle,9900,4,10000,200,15,random,0,0,1,NO_MOVE,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en02,,3,6,circle,0,0,3500,150,10,spiral,0,0,1,,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en03,,3,6,circle,0,0,3500,150,10,spiral,0,0,1,,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en04,,3,6,circle,0,0,3500,150,10,spiral,0,0,1,,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en05,,3,6,circle,0,0,3500,150,10,spiral,0,0,1,,25,10,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en06,,3,6,circle,0,0,5500,180,10,spiral,0,0,1,NO_MOVE,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en07,,3,6,circle,0,0,5500,180,10,spiral,0,0,1,NO_MOVE,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
Cirno_en08,,3,6,circle,0,0,5500,180,10,spiral,0,0,1,NO_MOVE,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
Daiyosei_en01,,1,6,circle,0,0,6000,150,10,spiral,0,0,1,HP+_DAICHAN,5,5,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Daiyosei_en02,,1,6,circle,0,0,6000,150,10,spiral,0,0,1,HP+_DAICHAN,5,5,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Daiyosei_en03,,1,6,circle,0,0,6000,150,10,spiral,0,0,1,HP+_DAICHAN,5,5,0.8,,,,,,,,,,,,,,,,,,,,,,,,
DreamA_en01,,6,12,square,0,0,7500,170,10,spiral,0,0,1,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
DreamB_en01,,3,5,circle,0,0,8000,170,10,,0,0,1,RANGE-_ALL,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,
DreamB_en02,,3,5,circle,0,0,8000,170,10,,0,0,1,RANGE-_ALL,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,
DreamC_en01,,2,4,square,0,0,15000,200,10,,0,0,1,,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en01,,1,7,circle,0,0,14000,220,15,,0,0,1,RANGE-_ALL,5,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en01,JUOH,1,1,,35000,3,18000,220,15,juoh,1,0,2,NOENTER,50,50,3,DAM-_EIKI,50,50,0,,,,,,,,,,,,,,,,,,,,
Eiki_en01,JUDGEMENT,1,1,,40000,3,20000,220,15,judgement,0,1,1,MOV-_ALL2,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en01,JOHARI,1,1,,40000,3,25000,250,20,johari,0,0,2,JOHARI+,40,40,1.5,NOENTER,50,50,3,,,,,,,,,,,,,,,,,,,,
Eiki_en02,,1,7,circle,0,0,14000,220,15,,0,0,1,RANGE-_ALL,5,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en02,JUOH,1,1,,35000,3,18000,220,15,juoh,1,0,2,NOENTER,50,50,3,DAM-_EIKI,50,50,0,,,,,,,,,,,,,,,,,,,,
Eiki_en02,JUDGEMENT,1,1,,40000,3,20000,220,15,judgement,0,1,1,MOV-_ALL2,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en02,JOHARI,1,1,,40000,3,25000,250,20,johari,0,0,2,JOHARI+,40,40,1.5,NOENTER,50,50,3,,,,,,,,,,,,,,,,,,,,
Eiki_en03,,1,7,circle,0,0,14000,220,15,,0,0,1,RANGE-_ALL,5,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en03,JUOH,1,1,,35000,3,18000,220,15,juoh,1,0,2,NOENTER,50,50,3,DAM-_EIKI,50,50,0,,,,,,,,,,,,,,,,,,,,
Eiki_en03,JUDGEMENT,1,1,,40000,3,20000,220,15,judgement,0,1,1,MOV-_ALL2,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,
Eiki_en03,JOHARI,1,1,,40000,3,25000,250,20,johari,0,0,2,JOHARI+,40,40,1.5,NOENTER,50,50,3,,,,,,,,,,,,,,,,,,,,
