CharDataID,CharName,Face,ATP,MGR,CRT,DEF,PRY,HIT,SP,気質,Type,SpID1,SpID2,SpID3,SpID4,SpID5,SpID6,L1,L2,L3,L4,L5,L6,SP1,SP2,SP3,SP4,SP5,SP6
Akyu_en01,아큐,Akyu0a,80,100,170,70,160,155,25,CAREFUL,SP_CRUE,HIRAMEKI,TEISATSU,SHUCHU,KOUN,NA,NA,1,1,1,1,100,100,15,15,15,40,0,0
Akyu01,아큐,Akyu0a,80,100,170,70,160,155,25,CAREFUL,SP_CRUE,HIRAMEKI,TEISATSU,SHUCHU,KOUN,CHOKUGEKI,HOKYU,1,1,15,20,41,65,15,15,15,40,20,65
Akyu02,아큐,Akyu0a,80,100,170,70,160,155,40,CAREFUL,ATP_PRY,HIRAMEKI,TEISATSU,SHUCHU,KOUN,CHOKUGEKI,HOKYU,1,1,15,20,41,65,15,15,15,40,20,65
Alice_en01,앨리스,Alice0a,118,142,191,84,171,182,42,ACTIVE,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice01,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice02,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice03,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,1,5,15,15,20,30,80
Alice04,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice05,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice06,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,1,5,15,15,20,30,80
Alice07,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice08,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,100,5,15,15,20,30,80
Alice09,앨리스,Alice0a,118,142,191,84,171,182,42,COOL,ALL_MGR,TEKAGEN,SHUCHU,HIRAMEKI,CHOKUGEKI,KAISHIN,AI,1,5,12,23,32,1,5,15,15,20,30,80
Aya_en01,아야,Aya0a,140,137,182,80,185,172,40,BRAVE,ATP_PRY,TEISATSU,KASOKU,HIRAMEKI,CHOKKAN,NEKKETSU,TEKAGEN,1,1,14,25,39,47,15,15,15,25,40,5
Aya_en02,아야,Aya0a,140,137,182,80,185,172,40,BRAVE,ATP_PRY,TEISATSU,KASOKU,HIRAMEKI,CHOKKAN,NEKKETSU,TEKAGEN,1,1,14,25,39,47,15,15,15,25,40,5
Aya01,아야,Aya0a,140,137,182,80,185,172,40,BRAVE,ATP_PRY,TEISATSU,KASOKU,TEKAGEN,HIRAMEKI,CHOKKAN,NEKKETSU,1,1,1,14,25,47,15,15,5,15,25,40
Bakebake_en01,바케바케,Bakebake0a,132,115,157,97,120,141,60,ACTIVE,ATP_DEF,KONJO,SHUCHU,NEKKETSU,JIBAKU,NA,NA,1,10,40,40,40,40,10,10,15,5,0,0
Bakebake_en02,바케바케,Bakebake0a,132,115,157,97,120,141,60,ACTIVE,ATP_DEF,KONJO,SHUCHU,NEKKETSU,JIBAKU,NA,NA,1,10,40,40,40,40,10,10,15,5,0,0
Bakebake_en03,바케바케,Bakebake0a,132,115,157,97,120,141,60,ACTIVE,ATP_DEF,KONJO,SHUCHU,NEKKETSU,JIBAKU,NA,NA,1,10,40,40,40,40,10,10,15,5,0,0
BakebakeL_en01,거대바케바케,BakebakeL0a,135,110,162,99,110,151,65,ACTIVE,ATP_DEF,DOKONJO,HICCHU,NEKKETSU,TEPPEKI,NA,NA,1,1,1,1,1,1,10,10,15,10,0,0
BakebakeL_en02,거대바케바케,BakebakeL0a,135,110,162,99,110,151,65,ACTIVE,ATP_DEF,DOKONJO,HICCHU,NEKKETSU,TEPPEKI,NA,NA,1,1,1,1,1,1,10,10,15,10,0,0
BakebakeL_en03,거대바케바케,BakebakeL0a,135,110,162,99,110,151,65,ACTIVE,ATP_DEF,DOKONJO,HICCHU,NEKKETSU,TEPPEKI,NA,NA,1,1,1,1,1,1,10,10,15,10,0,0
Bat_en01,박쥐,Bat0a,120,132,140,80,145,140,40,ACTIVE,MGR_PRY,KASOKU,SHUCHU,KAISHIN,NA,NA,NA,1,10,30,30,30,30,10,10,15,0,0,0
Bat_en02,박쥐,Bat0a,120,132,140,80,145,140,40,ACTIVE,MGR_PRY,KASOKU,SHUCHU,KAISHIN,NA,NA,NA,1,10,30,30,30,30,10,10,15,0,0,0
Bat_en03,박쥐,Bat0a,120,132,140,80,145,140,40,ACTIVE,MGR_PRY,KASOKU,SHUCHU,KAISHIN,NA,NA,NA,1,10,30,30,30,30,10,10,15,0,0,0
Byakuren_en01,뱌쿠렌,Byakuren0a,135,125,176,85,159,170,45,ACTIVE,ALL_ATP,AI,SHUCHU,HIRAMEKI,SHINRAI,CHOKUGEKI,NEKKETSU,1,13,19,24,40,47,80,10,10,10,15,20
Byakuren01,뱌쿠렌,Byakuren0a,135,125,176,85,159,170,45,ACTIVE,ALL_ATP,AI,SHUCHU,HIRAMEKI,SHINRAI,RENGEKI,NEKKETSU,1,13,19,24,40,47,80,15,15,20,50,45
ByakurenH01,뱌쿠렌,ByakurenH0a,145,140,176,97,170,173,45,BRAVE,ALL_ATP,KASOKU,HICCHU,TEPPEKI,CHOKUGEKI,GEKITO,NEKKETSU,1,13,19,24,40,47,15,20,25,20,50,40
ByakurenN_en01,악몽,ByakurenN0a,135,125,176,85,159,170,45,ACTIVE,ALL_ATP,TEPPEKI,SHUCHU,HIRAMEKI,KONJO,CHOKUGEKI,NEKKETSU,1,13,22,30,40,47,10,10,10,10,10,15
ByakurenN_en02,악몽,ByakurenN0a,135,125,176,85,159,170,45,ACTIVE,ALL_ATP,TEPPEKI,SHUCHU,HIRAMEKI,KONJO,CHOKUGEKI,NEKKETSU,1,13,22,30,40,47,10,10,10,10,10,15
ByakurenN_en03,악몽,ByakurenN0a,135,125,176,85,159,170,45,ACTIVE,ALL_ATP,TEPPEKI,SHUCHU,HIRAMEKI,KONJO,CHOKUGEKI,NEKKETSU,1,13,22,30,40,47,10,10,10,10,10,15
ByakurenN_en04,악몽,ByakurenN0a,135,125,176,85,159,170,45,BRAVE,ALL_ATP,TEPPEKI,SHUCHU,HIRAMEKI,KONJO,CHOKUGEKI,NEKKETSU,1,1,1,1,1,1,10,10,10,10,10,15
Chen_en01,첸,Chen0a,137,125,158,81,172,159,41,ACTIVE,ATP_PRY,KASOKU,SHINRAI,SHUCHU,HIRAMEKI,KIAI,KISHU,1,10,14,18,26,47,5,15,15,15,30,60
Chen01,첸,Chen0a,137,125,158,81,172,159,41,ACTIVE,ATP_PRY,KASOKU,DORYOKU,SHUCHU,HIRAMEKI,KIAI,KISHU,1,10,14,18,26,47,10,20,20,15,30,60
Cirno_en01,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Cirno_en02,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Cirno01,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Cirno02,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Cirno03,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Cirno04,치르노,Cirno0a,112,140,145,85,167,168,45,BRAVE,MGR_PRY,FUKUTSU,HICCHU,DOKONJO,NEKKETSU,YUJO,YUKI,1,1,8,25,38,60,15,20,20,40,40,80
Daiyosei_en01,대요정,Daiyosei0a,110,130,162,95,165,160,50,PASSIVE,SP_PRY,SHINRAI,OEN,HIRAMEKI,SHUKUFUKU,YUJO,INORI,1,11,18,26,38,55,5,30,10,10,20,40
Daiyosei01,대요정,Daiyosei0a,110,130,162,95,165,160,50,PASSIVE,SP_PRY,SHINRAI,OEN,HIRAMEKI,SHUKUFUKU,YUJO,INORI,1,11,18,26,38,55,15,30,15,50,40,40
Daiyosei02,대요정,Daiyosei0a,110,130,162,95,165,160,50,PASSIVE,SP_PRY,SHINRAI,OEN,HIRAMEKI,SHUKUFUKU,YUJO,INORI,1,11,18,26,38,55,15,30,15,50,40,40
DreamA_en01,꿈의 빛,DreamA0a,130,130,165,90,152,162,50,ACTIVE,MGR_DEF,KONJO,TEPPEKI,SOGEKI,SHUCHU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
DreamB_en01,꿈의 빛,DreamB0a,130,130,165,90,152,162,50,ACTIVE,MGR_DEF,KONJO,TEPPEKI,KASOKU,HICCHU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
DreamB_en02,꿈의 빛,DreamB0a,130,130,165,90,152,162,50,ACTIVE,MGR_DEF,KONJO,TEPPEKI,KASOKU,HICCHU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
DreamC_en01,꿈의 앙금,DreamC0a,130,130,165,90,152,162,50,ACTIVE,MGR_DEF,KONJO,TEPPEKI,SOGEKI,SHUCHU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
Eiki_en01,에이키,Eiki0a,136,149,183,95,171,174,49,BOSS,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
Eiki_en02,에이키,Eiki0a,136,149,183,95,171,174,49,BOSS,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
Eiki_en03,에이키,Eiki0a,136,149,183,95,171,174,49,BOSS,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
Eiki01,에이키,Eiki0a,136,149,183,95,171,174,49,BRAVE,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,25,15,15,70,20,40
EikiN_en01,악몽,EikiN0a,136,149,183,95,171,174,49,BRAVE,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
EikiN_en02,악몽,EikiN0a,136,149,183,95,171,174,49,BRAVE,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
EikiN_en03,악몽,EikiN0a,136,149,183,95,171,174,49,BRAVE,MGR_PRY,CHOKKAN,FUKUTSU,SHUCHU,GEKIDO,CHOKUGEKI,NEKKETSU,1,5,11,20,32,45,10,10,10,10,15,10
Eirin_en01,에이린,Eirin0a,120,141,190,100,135,182,48,BOSS,MGR_DEF,HICCHU,TEKAGEN,TEPPEKI,SOGEKI,HOKYU,FUKKATSU,1,1,11,18,40,65,10,5,15,10,20,100
