CharDataID	CharName	Face	ATP	MGR	CRT	DEF	PRY	HIT	SP	気質	Type	SpID1	SpID2	SpID3	SpID4	SpID5	SpID6	L1	L2	L3	L4	L5	L6	SP1	SP2	SP3	SP4	SP5	SP6	備考
Akyu_en01	阿求	Akyu0a	80	100	170	70	160	155	25	CAREFUL	SP_CRUE	HIRAMEKI	TEISATSU	SHUCHU	KOUN	BLANK	BLANK	1	1	1	1	100	100	15	15	15	40	0	0	M40 Seirensen
Akyu01	阿求	Akyu0a	80	100	170	70	160	155	25	CAREFUL	SP_CRUE	HIRAMEKI	TEISATSU	SHUCHU	KOUN	CHOKUGEKI	HOKYU	1	1	15	20	41	65	15	15	15	40	20	65	
Akyu02	阿求	Akyu0a	80	100	170	70	160	155	40	CAREFUL	ATP_PRY	HIRAMEKI	TEISATSU	SHUCHU	KOUN	CHOKUGEKI	HOKYU	1	1	15	20	41	65	15	15	15	40	20	65	隠しユニット
Alice_en01	アリス	Alice0a	118	142	191	84	171	182	42	ACTIVE	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	
Alice01	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	
Alice02	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	C65～
Alice03	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	1	5	15	15	20	30	80	C69～
Alice04	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	信頼補正+1
Alice05	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	信頼補正+1　C65～
Alice06	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	1	5	15	15	20	30	80	信頼補正+1　C69～
Alice07	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	信頼補正+2
Alice08	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	100	5	15	15	20	30	80	信頼補正+2　C65～
Alice09	アリス	Alice0a	118	142	191	84	171	182	42	COOL	ALL_MGR	TEKAGEN	SHUCHU	HIRAMEKI	CHOKUGEKI	KAISHIN	AI	1	5	12	23	32	1	5	15	15	20	30	80	信頼補正+2　C69～
Aya_en01	文	Aya0a	140	137	182	80	185	172	40	BRAVE	ATP_PRY	TEISATSU	KASOKU	HIRAMEKI	CHOKKAN	NEKKETSU	TEKAGEN	1	1	14	25	39	47	15	15	15	25	40	5	
Aya_en02	文	Aya0a	140	137	182	80	185	172	40	BRAVE	ATP_PRY	TEISATSU	KASOKU	HIRAMEKI	CHOKKAN	NEKKETSU	TEKAGEN	1	1	14	25	39	47	15	15	15	25	40	5	M40 Hard～
Aya01	文	Aya0a	140	137	182	80	185	172	40	BRAVE	ATP_PRY	TEISATSU	KASOKU	TEKAGEN	HIRAMEKI	CHOKKAN	NEKKETSU	1	1	1	14	25	47	15	15	5	15	25	40	
Bakebake_en01	ばけばけ	Bakebake0a	132	115	157	97	120	141	60	ACTIVE	ATP_DEF	KONJO	SHUCHU	NEKKETSU	JIBAKU	BLANK	BLANK	1	10	40	40	40	40	10	10	15	5	0	0	
Bakebake_en02	ばけばけ	Bakebake0a	132	115	157	97	120	141	60	ACTIVE	ATP_DEF	KONJO	SHUCHU	NEKKETSU	JIBAKU	BLANK	BLANK	1	10	40	40	40	40	10	10	15	5	0	0	Hard
Bakebake_en03	ばけばけ	Bakebake0a	132	115	157	97	120	141	60	ACTIVE	ATP_DEF	KONJO	SHUCHU	NEKKETSU	JIBAKU	BLANK	BLANK	1	10	40	40	40	40	10	10	15	5	0	0	Lunatic
BakebakeL_en01	おおばけばけ	BakebakeL0a	135	110	162	99	110	151	65	ACTIVE	ATP_DEF	DOKONJO	HICCHU	NEKKETSU	TEPPEKI	BLANK	BLANK	1	1	1	1	1	1	10	10	15	10	0	0	
BakebakeL_en02	おおばけばけ	BakebakeL0a	135	110	162	99	110	151	65	ACTIVE	ATP_DEF	DOKONJO	HICCHU	NEKKETSU	TEPPEKI	BLANK	BLANK	1	1	1	1	1	1	10	10	15	10	0	0	Hard
BakebakeL_en03	おおばけばけ	BakebakeL0a	135	110	162	99	110	151	65	ACTIVE	ATP_DEF	DOKONJO	HICCHU	NEKKETSU	TEPPEKI	BLANK	BLANK	1	1	1	1	1	1	10	10	15	10	0	0	Lunatic
Bat_en01	コウモリ	Bat0a	120	132	140	80	145	140	40	ACTIVE	MGR_PRY	KASOKU	SHUCHU	KAISHIN	BLANK	BLANK	BLANK	1	10	30	30	30	30	10	10	15	0	0	0	
Bat_en02	コウモリ	Bat0a	120	132	140	80	145	140	40	ACTIVE	MGR_PRY	KASOKU	SHUCHU	KAISHIN	BLANK	BLANK	BLANK	1	10	30	30	30	30	10	10	15	0	0	0	Hard
Bat_en03	コウモリ	Bat0a	120	132	140	80	145	140	40	ACTIVE	MGR_PRY	KASOKU	SHUCHU	KAISHIN	BLANK	BLANK	BLANK	1	10	30	30	30	30	10	10	15	0	0	0	Lunatic
Byakuren_en01	白蓮	Byakuren0a	135	125	176	85	159	170	45	ACTIVE	ALL_ATP	AI	SHUCHU	HIRAMEKI	SHINRAI	CHOKUGEKI	NEKKETSU	1	13	19	24	40	47	80	10	10	10	15	20	
Byakuren01	白蓮	Byakuren0a	135	125	176	85	159	170	45	ACTIVE	ALL_ATP	AI	SHUCHU	HIRAMEKI	SHINRAI	RENGEKI	NEKKETSU	1	13	19	24	40	47	80	15	15	20	50	45	
ByakurenH01	白蓮	ByakurenH0a	145	140	176	97	170	173	45	BRAVE	ALL_ATP	KASOKU	HICCHU	TEPPEKI	CHOKUGEKI	GEKITO	NEKKETSU	1	13	19	24	40	47	15	20	25	20	50	40	
ByakurenN_en01	悪夢	ByakurenN0a	135	125	176	85	159	170	45	ACTIVE	ALL_ATP	TEPPEKI	SHUCHU	HIRAMEKI	KONJO	CHOKUGEKI	NEKKETSU	1	13	22	30	40	47	10	10	10	10	10	15	
ByakurenN_en02	悪夢	ByakurenN0a	135	125	176	85	159	170	45	ACTIVE	ALL_ATP	TEPPEKI	SHUCHU	HIRAMEKI	KONJO	CHOKUGEKI	NEKKETSU	1	13	22	30	40	47	10	10	10	10	10	15	Hard
ByakurenN_en03	悪夢	ByakurenN0a	135	125	176	85	159	170	45	ACTIVE	ALL_ATP	TEPPEKI	SHUCHU	HIRAMEKI	KONJO	CHOKUGEKI	NEKKETSU	1	13	22	30	40	47	10	10	10	10	10	15	Lunatic
Chen_en01	橙	Chen0a	137	125	158	81	172	159	41	ACTIVE	ATP_PRY	KASOKU	SHINRAI	SHUCHU	HIRAMEKI	KIAI	KISHU	1	10	14	18	26	47	5	15	15	15	30	60	
