CharDataID,SkillID,L1,L2,L3,L4,L5,L6,L7,L8,L9
Akyu01,AQN,1,,,,,,,,
Akyu01,KIAI,1,1,1,,,,,,
Akyu01,MIKIRI,1,,,,,,,,
Akyu02,AQN,1,,,,,,,,
Akyu02,KIAI,1,1,1,,,,,,
Akyu02,MIKIRI,1,,,,,,,,
Akyu02,SPIRIT+_AKYU,1,,,,,,,,
Akyu02,Y_DOCTOR,15,30,,,,,,,
Akyu02,GUMONJI,1,,,,,,,,
Akyu02,WEP+_AKYU,1,,,,,,,,
Akyu_en01,,,,,,,,,,
Alice01,DOLL_SHANGHAI,1,,,,,,,,
Alice01,MARIONETTE,1,29,41,,,,,,
Alice01,M_SHIELD+,18,28,38,,,,,,
Alice01,D_BRAIN,20,46,70,,,,,,
Alice01,DOLL_NUM+,30,,,,,,,,
Alice01,MAHOU,1,5,13,22,31,43,55,69,
Alice01,ACCURATE,1,,,,,,,,
Alice01,SAVE_MP,1,,,,,,,,
Alice01,P_EVADE,1,,,,,,,,
Alice02,DOLL_SHANGHAI,1,,,,,,,,
Alice02,MARIONETTE,1,29,41,,,,,,
Alice02,M_SHIELD+,18,28,38,,,,,,
Alice02,D_BRAIN,20,46,70,,,,,,
Alice02,DOLL_NUM+,30,,,,,,,,
Alice02,MAHOU,1,5,13,22,31,43,55,69,
Alice02,ACCURATE,1,,,,,,,,
Alice02,SAVE_MP,1,,,,,,,,
Alice02,P_EVADE,1,,,,,,,,
Alice03,DOLL_SHANGHAI,1,,,,,,,,
Alice03,MARIONETTE,1,29,41,,,,,,
Alice03,M_SHIELD+,18,28,38,,,,,,
Alice03,D_BRAIN,20,46,70,,,,,,
Alice03,DOLL_NUM+,30,,,,,,,,
Alice03,MAHOU,1,5,13,22,31,43,55,69,
Alice03,ACCURATE,1,,,,,,,,
Alice03,SAVE_MP,1,,,,,,,,
Alice03,P_EVADE,1,,,,,,,,
Alice04,DOLL_SHANGHAI,1,,,,,,,,
Alice04,MARIONETTE,1,29,41,,,,,,
Alice04,M_SHIELD+,18,28,38,,,,,,
Alice04,D_BRAIN,20,46,70,,,,,,
Alice04,DOLL_NUM+,30,,,,,,,,
Alice04,MAHOU,1,5,13,22,31,43,55,69,
Alice04,ACCURATE,1,,,,,,,,
Alice04,SAVE_MP,1,,,,,,,,
Alice04,P_EVADE,1,,,,,,,,
Alice05,DOLL_SHANGHAI,1,,,,,,,,
Alice05,MARIONETTE,1,29,41,,,,,,
Alice05,M_SHIELD+,18,28,38,,,,,,
Alice05,D_BRAIN,20,46,70,,,,,,
Alice05,DOLL_NUM+,30,,,,,,,,
Alice05,MAHOU,1,5,13,22,31,43,55,69,
Alice05,ACCURATE,1,,,,,,,,
Alice05,SAVE_MP,1,,,,,,,,
Alice05,P_EVADE,1,,,,,,,,
Alice06,DOLL_SHANGHAI,1,,,,,,,,
Alice06,MARIONETTE,1,29,41,,,,,,
Alice06,M_SHIELD+,18,28,38,,,,,,
Alice06,D_BRAIN,20,46,70,,,,,,
Alice06,DOLL_NUM+,30,,,,,,,,
Alice06,MAHOU,1,5,13,22,31,43,55,69,
Alice06,ACCURATE,1,,,,,,,,
Alice06,SAVE_MP,1,,,,,,,,
Alice06,P_EVADE,1,,,,,,,,
Alice07,DOLL_SHANGHAI,1,,,,,,,,
Alice07,MARIONETTE,1,29,41,,,,,,
Alice07,M_SHIELD+,18,28,38,,,,,,
Alice07,D_BRAIN,20,46,70,,,,,,
Alice07,DOLL_NUM+,30,,,,,,,,
Alice07,MAHOU,1,5,13,22,31,43,55,69,
Alice07,ACCURATE,1,,,,,,,,
Alice07,SAVE_MP,1,,,,,,,,
Alice07,P_EVADE,1,,,,,,,,
Alice08,DOLL_SHANGHAI,1,,,,,,,,
Alice08,MARIONETTE,1,29,41,,,,,,
Alice08,M_SHIELD+,18,28,38,,,,,,
Alice08,D_BRAIN,20,46,70,,,,,,
Alice08,DOLL_NUM+,30,,,,,,,,
Alice08,MAHOU,1,5,13,22,31,43,55,69,
Alice08,ACCURATE,1,,,,,,,,
Alice08,SAVE_MP,1,,,,,,,,
Alice08,P_EVADE,1,,,,,,,,
Alice09,DOLL_SHANGHAI,1,,,,,,,,
Alice09,MARIONETTE,1,29,41,,,,,,
Alice09,M_SHIELD+,18,28,38,,,,,,
Alice09,D_BRAIN,20,46,70,,,,,,
Alice09,DOLL_NUM+,30,,,,,,,,
Alice09,MAHOU,1,5,13,22,31,43,55,69,
Alice09,ACCURATE,1,,,,,,,,
Alice09,SAVE_MP,1,,,,,,,,
Alice09,P_EVADE,1,,,,,,,,
