UnitID,Name,Demo,種,Damage,RMin,RMax,Hit,Crt,L,P,S,弾,MP,Pow,空,陸,水,夜,支,バ,サ,Special,Shape,Partner,BGM,Effect
Akyu01,붓,fude,1,1000,1,1,10,40,0,1,1,0,5,0,A,A,C,A,0,1,0,,,,,
Akyu02,붓,fude,1,1900,1,2,10,40,0,1,1,0,5,0,A,A,C,A,1,1,1,,,,,
Alice_en01,킥,kick,1,2200,1,1,40,25,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Alice_en01,인형조창,ningyososo,1,2300,2,3,10,15,0,1,0,20,0,0,A,A,A,A,0,0,0,,,,,
Alice_en01,아트풀 새크리파이스,artifle_sacrifice,0,2400,3,5,5,20,0,1,0,30,0,0,A,A,C,A,0,0,0,,,,,
Alice_en02,킥,kick,1,2200,1,1,40,25,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Alice_en02,인형조창,ningyososo,1,2300,2,3,10,15,0,1,0,20,0,0,A,A,A,A,0,0,0,,,,,
Alice_en02,아트풀 새크리파이스,artifle_sacrifice,0,2400,3,5,5,20,0,1,0,30,0,0,A,A,C,A,0,0,0,,,,,
Alice_en02,상하이 인형,shanghai_doll,0,3100,3,7,20,20,1,0,0,0,15,120,A,A,C,A,0,0,0,,,,,
Alice_en03,킥,kick,1,2200,1,1,40,25,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Alice_en03,인형조창,ningyososo,1,2300,2,3,10,15,0,1,0,20,0,0,A,A,A,A,0,0,0,,,,,
Alice_en03,아트풀 새크리파이스,artifle_sacrifice,0,2400,3,5,5,20,0,1,0,30,0,0,A,A,C,A,0,0,0,,,,,
Alice_en03,상하이 인형,shanghai_doll,0,3100,3,7,20,20,1,0,0,0,15,120,A,A,C,A,0,0,0,,,,,
Alice01,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice01,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice01,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice01,상하이 인형,shanghai_doll,0,2900,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice02,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice02,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice02,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice02,상하이 인형,shanghai_doll,0,2900,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice02,프로토 마리스포,protomalice,0,2500,3,6,40,10,0,0,0,0,20,110,A,A,A,A,0,0,0,,,|Marisa|,,
Alice03,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice03,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice03,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice03,상하이 인형,shanghai_doll,0,2900,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice03,프로토 마리스포,protomalice,0,2500,3,6,40,10,0,0,0,0,20,110,A,A,A,A,0,0,0,,,|Marisa|,,
Alice03,돌즈 워,dollswar,1,2150,1,4,20,20,0,1,0,4,0,105,A,A,B,A,0,0,0,,,,,
Alice03,리턴 인애니메이트니스,return,0,2800,4,6,10,40,0,0,0,2,0,110,A,A,A,A,0,0,1,,,,,
Alice04,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice04,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice04,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice04,상하이 인형,shanghai_doll,0,2900,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice04,프로토 마리스포,protomalice,0,2500,3,6,40,10,0,0,0,0,20,110,A,A,A,A,0,0,0,,,|Marisa|,,
Alice04,돌즈 워,dollswar,1,2150,1,4,20,20,0,1,0,4,0,105,A,A,B,A,0,0,0,,,,,
Alice04,리턴 인애니메이트니스,return,0,2800,4,6,10,40,0,0,0,2,0,110,A,A,A,A,0,0,1,,,,,
Alice05,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice05,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice05,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice05,상하이 인형,shanghai_doll,0,3100,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice05,마리스포,malice,0,2800,1,3,40,30,0,1,0,0,35,110,A,A,A,A,0,1,0,,,|Marisa|,,
Alice05,돌즈 워,dollswar,1,2150,1,4,20,20,0,1,0,4,0,105,A,A,B,A,0,0,0,,,,,
Alice05,리턴 인애니메이트니스,return,0,2800,4,6,10,40,0,0,0,2,0,110,A,A,A,A,0,0,1,,,,,
Alice05,그랑기뇰의 유령,GG,0,3400,1,2,20,40,0,1,0,2,0,130,A,A,C,A,0,1,1,,,,,
Alice06,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice06,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice06,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice06,상하이 인형,shanghai_doll,0,3100,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
Alice06,마리스포,malice,0,2800,1,3,40,30,0,1,0,0,35,110,A,A,A,A,0,1,0,,,|Marisa|,,
Alice06,돌즈 워,dollswar,1,2150,1,4,20,20,0,1,0,4,0,105,A,A,B,A,0,0,0,,,,,
Alice06,리턴 인애니메이트니스,return,0,2800,4,6,10,40,0,0,0,2,0,110,A,A,A,A,0,0,1,,,,,
Alice06,그랑기뇰의 유령,GG,0,3400,1,2,20,40,0,1,0,2,0,130,A,A,C,A,0,1,1,,,,,
Alice07,킥,kick,1,1800,1,1,40,50,0,1,1,0,5,0,A,A,B,A,0,0,0,,,,,
Alice07,인형조창,ningyososo,1,1950,2,3,10,15,0,1,0,10,0,0,A,A,A,A,0,0,0,,,,,
Alice07,아트풀 새크리파이스,artifle_sacrifice,0,2200,3,5,5,20,0,1,0,12,0,105,A,A,C,A,1,0,0,,,,,
Alice07,상하이 인형,shanghai_doll,0,3100,3,7,20,20,1,0,0,0,60,120,A,A,C,A,0,0,0,,,,,
