ID,LineID,face,dialog
0,0,Alice1a,맞선다면、나도 이럴 수밖에
1,0,Alice0c,적당히 굴절시켜서 돌려줄게
2,0,Alice1a,맞은 탄은、그대로 돌려줄게
3,0,Alice1a,보복은、확실히 할거야
4,0,Alice1c,나와 싸우게 된 것、후회할거야
5,0,Alice0a,위치를 알려줄 줄이야
6,0,Alice1a,의미없는 저항은 멈춰!
7,0,Alice0a,싸울 각오는 되어 있겠지?
8,0,Alice1c,곧바로 끝내줄게
9,0,Alice1a,얌전히 있으렴!
10,0,Alice0b,너덜너덜하게 만들어 줘야겠네
11,0,Alice1a,자、단념해!
12,0,Alice0a,어느 정도로 따끔한 맛을 보여줘야 할려나
13,0,Alice0a,운이 없었구나
14,0,Alice0c,우쭐거리지 말아 줄래?
15,0,Alice1a,승기는 아직 남아있어!
16,0,Alice1a,위험한 상황일수록 냉정하게!
17,0,Alice1a,이제부터가 진짜야!
18,0,Alice0c,예상이상이었네、여기까지구나
19,0,Alice1a,간다!
20,0,Alice1a,에잇!
21,0,Alice1a,거기야!
22,0,Alice1a,이게!
23,0,Alice1a,나의 인형들아、가렴!
24,0,Alice0a,중과부적. 적수가 되지 못해
25,0,Alice0d,인형만으로 이길 것 같네
26,0,Alice2b,몇 개의 인형까지\n 감당할 수 있으려나?
27,0,Alice1a,거기야、가렴!
28,0,Alice4a,소중한 친구지만…
29,0,Alice1a,감사히 받으렴!
30,0,Alice1a,화상입어도 모른다!
31,0,Alice1a,이 방법이 최선이라면…!
32,0,Alice1a,가자、상하이!
32,1,Shanghai0a,상하-이!
33,0,Alice1a,마력을 회전시켜、쏘는거야!
33,1,Shanghai0a,상하-이!
34,0,Alice1a,마채광을 받아라!
34,1,Shanghai0a,상하-이!
35,0,Alice1a,상하이、레이저로 마무리야!
35,1,Shanghai0a,상하-이!
36,0,Alice0a,동시에 해 보자
36,1,Alice2b,알겠어?\n 타이밍을 맞추는거야
36,2,Marisa7a,넌 요령이 좋잖냐.\n 나한테 맞춰보라고
36,3,Alice1b,뭐야 그게、멋대로 굴지...\n 앗、늦었네
37,0,Alice0a,비용 대비 효과에 대해\n 알려줄게
37,1,Alice2b,동시공격은 효율이 중요해.\n 알아들었지?
37,2,Marisa7d,전력전개、간다!
37,3,Alice4a,...전혀 말을 듣지 않는구나
38,0,Alice2b,마리사、잠깐 도와줘
38,1,Marisa0e,뭐야、내 힘이 필요한건가?
38,2,Alice0c,뭐 그렇네. 제대로 협력해줘
38,3,Marisa1a,어쩔 수 없구만. 감사하라고!
39,0,Marisa0a,앨리스、잠깐만 협력해 줘
39,1,Alice0b,그럼、\n 넌 내 다리가 되어주면 될려나
39,2,Marisa0a,그럼 달려들어야겠네...
39,3,Marisa1a,그럼 달려들어야겠네... 이얍!
39,4,Alice1a,견제할게、좀 더 가까이!
