ID,LineID,face,dialog
0,0,Aya1a,이런 이런、어쩔 수 없군요
1,0,Aya0a,즐겁게 해주시길
2,0,Aya0a,그 쪽이 그럴 생각이라면...
3,0,Aya7b,봐주긴 할겁니다
4,0,Aya1b,그럼、여기서도 답례를...
5,0,Aya4a,후회하게 해드리죠
6,0,Aya1b,이걸 견딜수 있을까요?
7,0,Aya0c,당신에게 원한은 없지만...
8,0,Aya0a,실력은 나쁘지 않아 보이지만요
9,0,Aya1a,엿차
10,0,Aya1b,얍!
11,0,Aya1b,받아라!
12,0,Aya0a,None
13,0,Aya7b,이번엔 봐주도록 할까요
14,0,Aya5a,저기까진 바람이 닿지 않네요
15,0,Aya4a,잘도 저질러 주셨군요!
16,0,Aya0a,원호하겠습니다
17,0,Aya1b,그러게 둘 순 없죠
18,0,Aya0c,그 정도로\n 이길 수 있다고 생각하는건가요?
19,0,Aya7b,고작 그정도가 공격인가요?
20,0,Aya0a,이래서야 3면에도 못쓴다구요
21,0,Aya1b,뭐、이 정도겠죠
22,0,Aya2b,아야야. 한눈팔아버렸네요
23,0,Aya0c,절 맞히다니、대단하군요
24,0,Aya4a,요행 따위로 기뻐하지 말아주시길
25,0,Aya2b,아야야、설마 맞아버릴줄은
26,0,Aya7b,힘의 차이란건 참 안타까운 일이네요
27,0,Aya0a,뭐、낙담하진 마시길
28,0,Aya1b,제 속도를 따라오진 못하는건가요
29,0,Aya0c,좀 지나치게 느리지 않나요?
30,0,Aya5a,이런 탄막으론、\n 좋은 사진이 찍히지 않겠네요
31,0,Aya1a,이 정도 탄막、\n 촬영에 능숙해진 저에겐 간단하죠
32,0,Aya0c,맞힐 생각은 있으신지?
33,0,Aya7b,기운은 있나보군요
34,0,Aya5a,좀 더 재밌는 짓을 해줄지\n 기대했습니다만은
35,0,Aya0a,준비운동조차 되지 못하는군요
36,0,Aya7a,오오、무서워라 무서워
37,0,Aya1b,유감이지만、통하지 않아요
38,0,Aya2b,어라라、지나치게 방심해버렸나요
39,0,Aya0c,이 일은、\n 반드시 기사로 쓰겠습니다
40,0,Aya0a,붕붕마루 신문입니다-!
