ID,LineID,face,dialog
0,0,Byakuren5a,전력을 내기 전에、\n 항복해주시면 좋겠는데요...
1,0,Byakuren0a,당신의 상대는 제가 하겠습니다
2,0,Byakuren2c,폭력으로 해결하려 한다면...!
3,0,Byakuren1c,저항하도록 하겠습니다!
4,0,Byakuren0b,이 싸움도 또한 수행이겠지요
5,0,Byakuren1b,저는 제가 믿는 길로 나아가겠습니다!
6,0,Byakuren0a,평범한 인간이라 생각해 방심한다면...
7,0,Byakuren1a,단련의 성과를 보여드리죠!
8,0,Byakuren1a,이 힘、평화를 위해 쓰겠습니다!
9,0,Byakuren0a,제가 싸우는 모습을 보여줄 수밖에...!
10,0,Byakuren1b,싸울 각오는 해두었습니다!
11,0,Byakuren1c,사정은 이해합니다만、\n 저에게도 저만의 정의가 있습니다!
12,0,Byakuren1c,저는 자신의 각오를 다하겠습니다...!
13,0,Byakuren2a,싸울 기력이 있는 한...!
14,0,Byakuren1c,하늘이 무너져도 구멍을 뚫어내겠습니다!
15,0,Byakuren2a,형세는 불리、하지만...!
16,0,Byakuren1c,저희들에겐 완수해내야만 하는 사명이 있습니다!
17,0,Byakuren0a,갑니다!
17,1,Byakuren1a,하앗!
18,0,Byakuren1a,보였습니다!
18,1,Byakuren1a,이얍!
19,0,Byakuren0a,비루다카의 검...
19,1,Byakuren1a,거깁니다!
20,0,Byakuren0a,잡았습니다!
20,1,Byakuren1a,하앗!
21,0,Byakuren0a,품속으로 뛰어들어 보죠...
21,1,Byakuren1a,얍、얍、으럇!
22,0,Byakuren0a,거리를 좁히겠습니다...
22,1,Byakuren1a,다 봤습니다!
23,0,Byakuren0a,힘을 시험해보죠...
23,1,Byakuren1b,빈틈!
24,0,Byakuren0a,금강저를 쓰겠습니다!
24,1,Byakuren1b,거기、거기、거기잇!
25,0,Byakuren0a,전력으로 마법을 쓰겠습니다!
25,1,Byakuren0b,제가 보았던 반짝임...
25,2,Byakuren1a,제가 보았던 반짝임... 지금 여기에!
26,0,Byakuren1a,저의 마력을 쓸 때군요!
26,1,Byakuren0b,빛의 격류...
26,2,Byakuren1a,받으시길!
27,0,Byakuren0a,지금이야말로、마력을 해방할 때!
