ID,LineID,face,dialog
0,0,ByakurenH0a,전력을 내기 전에、\n 항복해주시면 좋겠는데요...
1,0,ByakurenH0a,당신의 상대는 제가 하겠습니다
2,0,ByakurenH0a,폭력으로 해결하려 한다면...!
3,0,ByakurenH0a,저항하도록 하겠습니다!
4,0,ByakurenH0a,불초의 몸이지만、전력을 내겠습니다!
5,0,ByakurenH0a,이 싸움도 또한 수행이겠지요
6,0,ByakurenH0a,저는 제가 믿는 길로 나아가겠습니다!
7,0,ByakurenH0a,평범한 인간이라 생각해 방심한다면...
8,0,ByakurenH0a,단련의 성과를 보여드리죠!
9,0,ByakurenH0a,이 힘、평화를 위해 쓰겠습니다!
10,0,ByakurenH0a,제가 싸우는 모습을 보여줄 수밖에...!
11,0,ByakurenH0a,싸울 각오는 해두었습니다!
12,0,ByakurenH0a,사정은 이해합니다만、\n 저에게도 저만의 정의가 있습니다!
13,0,ByakurenH2a,저는 자신의 각오를 다하겠습니다...!
14,0,ByakurenH2a,싸울 기력이 있는 한...!
15,0,ByakurenH2a,하늘이 무너져도 구멍을 뚫어내겠습니다!
16,0,ByakurenH2a,형세는 불리、하지만...!
17,0,ByakurenH2a,저희들에겐 완수해내야만 하는 사명이 있습니다!
18,0,ByakurenH1a,갑니다!
18,1,ByakurenH1a,하아아앗...
18,2,ByakurenH1a,으럇!
19,0,ByakurenH1a,정정당당히!
19,1,ByakurenH1a,하아아아...
19,2,ByakurenH1a,으럇!
20,0,ByakurenH1a,너무 느리군요!
20,1,ByakurenH1a,이얍 이얍 이얍...
20,2,ByakurenH1a,하압!
21,0,ByakurenH1a,이것이 제가 얻은 힘...
21,1,ByakurenH1a,하아아앗...
21,2,ByakurenH1a,자、나무삼!
21,3,ByakurenH1a,으럇!
21,4,ByakurenH1a,합!
21,5,ByakurenH1a,하아아아아...!
21,6,ByakurenH1a,하아아아아...!
21,7,ByakurenH1a,인과응보로...!
21,8,ByakurenH1a,갚으리라!
22,0,ByakurenH1a,이렇게까지 얘기했는데도 안된다면...
22,1,ByakurenH1a,하아아앗...
22,2,ByakurenH1a,자、나무삼!
22,3,ByakurenH1a,으럇!
22,4,ByakurenH1a,합!
22,5,ByakurenH1a,하아아아아...!
22,6,ByakurenH1a,이얍、이얍、으럇...!
22,7,ByakurenH1a,연 없는 중생...
22,8,ByakurenH1a,구제가 힘들도다...!
23,0,ByakurenH1a,모두의 마음이 저에게 힘을...
23,1,ByakurenH1a,하아아앗...
23,2,ByakurenH1a,자、나무삼!
23,3,ByakurenH1a,영차!
23,4,ByakurenH1a,으럇!
23,5,ByakurenH1a,하아아아아...!
23,6,ByakurenH1a,이얍、이얍、으럇...!
23,7,ByakurenH1a,대일여래권!
23,8,ByakurenH1a,처단!
24,0,ByakurenH0a,발이 묶여있어...?
25,0,ByakurenH0a,깊이 추격하진 않겠습니다
26,0,ByakurenH0a,무리를 해선 안되겠지요
27,0,ByakurenH0a,어쩔 수 없는 일이군요...
28,0,ByakurenH0a,상대가 한 수 앞섰군요
29,0,ByakurenH0a,이것이 싸움이란 것이겠죠
30,0,ByakurenH2a,모든 것은 저의 부족함이 부른 일...
31,0,ByakurenH0a,싸우려는 의지는 저도 동일합니다!
32,0,ByakurenH0a,공세를 지체시킬 수 없지요!
33,0,ByakurenH0a,아직 끝이 아닙니다!
34,0,ByakurenH0a,나쁘게 생각 마시길!
35,0,ByakurenH0a,동료의 방패가 되겠습니다!
36,0,ByakurenH0a,이 너머론 갈 수 없습니다!
37,0,ByakurenH0a,보고만 있을 순 없습니다!
