ID,LineID,face,dialog
0,0,Chen0a,내 사냥감은 너다!
1,0,Chen0a,이번엔 내 차례야
2,0,Chen0a,반격이다!
3,0,Chen0a,이대론 못보내지!
4,0,Chen0a,잡아서、해치운다!
5,0,Chen0a,이건 답례야!
6,0,Chen0a,란 님이랑 유카리 님도 보고있겠지...
7,0,Chen0a,지칠 때까지 싸울거야!
8,0,Chen0a,내 움직임을 못따라오겠지!
9,0,Chen0a,해치워버릴거야!
10,0,Chen0a,나도、싸울 수 있어!
11,0,Chen0a,멋진 모습을 보여줘야지!
12,0,Chen0a,란 님、저도 힘낼게요!
13,0,Chen0a,내 공격도 통할거야!
14,0,Chen0a,나도、어엿한 요수니까!
15,0,Chen0a,겁만 먹어선 안되겠지!
16,0,Chen0a,란 님의 식으로서\n 굉장한 모습을 보여줘야지!
17,0,Chen0a,따라가 보이겠어!
18,0,Chen0a,나는 란 님의 식이니까!
19,0,Chen0a,이게 최후의 찬스일지도...!
20,0,Chen0a,아직 싸울 수...있어!
21,0,Chen1a,잡았다!
22,0,Chen1a,우랴-!
23,0,Chen1a,돌격-!
24,0,Chen1a,냐아-!
25,0,Chen1a,더 빨리...!
26,0,Chen1a,해내겠어!
27,0,Chen1a,요력을 담으면...!
28,0,Chen1a,간다아-!
29,0,Chen1a,요괴 고양이라면、\n 이 정돈 해야지!
29,1,Chen1a,다들、날 따라와!
29,2,Chen1a,돌격-!
29,3,Chen1a,이제、도망쳐-!
29,4,Chen2a,으으、실패다-
30,0,Chen1a,자、다들 따라와!
30,1,Chen1a,나랑 함께 돌격하자!
30,2,Chen1a,할퀴어-!
30,3,Chen1a,나까지 할퀴어졌네...
30,4,Chen2a,사냥감은 쟤라니까...
31,0,Chen1a,다들、일제히 할퀴는거야!
31,1,Chen1a,얼룩 고양이도 새끼 고양이도、늦으면 안 된다!
31,2,Chen1a,돌격-!
31,3,Chen1a,나까지 할퀴어졌네...
31,4,Chen2a,사냥감은 쟤라니까...
32,0,Chen0a,란 님、부탁드려요!
32,1,Ran0a,첸、내 말에 따라 움직이거라
32,2,Chen0a,네、란 님!
32,3,Ran0a,빙의、식신『첸』!
32,4,Ran0a,동시공격、실수란 없다!
32,5,Chen0a,알겠습니다!
32,6,Ran1a,함께!
32,7,Chen1a,뛰어서!
32,8,Ran1a,공격!
32,9,Chen1a,요요발호!
32,10,Chen2a,아파라...
32,11,Ran0a,으음、식이 약했나
33,0,Chen0a,란 님의 힘이 있다면...
33,1,Ran0a,첸、연습한 대로 가자
33,2,Chen0a,여、열심히 하겠습니다!
33,3,Ran0a,패턴『오렌지』、개시!
33,4,Ran0a,연속 충돌 콤비네이션...
33,5,Ran0a,인게이지!
33,6,Ran1a,원!
33,7,Chen1a,투-!
33,8,Ran1a,쓰리-!
33,9,Chen1a,컴플리트!
33,10,Chen2a,라、란 님 죄송해요...
33,11,Ran0a,정말이지、아직 멀었구나
34,0,Chen0a,나도 식신이야!
34,1,Ran0a,타이밍을 완벽히 맞추자
34,2,Chen0a,네、물론이죠!
34,3,Ran0a,식신『첸』、액티베이트!
34,4,Ran0a,동기확인...95%!
34,5,Chen0a,99%、갑니다!
34,6,Ran1a,어택!
34,7,Chen1a,히트!
34,8,Chen1a,한번 더!
34,9,Ran0a,상황 종료、잘했다
34,10,Chen2a,라、란 님 죄송해요...
34,11,Ran0a,정말이지、아직 멀었구나
35,0,Chen0a,란 님의 힘을 빌린다면...
35,1,Ran0a,알겠지、이번엔 첸에게 타이밍을 맡길거야
35,2,Chen0a,헉、그런 말을 하시면...
35,3,Ran0a,패턴『오렌지』、시작한다
35,4,Chen0a,연속 충돌...어、그러니까
35,5,Chen0a,잠깐만요、란 님~!
35,6,Ran0a,원!
35,7,Chen0a,투-!
35,8,Ran0a,쓰리-!
35,9,Chen0a,맞아라-!
35,10,Chen2a,라、란 님 죄송해요...
35,11,Ran0a,정말이지、아직 멀었구나
