ID,LineID,face,dialog
0,0,Cirno0a,놓칠까 보냐!
1,0,Cirno0a,나쁜건 그쪽이니까!
2,0,Cirno0a,변명은 지옥에서 듣지
3,0,Cirno1a,방금 공격한건 너구나!
4,0,Cirno0a,이번엔 내 차례네!
5,0,Cirno0a,싸움이 걸렸으면 받아줘야지!
6,0,Cirno0a,어이쿠、\n 어딜 가려는 거야?
7,0,Cirno0a,후회 해 봤자 늦었어!
8,0,Cirno0a,깔보지 말라고~!
9,0,Cirno0a,이 몸 이라면 할 수 있어!
10,0,Cirno0a,눈물을 쏙 빼주겠어!
11,0,Cirno1a,피하면 용서 안할거다!
12,0,Cirno0a,한눈팔다간 맞을거야!
13,0,Cirno0a,따끔한 맛을 보게 해주마!
14,0,Cirno0a,좋아、대활약해주겠어!
15,0,Cirno0a,얼음에 뛰어드는 나방이 왔나!
16,0,Cirno0a,얼른 너네 집으로 돌아가!
17,0,Cirno0a,머리와 신체를 쓰면 이긴다!
18,0,Cirno0a,쓴 맛을 보여주겠어!
19,0,Cirno0a,지금부터 이 몸의 반격이 시작된다!
20,0,Cirno0a,아직 지지 않았어!
21,0,Cirno0a,이 몸이 진심으로 나오게 하다니!
22,0,Cirno0a,여기선 어떻게든 해야겠네!
23,0,Cirno0a,이 몸은 포기하지 않아!
24,0,Cirno1a,이렇게 된 이상 이판사판이다!
25,0,Cirno0a,위기에 몰렸을 때부터가 진짜 시작이야!
26,0,Cirno1a,간다아-!
27,0,Cirno1a,받아라-!
28,0,Cirno1a,이게-!
29,0,Cirno1a,으랴-!
30,0,Cirno1a,자、얼어라!
31,0,Cirno1a,프리저 광선!
32,0,Cirno1a,차가운 레이저다!
33,0,Cirno1a,먹어라아!
34,0,Cirno1a,거기닷!
35,0,Cirno1a,맞으면 아프다고!
36,0,Cirno0a,이 몸의 기술에 사각은 없다!
37,0,Cirno1a,커다란 얼음 덩어리를 먹어라-!
38,0,Cirno0a,저격이다!
39,0,Cirno0a,간다、이 몸의 필살기!
39,1,Cirno1a,동부『퍼펙트 프리즈』!
39,2,Cirno1a,마무리다、이 몸 킥!!
40,0,Cirno0a,퍼펙트 프리즈로 끝내주마!
40,1,Cirno1a,탄막이여、얼어붙어라!
40,2,Cirno1a,부서져라!
41,0,Cirno0a,이 몸의 힘으론 탄막도 얼어붙지!
41,1,Cirno1a,동부『퍼펙트 프리즈』!
41,2,Cirno1a,부서져라!
42,0,Cirno0a,너 따윈 얼려주겠어!
42,1,Cirno1a,이걸로 끝이다!\n 동부『퍼펙트 프리즈』!
42,2,Cirno1a,이 몸・크래시!!
43,0,Cirno0a,얼음 파워 전개다!
43,1,Cirno1a,필살、그레이트 크래셔-!
43,2,Cirno1a,가라아-!
44,0,Cirno0a,커다란 얼음 뭉치다!
44,1,Cirno1a,그 이름도、그레이트 크래셔-!
44,2,Cirno1a,해치워주마-!
45,0,Cirno1a,그레이트 크래셔-!
45,1,Cirno1a,후후후、\n 이름만 멋있는게 아니야!
45,2,Cirno1a,후후후、\n 이름만 멋있는게 아니야!
46,0,Cirno0a,다이짱、여기로 와!
46,1,Cirno0a,우리들의 힘으로\n 저 녀석을 해치우자!
46,2,Daiyosei1a,치르노 짱과 함께라면\n 기운이 나!
46,3,Cirno1a,받아라-!
46,4,Daiyosei1a,에잇!
47,0,Cirno0a,다이짱、간다!
47,1,Cirno0a,절대 놓치지 않을거야!
47,2,Daiyosei0a,치르노 짱、힘내자!
47,3,Cirno1a,무적의 요정 파워다!
47,4,Daiyosei1a,나도!
48,0,Cirno0a,다이짱、요정 어택이야!
48,1,Cirno0a,이 몸은 언제든 괜찮아!
48,2,Daiyosei0a,잔뜩 연습했었으니까!
48,3,Cirno1a,얼어라!
48,4,Daiyosei1a,부、불타라!
49,0,Cirno0a,우리들의 힘을 합치자!
49,1,Rumia0a,뭐하고 노는 거였더라?
49,2,Cirno0a,어둠과、얼음과、벌레와、노래!
49,3,Wriggle0a,준비 OK!
49,4,Mystia0a,불타오르는데!
49,5,Cirno1a,스펠 카드!
49,6,Wriggle1a,다들、잘 부탁해!
49,7,Mystia1a,파이어!
49,8,Rumia0a,와-아
49,9,Cirno1a,얼음 파워다!
49,10,Wriggle1a,거기다!
49,11,Mystia1b,가자♪ 가자♪
49,12,Rumia0a,캄캄하게-
49,13,Rumia0a,좋은 느낌-
49,14,Wriggle0a,중요한건 마무리!
49,15,Mystia0a,신나는데-
49,16,Cirno0a,단숨에 간다...!
49,17,Cirno1a,바콰르텟 스페셜!
49,18,Rumia1a,스펠 카드!
49,19,Mystia1a,스펠 카드!
49,20,Wriggle1a,스펠 카드!
50,0,Cirno0a,다들、준비는 됐지?
50,1,Rumia0a,1-번
50,2,Cirno0a,2번!
50,3,Wriggle0a,3번!
50,4,Mystia0a,4번!
50,5,Cirno1a,콰르텟!
50,6,Wriggle1a,가라、벌레들아!
50,7,Mystia1a,파이어어!
50,8,Rumia0a,거기구나-
50,9,Cirno1a,냉동빔!
50,10,Wriggle1a,놓치지 마!
50,11,Mystia1b,계속 가자-♪
50,12,Rumia0a,어두워져라-
50,13,Rumia0a,이제 해치울 수 있을거 같은데
50,14,Wriggle0a,그럼 승부다!
50,15,Mystia0a,느낌 좋고-
50,16,Cirno0a,좋-아、마무리다...!
50,17,Cirno1a,바콰르텟 스페셜!
50,18,Rumia1a,콰르텟!
50,19,Mystia1a,콰르텟!
