ID,LineID,face,dialog
0,0,Cirno0a,나쁜건 그쪽이니까!
1,0,Cirno0a,악당 일당따위!
2,0,Cirno0a,한꺼번에 퇴치해주겠어!
3,0,Cirno0a,눈물을 쏙 빼주겠어!
4,0,Cirno0a,이 몸이라면 할 수 있어!
5,0,Cirno0a,한눈팔다간 맞을거야!
6,0,Cirno0a,왜 싸우는거였더라
7,0,Cirno0a,머리와 신체를 쓰면 이긴다!
8,0,Cirno0a,눈물을 쏙 빼주겠어!
9,0,Cirno0a,오늘이야말로 요정의 승리야!
10,0,Cirno0a,이번엔 내 차례네!
11,0,Cirno0a,이쪽도 질 수 없어!
12,0,Cirno0a,어이쿠、\n 어딜 가려는 거야?
13,0,Cirno0a,한눈팔다간 맞을거야!
14,0,Cirno0a,눈물을 쏙 빼주겠어!
15,0,Cirno0a,이 몸이라면 할 수 있어!
16,0,Cirno0a,머리와 신체를 쓰면 이긴다!
17,0,Cirno0a,오늘이야말로 요정의 승리야!
18,0,Cirno0a,이쪽도、\n 탄막전은 베테랑이니까!
19,0,Cirno0a,좋아、대활약해주겠어!
20,0,Cirno0a,얼음에 뛰어드는 나방이 왔나!
21,0,Cirno0a,또 질 수는 없어!
22,0,Cirno0a,이 몸이 진심으로 나오게 하다니!
23,0,Cirno0a,여기선 어떻게든 해야겠네!
24,0,Cirno0a,이 몸은 포기하지 않아!
25,0,Cirno1a,이렇게 된 이상 이판사판이다!
26,0,Cirno0a,위기에 몰렸을 때부터가 진짜 시작이야!
27,0,Cirno1a,간다-!
28,0,Cirno1a,에잇!
29,0,Cirno1a,이게-!
30,0,Cirno1a,으랴-!
31,0,Cirno1a,자、얼어라!
32,0,Cirno1a,프리저 광선!
33,0,Cirno1a,차가운 레이저다!
34,0,Cirno1a,먹어라아!
35,0,Cirno1a,거기닷!
36,0,Cirno1a,자、얼어라!
37,0,Cirno0a,이 몸의 기술에 사각은 없다!
38,0,Cirno1a,커다란 얼음 덩어리를 먹어라-
39,0,Cirno0a,저격이다!
40,0,Cirno0a,간다、이 몸의 필살기!
40,1,Cirno1a,동부『퍼펙트 프리즈』!
40,2,Cirno1a,마무리다、이 몸 킥!!
41,0,Cirno0a,퍼펙트 프리즈로 끝내주마!
41,1,Cirno1a,탄막이여、얼어붙어라!
41,2,Cirno1a,부서져라!
42,0,Cirno0a,이 몸의 힘으론 탄막도 얼어붙지!
42,1,Cirno1a,동부『퍼펙트 프리즈』!
42,2,Cirno1a,부서져라!
43,0,Cirno0a,너 따윈 얼려주겠어!
43,1,Cirno1a,이걸로 끝이다!\n 동부『퍼펙트 프리즈』!
43,2,Cirno1a,이 몸・크래시!!
44,0,Cirno0a,얼음 파워 전개다!
44,1,Cirno1a,필살、그레이트 크래셔-!
44,2,Cirno1a,가라아-!
45,0,Cirno0a,커다란 얼음 뭉치다!
45,1,Cirno1a,그 이름도、그레이트 크래셔-!
45,2,Cirno1a,해치워주마-!
46,0,Cirno1a,그레이트 크래셔-!
46,1,Cirno1a,후후후、\n 이름만 멋있는게 아니야!
46,2,Cirno1a,후후후、\n 이름만 멋있는게 아니야!
47,0,Cirno0a,이번만은 봐 주도록 할게!
48,0,Cirno0a,도망치는건 아니니까!
49,0,Cirno0a,정말、얼른 아무나 도와줘!
50,0,Cirno0a,사거리 밖이라니、치사하네!
51,0,Cirno0a,멀리서 그러다니、비겁해!
52,0,Cirno0a,뭐야뭐야、숨바꼭질?
53,0,Cirno0a,그렇게 이기면 재밌냐-!?
54,0,Cirno0a,네 원수는 갚을게!
55,0,Cirno0a,네 희생을 헛되이 하지 않을게...
56,0,Cirno0a,여기서 이 몸 등장!
57,0,Cirno0a,이건 찬스네!
58,0,Cirno0a,좋-아、\n 그럼 이 몸이 해치워주마!
59,0,Cirno0a,뒤는 이 몸에게 맡겨
60,0,Cirno0a,괜찮아、이 몸에게 맡겨!
61,0,Cirno0a,이 몸이 지켜주겠어!
62,0,Cirno2a,루미아!\n 감히 이 몸의 친구를!
63,0,Cirno0a,루미아、뒤는 이 몸에게 맡겨!
64,0,Cirno0a,루미아、어두워지니까\n 이쪽으로 내려오지 마!
65,0,Cirno0a,루미아、뭘 멍하니 있는거야!
66,0,Cirno0a,루미아、조심좀 해!
67,0,Cirno2a,잘도、잘도 다이짱을!
68,0,Cirno0a,다이짱、\n 저 녀석은 이 몸이 해치울게
69,0,Cirno0a,다이짱이 힘내줬으니、다음엔 이 몸이!
70,0,Cirno0a,다이짱、뒤는 맡겨!
71,0,Cirno0a,다이짱、이 몸이 곁에 있어!
72,0,Cirno1a,다이짱을 괴롭히지 마!
73,0,Cirno1a,다이짱은 이 몸이 지킨다!
74,0,Cirno2a,첸! 잘도 이 몸의 친구를!
75,0,Cirno0a,첸이 붙잡았다면!
76,0,Cirno0a,첸、뒤는 이 몸에게 맡겨!
77,0,Cirno0a,첸、조심해!
