ID,LineID,face,dialog
0,0,Daiyosei0a,나도 할 수 있을까?
1,0,Daiyosei0a,가끔은 치료 말고도...
2,0,Daiyosei1a,반격!
3,0,Daiyosei1a,지지않아!
4,0,Daiyosei0a,가능하다면 대화로 해결하고 싶지만...
5,0,Daiyosei0a,지금이 찬스일지도...
6,0,Daiyosei1a,나도 조금은...!
7,0,Daiyosei1a,싸우는건 무서워...그렇지만!
8,0,Daiyosei0a,이쪽을 신경쓰지 않아? 그렇다면!
9,0,Daiyosei0a,힘낼게요!
10,0,Daiyosei1a,저도 싸울게요!
11,0,Daiyosei1a,앞으로 조금이니까!
12,0,Daiyosei0a,한 끗 이라도...
13,0,Daiyosei1a,이거라면 나도!
14,0,Daiyosei1a,에잇!
15,0,Daiyosei1a,가...갑니다!
16,0,Daiyosei1a,피、피하지 말아줘!
17,0,Daiyosei2a,에잇!
18,0,Daiyosei1a,죄송해요!
19,0,Daiyosei1a,이얍!
20,0,Daiyosei2a,던집니다!
21,0,Daiyosei2a,쏩니다!
22,0,Daiyosei2a,부탁할게、맞아줘!
23,0,Daiyosei0a,에잇、이거라면!
24,0,Daiyosei1a,잔뜩 연습한 탄막이니까!
25,0,Daiyosei1a,이건、맞으면 아플거야!
26,0,Daiyosei1a,불타는 탄막이에요!
27,0,Daiyosei1a,나라도!
28,0,Daiyosei0a,치르노 짱、도와줘!
28,1,Cirno0a,우리들의 힘으로\n 저 녀석을 해치우자!
28,2,Daiyosei0a,치르노 짱과 함께라면\n 기운이 나!
28,3,Cirno1a,받아라-!
28,4,Daiyosei1a,에잇!
29,0,Daiyosei0a,난 혼자가 아니야!
29,1,Cirno0a,절대 놓치지 않을거야!
29,2,Daiyosei0a,치르노 짱、힘내자!
29,3,Cirno1a,무적의 요정 파워다!
29,4,Daiyosei1a,나도!
30,0,Daiyosei0a,치르노 짱、우리들도!
30,1,Cirno0a,이 몸은 언제든 괜찮아!
30,2,Daiyosei0a,잔뜩 연습했었으니까!
30,3,Cirno1a,얼어라!
30,4,Daiyosei1a,부、불타라!
31,0,Daiyosei0a,다들、힘내자!
31,1,Rumia0a,치르노-
31,2,Cirno0a,다이짱!
31,3,Daiyosei0a,리글 짱!
31,4,Wriggle0a,미스티아!
31,5,Mystia0a,돌아와、루미아!
31,6,Cirno1a,우리들의 힘을、하나로!
31,7,Daiyosei1a,모두에게、힘을...!
31,8,Wriggle1a,오오오오오오오옷!
31,9,Wriggle1a,부탁할게、얘들아!
31,10,Mystia1b,응원가는 맡겨줘~
31,11,Rumia0a,와-아
31,12,Cirno1a,얼어라!
31,13,Wriggle1a,거기닷!
31,14,Mystia1b,가라♪ 가라♪
31,15,Rumia0a,새까맣게-
31,16,Cirno1a,굳히기다!
31,17,Daiyosei2a,나도!
31,18,Rumia0a,좋은 느낌-
31,19,Wriggle0a,중요한건 마무리!
31,20,Mystia0a,신나는데-
31,21,Daiyosei0a,모두와 함께라면!
31,22,Cirno0a,이걸로 끝이다...!
31,23,Cirno1a,파이널 바콰르텟 스페셜!
31,24,Cirno1a,가...
31,25,Rumia0a,가...라아아아아아아!
31,26,Mystia0a,가...라아아아아아아!
31,27,Wriggle1a,가...라아아아아아아!
32,0,Daiyosei0a,나도 모두와 함께라면!
32,1,Rumia0a,치르노-
32,2,Cirno0a,다이짱!
32,3,Daiyosei0a,리글 짱!
32,4,Wriggle0a,미스티아!
32,5,Mystia0a,돌아와、루미아!
32,6,Cirno1a,우리들의 힘을、하나로!
32,7,Daiyosei1a,다들、힘내...!
32,8,Mystia1b,텐션 오르는데!
32,9,Wriggle1a,얘들아、가자!
32,10,Mystia1b,이 기세를 노래로 해서~
32,11,Rumia0a,엿-차
32,12,Cirno1a,냉동빔!
32,13,Wriggle1a,놓치지 마!
32,14,Mystia1b,계속 가자-♪
32,15,Rumia0a,어두워져라-
32,16,Cirno1a,아직 남았어!
32,17,Daiyosei2a,나도 도울게!
32,18,Rumia0a,슬슬 끝낼때인가
32,19,Wriggle0a,그럼 마무리다!
32,20,Mystia0a,기분 최고조!
32,21,Daiyosei0a,모두와 함께라면!
32,22,Cirno0a,이걸로 끝이다...!
32,23,Cirno1a,그레이셜 바이오 스페셜!
32,24,Cirno1a,가...
32,25,Rumia0a,가...라아아아아아아!
32,26,Mystia0a,가...라아아아아아아!
32,27,Wriggle1a,가...라아아아아아아!
33,0,Daiyosei2a,미안해!
34,0,Daiyosei0a,피하고만 있어선 안되겠지만...
