ID,LineID,face,dialog
0,0,Eiki0a,이 시키에이키가 상대해 드리겠습니다
1,0,Eiki0a,앗、거기 멈춰라!
2,0,Eiki0a,당신에겐 할 말이 있습니다
3,0,Eiki0a,제 앞에선 모두가 평등합니다
4,0,Eiki0a,당신은 선행을 쌓을 필요가 있어
5,0,Eiki0a,스스로가 가장 자신의 죄를 알고있겠지요
6,0,Eiki1a,걸음을 멈추셨군요
7,0,Eiki1a,피해선 안됩니다
8,0,Eiki1a,사전 연습을 해볼까요
9,0,Eiki1a,착석하시길
10,0,Eiki0a,이것이 심판의 빛입니다
10,1,Eiki1a,속죄하세요!
11,0,Eiki1a,이 빛、삼가 받으시길
11,1,Eiki1a,이 빛、삼가 받으시길
12,0,Eiki0a,심판의 빛...
12,1,Eiki1a,그 눈에 새기세요!
13,0,Eiki1a,심판을 피할순 없습니다
13,1,Eiki1a,심판의 땅에 초대하지요
13,2,Eiki1a,후회...
13,3,Eiki1a,반성...
13,4,Eiki1a,돌이키세요!
13,5,Eiki1a,지금、십왕에 의한 심판의 때...!
13,6,Eiki1a,판결...
13,7,Eiki1a,지옥행!
14,0,Eiki1a,저지먼트 입니다!
14,1,Eiki1a,출두를 명합니다
14,2,Eiki1a,저지른 죄...
14,3,Eiki1a,쌓아온 업...
14,4,Eiki1a,속죄할 수 있는 정도가 아니다!
14,5,Eiki1a,자아、십왕의 이름 아래...
14,6,Eiki1a,판결...
14,7,Eiki1a,극형입니다!
15,0,Eiki1a,죄와 함께 불태워드리지요!
16,0,Eiki1a,심판의 때입니다!
17,0,Eiki0a,조만간 설교를 할테니 각오하시길
18,0,Eiki0a,설교할 것들을 정리해 두도록 하죠
19,0,Eiki1a,임시변통의 수인가요
20,0,Eiki1a,이래선 공평한 재판이라 할 수 없겠군요
21,0,Eiki1a,죄엔 걸맞는 심판을...
22,0,Eiki0a,가세합니다!
23,0,Eiki0a,시키에이키입니다、원호하겠습니다
24,0,Eiki0a,어설픈 마무리는 허락할 수 없습니다
25,0,Eiki0a,포기해선 안됩니다
26,0,Eiki0a,생각대로 되진 않을겁니다
27,0,Eiki1a,설마、이런 기특한 일을 할 줄은...
28,0,Eiki0a,코마치、땡땡이를 치진 않았겠지요
29,0,Eiki0a,코마치、적이 아직 남아있습니다
30,0,Eiki0a,부하의 도움은 기꺼이 받지요
31,0,Eiki0a,코마치、한눈팔아선 안됩니다
32,0,Eiki1a,어설픈 마음가짐으로 도전하는건가요?
33,0,Eiki1a,판결이 무섭다고 봐 줄 필요는 없습니다
34,0,Eiki1a,그런다고 판결의 결과가 좋아지진 않습니다
35,0,Eiki1a,염마로서의 위엄이...
36,0,Eiki1a,이 정도로、제 심판이 흔들리진 않습니다...!
37,0,Eiki1a,저를 궁지에 몰 줄은...
38,0,Eiki1a,피할 수 없었나...
39,0,Eiki0a,상당히 능숙하군요
40,0,Eiki1a,훌륭한 기백이군요
41,0,Eiki1a,그 정도로 제가 꺾이지는...!
42,0,Eiki0a,아직 당하지 않았습니다!
43,0,Eiki1a,그런 태도로는 평가할 수 없겠군요
44,0,Eiki0a,이건 설교 추가군요
45,0,Eiki0a,공격을 너무 절도있게 하는 것도 문제가 됩니다
46,0,Eiki0a,조금만 더 공을 들여 공격하세요
