ID,LineID,face,dialog
0,0,Eirin0a,그럼、\n 싸움을 개시해보도록 할까
1,0,Eirin0a,귀찮은 공격엔、답을 해줘야겠지
2,0,Eirin0a,반격당해도、납득하겠지
3,0,Eirin0a,쉽게 놓치진 않아
4,0,Eirin0a,그렇게 거리를 두려는 생각인걸까
5,0,Eirin0a,너에게 듣는 약은 없네
6,0,Eirin0a,너의 패배는 이미 정해져있어
7,0,Eirin0a,달의 모두들、나는 지상에서 싸우겠어
8,0,Eirin0a,일체 용서는 없어
9,0,Eirin0a,내버려 뒀다간、\n 공주님에게 해를 끼칠지도 모르겠네
10,0,Eirin0a,우리들의 각오는 겉치레가 아니야
11,0,Eirin0a,얌전히 있으면、금방 끝날거야
12,0,Eirin0a,숨통을 끊지 못한 대가를、혹독히 치르게 될거야 
13,0,Eirin0a,설령、동귀어진이 된다 하더라도...
14,0,Eirin0a,공주님을 위해서라도、저 녀석을 쓰러트리겠어
15,0,Eirin0a,내 계산에 따르면、너희들이 먼저 쓰러질거야
16,0,Eirin1a,빗나가지 않아
17,0,Eirin1a,이 정도의 거리라면...
18,0,Eirin1a,급소를 노려서...
19,0,Eirin1a,거기야!
20,0,Eirin0a,좋은 약도 지나치면...
20,1,Eirin0a,좋은 약도 지나치면...
20,2,Eirin1b,받아라!
21,0,Eirin0a,이 한 발로 끝내겠어
21,1,Eirin1a,필살、필중!
21,2,Eirin1b,라이징 게임!
22,0,Eirin0a,결국 조용해지겠지
22,1,Eirin0a,결국 조용해지겠지
22,2,Eirin1b,가라!
23,0,Eirin0a,성자필멸의 이치...
23,1,Eirin0a,성자필멸의 이치...
23,2,Eirin1b,깨닫도록 해라!
24,0,Eirin0a,달의 지혜를 너희들은 헤아릴 수 없어...
24,1,Eirin1b,받아라!
25,0,Eirin0a,내 힘을 보여줄 필요가 있는 것 같네
25,1,Eirin1b,엎드려라!
26,0,Eirin0a,너희들의 종착지를 알려주지...
26,1,Eirin1b,그건 멸망이야!
27,0,Eirin0a,너희들에게 미래란 없어...
27,1,Eirin1b,발버둥쳐라!
28,0,Eirin4b,이제 끝내도록 하자
28,1,Eirin5b,달을 감추고、하늘을 닫은...
28,2,Eirin5e,그 공간과 함께 매장되어라...
28,3,Eirin4a,쓸쓸해할 일도 없을터지
29,0,Eirin4b,내 비술을 보여주도록 하겠어...
29,1,Eirin5b,하늘을 닫고、이치를 뒤바꾼다...
29,2,Eirin5e,그것이 천문밀장법
29,3,Eirin4a,그대로 숨을 거두렴
30,0,Eirin1b,이 기술로 묻어주겠어
30,1,Eirin5a,공간을 다뤄、환영의 달을 드러낸다...
30,2,Eirin5e,그것은 만월이 없는、거짓된 밤...
30,3,Eirin4a,너희들에게 다시는 새벽이 찾아오지 않겠지
31,0,Eirin0a,이것도 지금은 필요한 일이네
32,0,Eirin0a,이렇게 상대의 방심을 유도한다면...
33,0,Eirin0a,싸움에 관해선 전문가가 아닌지라
34,0,Eirin0a,날 상대로 이런 전황을 만들 줄은...
35,0,Eirin0a,나중에 면밀한 진찰을 해드리지요
36,0,Eirin0a,찬스는 놓치지 않아
37,0,Eirin0a,효율적으로 처리하도록 하죠
38,0,Eirin0a,준비를 단정히 해주었구나
39,0,Eirin0a,집중이 안 되면、\n 정신을 차리는 약을 처방해줄게
40,0,Eirin0a,이런게 약사의 업무인걸까?
41,0,Eirin0a,어딘가 몸 상태가 안 좋니?
42,0,Eirin1a,먼저 쏘겠어
43,0,Eirin1a,내 계산에 의하면、쏴야 할 상대는 저 녀석이야
44,0,Eirin1a,다치면 언제든 말하렴
45,0,Eirin1a,확실히 쓰러트리렴
46,0,Eirin1a,추격을 부탁할게
47,0,Eirin1a,필요하다면 곧바로 교대하렴
48,0,Eirin1a,견제할게、실력을 보여주렴
49,0,Eirin1a,기대하고 있어
50,0,Eirin1a,두 명이서 확실히 처리하는거야
51,0,Eirin1a,이것이 지상의 방식의 진수네
