ID,LineID,face,dialog
0,0,Elliy0a,나라면 할 수 있을거야. 힘내자 엘리!
1,0,Elliy0a,엘리 짱、대지에 서다!
2,0,Elliy0a,여기서 활약한다면 주가도 오를거야!
3,0,Elliy0a,유카 짱 잘 봐줘、나 열심히 할게!
4,0,Elliy0a,나도 3면 보스야!
5,0,Elliy0a,본때를 보여주마!
6,0,Elliy0a,내게서 도망칠 수는 없어!
7,0,Elliy1a,반격이야-.\n 이대로 잠자코 있을 순 없어!
8,0,Elliy0a,유카 짱을 위해서라도!
9,0,Elliy0a,날 건든 것을、\n 후회하게 해주겠어
10,0,Elliy2a,당하고만 있는건 싫어~
11,0,Elliy1a,엘리 짱・카운터・어택!
12,0,Elliy1a,맞아 부서져라!
13,0,Elliy0a,여기서 해치워야해!
14,0,Elliy1a,유카 짱、나에게 힘을-!
15,0,Elliy0a,이것이 나의 전력!
16,0,Elliy0a,여기서 당할까보냐-!
17,0,Elliy0a,던질테니까...\n 제대로 돌아와야 해?
18,0,Elliy1a,로오오올리이잉\n 사이즈・부우우메라아앙!
19,0,Elliy1a,날아가라!
20,0,Elliy1a,으랴아아아!
21,0,Elliy1a,거기야!
22,0,Elliy1a,이 낫은 특제거든!
23,0,Elliy1a,여기영차!
24,0,Elliy1a,으-쌰、돌격!
25,0,Elliy1a,이 낫의 녹이 되어라!
26,0,Elliy1a,가렴、나의 마루들아!
27,0,Elliy0a,역시 마루는 말이 없어야지
28,0,Elliy1a,다 보인다구、잡았다!
29,0,Elliy1a,이걸로 저격이다!
30,0,Elliy0a,싹둑 하고 삼등분이다!
30,1,Elliy1a,필사-알!
30,2,Elliy1a,마무리!
31,0,Elliy0a,받아봐!
31,1,Elliy1a,필사-알!
31,2,Elliy1a,끝이다!
32,0,Elliy0a,너무 일방적이었나!
32,1,Elliy1a,...하나-둘!
32,2,Elliy1a,으랴아앗!
33,0,Elliy0a,비장의 수、간다-!
33,1,Elliy1a,이거나...
33,2,Elliy1a,먹어라!
34,0,Elliy1a,간다、쿠루미!
34,1,Kurumi1a,힘내자-!
34,2,Elliy1a,제대로 맞히는거야!
35,0,Elliy1a,쿠루미、합동 기술이야!
35,1,Kurumi1a,그 이름하여...!
35,2,Elliy1a,리플렉터・마루!
36,0,Elliy1a,간다、쿠루미!
36,1,Kurumi1a,알고 있어、엘리 짱!
36,2,Elliy1a,맞지 않으면 의미 없어!
37,0,Elliy2a,이대론 공격할 수 없어-
38,0,Elliy2a,튀는건 비교적 특기야!
39,0,Elliy2a,비、비겁하다-!
40,0,Elliy2a,어라、어디서 공격하는거지?
41,0,Elliy1a,귀중한 희생을 잃었어!
42,0,Elliy1a,그 공격、헛되이 하지 않을거야!
43,0,Elliy1a,승기가 있다면、올라타겠어!
44,0,Elliy0a,대타、나!
45,0,Elliy1a,지명받았으니 해 줘야지!
46,0,Elliy1a,이 흐름을 탄다!
47,0,Elliy1a,무언가를 지키는게 내 천직이야!
48,0,Elliy1a,여긴 지나갈 수 없어!
49,0,Elliy1a,위험-해!
50,0,Elliy0a,넌 죽지 않아...라고나 할까
51,0,Elliy0a,내 길을 방해하는 녀석은 수확한다...\n 해본 소리야!
52,0,Elliy1a,날아라、부메랑!
53,0,Elliy1a,도와주는건 쉽지!
54,0,Elliy1a,엘리 짱・서포트・어택!
55,0,Elliy1a,틈을 만드는 것 정도는!
56,0,Elliy1a,둘이서 잔뜩 베어내주마-!
57,0,Elliy0a,좋-아、텐션 오르는데!
58,0,Elliy1a,이것이 승기라는거네!
59,0,Elliy2a,메이링、내가 칠칠치 못한 바람에!
60,0,Elliy0a,메이링、뒤를 이어받을게!
61,0,Elliy0a,문지기 콤비네이션이야!
62,0,Elliy0a,나도 문지기인걸!
63,0,Elliy0a,가끔은 메이링도 보호받아야지!
64,0,Elliy1a,메이링、해치우자!
65,0,Elliy1a,문 앞에서 연습한 타이밍!
66,0,Elliy1a,문지기 콤비네이션이야!
67,0,Elliy1a,메이링、저 녀석을 노리자!
68,0,Elliy1a,돌아오는거에 맞지는 마!
69,0,Elliy1a,메이링、마음껏 싸우자!
70,0,Elliy0a,메이링、실컷 베어내자-!
71,0,Elliy0a,문지기 콤비네이션이야!
72,0,Elliy2a,이、이건 유카 짱의 징벌 코스...
73,0,Elliy1a,금발 짱、제대로 해!
74,0,Elliy1a,금발 짱、압박이 약하네!
75,0,Elliy1a,그렇게 빈틈 투성이면서\n 유카 짱의 마음에 들다니!
76,0,Elliy1a,금발 짱、제대로 해!
77,0,Elliy1a,금발 짱보다 활약할거야!
78,0,Elliy1a,금발 짱에게 공은 넘기지 않아!
79,0,Elliy1a,금발 짱、조준은 확실해?
80,0,Elliy1a,금발 짱、해치우자!
81,0,Elliy1a,유카 짱은 넘기지 않아!
82,0,Elliy1a,금발 짱、지금은 합을 맞추자!
83,0,Elliy1a,금발 짱、기세를 타는거야!
84,0,Elliy1a,금발 짱、실컷 베어내자-!
85,0,Elliy2a,쿠루미에게 보호받다니...
86,0,Elliy0a,제대로 해야지、쿠루미
87,0,Elliy0a,쿠루미는 밀어붙이는게 약하다니까
88,0,Elliy0a,쿠루미는 연약하니까 말이지
89,0,Elliy1a,쿠루미가 당하게 두진 않아!
90,0,Elliy1a,쿠루미、제대로 해!
91,0,Elliy0a,자、유카 짱에게 칭찬받고 싶잖아?
92,0,Elliy0a,둘이서 1인분을...\n 그럼 반인분이라는 거잖아!
93,0,Elliy1a,돌아오는거에 맞지는 마!
94,0,Elliy1a,쿠루미와 함께라면!
95,0,Elliy1a,쿠루미、저 녀석을 해치우자!
