ID,LineID,face,dialog
0,0,Flan0a,배로 되돌려줄거야!
1,0,Flan0a,이건 답례야!
2,0,Flan0a,후후、빈틈 투성이네
3,0,Flan0a,눈 깜짝할 사이에 해치워줄게!
4,0,Flan0a,전부 부수면、해결인거로 치자!
5,0,Flan0a,아하하、모조리 부숴주겠어!
6,0,Flan0a,내 앞에 나서다니!
7,0,Flan0a,이왕 할거 화려하게 해치우자!
8,0,Flan0a,같이 놀아주려는거야?
9,0,Flan0a,자아、탄막으로 놀아보자!
10,0,Flan0a,후후、다음은 저 녀석으로 놀자!
11,0,Flan0a,후후、어디부터 뭉개버릴까
12,0,Flan0a,열심히 나를 즐겁게 해줘!
13,0,Flan0a,자아、놀아보자!
14,0,Flan0a,질까 보냐!
15,0,Flan0a,너희들、사라져버려!
16,0,Flan0a,슬슬 부숴져라!
17,0,Flan0a,끈질기네、너희들!
18,0,Flan1a,거기야!
19,0,Flan1a,맞아라!
20,0,Flan1a,거기다!
21,0,Flan1a,다 보여!
22,0,Flan1a,부서지지 않으려면、춤 춰!
23,0,Flan1a,바이바이!
24,0,Flan1a,마구 쏴주겠어!
25,0,Flan1a,받아라 받아라!
26,0,Flan1a,내 힘으로...!
26,1,Flan1a,에잇!
27,0,Flan1a,힘에 맡겨서...!
27,1,Flan1a,잡았다!
28,0,Flan1a,놓치지 않을거야!
28,1,Flan1a,이게엣!
29,0,Flan1a,찾았다!
29,1,Flan1a,이얍!
30,0,Flan1a,내 힘으로...!
30,1,Flan1a,에잇!
30,2,Flan1a,너 따윈...
30,3,Flan1a,부숴져버려라!
31,0,Flan1a,이건 특별하거든!
31,1,Flan1a,으랴앗!
31,2,Flan1a,레바테인!
31,3,Flan1a,불타버려라!
32,0,Flan1a,놓치지 않아!
32,1,Flan1a,이게엣!
32,2,Flan1a,이걸 견딜 수 있을까?
32,3,Flan1a,이걸 견딜 수 있을까?
33,0,Flan1a,힘에 맡겨서...!
33,1,Flan1a,에잇!
33,2,Flan1a,조금도 못 버틸걸!
33,3,Flan1a,조금도 못 버틸걸!
34,0,Flan1a,찾았다!
34,1,Flan1a,이얍!
34,2,Flan1a,이걸로...
34,3,Flan1a,통째로 태워줄게!
35,0,Flan0a,『우리』랑 같이 놀자!
35,1,Flan2a,위험해!
35,2,Flan2a,아파라!
35,3,Flan0a,아하하!
35,4,Flan0a,아직이야!
35,5,Flan0a,내꺼야!
35,6,Flan0a,아니야!
35,7,Flan0a,받아간다!
35,8,Flan1a,우후후...
