ID,LineID,face,dialog
0,0,Hina0a,나에게도 할 수 있는게 있을거야
1,0,Hina0a,네 상대는 나도 할 수 있겠어
2,0,Hina0a,그다지 폭력을 좋아하진 않지만...
3,0,Hina0a,지금 당장 도망친다면、봐줄게
4,0,Hina0a,건드릴 상대를 잘못 골랐어
5,0,Hina0a,부추긴건 그쪽이야
6,0,Hina0a,응당한 일을 당하게 해줄게
7,0,Hina0a,스스로 재액을 불러올 줄이야
8,0,Hina0a,웃어넘길 정도로、\n 자비로운 신은 아니라서
9,0,Hina0a,이렇게 될 각오는 되어 있는거지?
10,0,Hina0a,거긴 내가 지나갈 길이야
11,0,Hina0a,인간을 지키기 위해서도、당할 순 없어
12,0,Hina0a,인간에게 손을 대게 둘 순 없지
13,0,Hina0a,누군가는 해야만 하는거겠지!
14,0,Hina0a,액신의 힘을 보여줄게
15,0,Hina0a,내가 상대라니 운이 없었구나
16,0,Hina0a,불행해지고 싶지 않다면、\n 얌전히 사과하렴
17,0,Hina0a,가끔은 뜨거워져도 나쁘진 않을、려나?
18,0,Hina0a,이렇게 됐으니、할 만큼 해야지
19,0,Hina0a,여기서 포기하면 액신의 이름에 먹칠이지
20,0,Hina0a,최후의 액을 짜내볼까
21,0,Hina0a,당한 만큼、액 투성이로 만들어 주겠어
22,0,Hina1a,원의 움직임에 몰아넣겠어
23,0,Hina1a,결심이 중요하지
24,0,Hina1a,너도 액에 감겨보겠니?
25,0,Hina1a,거길 지나가도록 하겠어
26,0,Hina1a,이미 충고는 했어
27,0,Hina1a,좀 액을 많이 모았으려나
28,0,Hina1a,운이 없었다고 생각하렴
29,0,Hina1a,액 무리에게서 도망칠 순 없어
30,0,Hina1a,노려봤자 의미없어
31,0,Hina1a,재액이 내려올거야
32,0,Hina0a,이 액은 비장의 수야...
32,1,Hina1a,가렴
33,0,Hina0a,액의 저편을 보여줄게...
33,1,Hina1a,여기서 끝나렴
34,0,Hina0a,액도 때로는 가시처럼 박힌단다
34,1,Hina1a,그래、이런 식으로
35,0,Hina0a,이 액은 몸을 도려내
