ID,LineID,face,dialog
0,0,Ichirin0a,방금、운잔을 보고 겁먹었지?
1,0,Ichirin0a,무슨 짓을 할 수 있을지、가르쳐줄게
2,0,Ichirin0a,이 승부、받아들일게!
3,0,Ichirin0a,맞은건 갚아줘야지!
4,0,Ichirin0a,운잔을 보고도 도망치지 않을 줄이야
5,0,Ichirin0a,좋은 경치네、노려볼까!
6,0,Unzan0a,......!
6,1,Ichirin0a,맞아、정정당당히 싸울 뿐이야
7,0,Ichirin0a,땅바닥에 꽂아주겠어!
8,0,Ichirin0a,염불은 다 외웠어?
9,0,Ichirin0a,나와 운잔을 막을 순 없을거야!
10,0,Ichirin0a,좋지、상대해줄게!
11,0,Ichirin0a,가로막는 자에게、자비란 없다!
12,0,Unzan0a,......!
12,1,Ichirin0a,응、오합지졸들을 해치워버리자
13,0,Ichirin0a,운잔、싸우자!
13,1,Unzan0a,......!
14,0,Ichirin1a,우리들의 각오를 보여줄 때야!
15,0,Ichirin1a,우리들을 화나게 한 모양이네!
16,0,Ichirin1a,기사회생은 내 특기야!
17,0,Ichirin1a,지금이야말로、보여주도록 할게!
18,0,Ichirin1a,참을 인을 세기는건 이제 끝이야!
19,0,Ichirin1a,싸워 이기겠어!
20,0,Ichirin1a,운잔의 권、받아 봐라!
20,1,Ichirin1a,하앗、핫!
21,0,Ichirin1a,눈에 새겨라...!
21,1,Ichirin1a,요괴권!
22,0,Ichirin1a,문답무용!
22,1,Ichirin1a,문답무용!
23,0,Ichirin1a,빈틈이 없다면...
23,1,Ichirin1a,힘으로 밀어붙인다!
24,0,Ichirin1a,뉴도의...
24,1,Ichirin1a,제트 펀치!
25,0,Ichirin0a,운잔、꾸짖어버려!
25,1,Unzan0a,......
25,2,Unzan0a,......음!!!!
26,0,Ichirin0a,부탁할게、운잔!
26,1,Unzan0a,......
26,2,Unzan0a,......음!!!!
27,0,Ichirin0a,내 영력도 사용해줘
27,1,Ichirin0a,하아아앗...
27,2,Ichirin1a,안력 플래시!!
28,0,Ichirin0a,억지로라도 맞히겠어!
28,1,Ichirin0a,저 녀석을 쳐다봐라...
28,2,Ichirin1a,큰 눈알이여!!
29,0,Ichirin1a,단숨에 승부를 낸다!
29,1,Unzan0a,......음!!!!
29,2,Unzan0a,......음!!!!
29,3,Unzan0a,......음!!!!
30,0,Ichirin0a,운잔을 화나게 하면...
30,1,Ichirin1a,으랴으랴...
30,2,Ichirin1a,으랴으랴으랴으랴앗...!
30,3,Ichirin1a,끝이다아!
31,0,Ichirin0a,지나치다는 말은 안할거야!
31,1,Ichirin1a,잡았다...!
31,2,Ichirin1a,운잔、좀 더...!
31,3,Ichirin1a,마지막이다!
32,0,Ichirin0a,하자、운잔!
32,1,Ichirin0a,거기 있는 요괴...
32,2,Ichirin1a,앞을 봐라!
32,3,Ichirin1a,하앗!
32,4,Ichirin1a,세이、세이、세이、세잇!
32,5,Ichirin1a,하아아아아아아...!
32,6,Ichirin1a,마지막은...내가!
32,7,Ichirin0a,고마워、운잔
33,0,Ichirin0a,부탁할게、운잔!
33,1,Ichirin0a,도망치기엔...
33,2,Ichirin1a,도망치기엔...이미 늦었어!
33,3,Ichirin1a,하앗!
33,4,Ichirin1a,세이、세이、세이、세잇!
33,5,Ichirin1a,하아아아아아아...!
33,6,Ichirin1a,이걸로 끝장이야!
33,7,Ichirin0a,이걸로 끝이네、운잔
34,0,Ichirin0a,간다、운잔!
34,1,Ichirin0a,대갈일성...
34,2,Ichirin1a,거기 정좌해라!
34,3,Ichirin1a,하앗!
34,4,Ichirin1a,세이、세이、세이、세잇!
34,5,Ichirin1a,하아아아아아아...!
34,6,Ichirin1a,최후의 일격!
34,7,Ichirin0a,수고했어、운잔
35,0,Ichirin0a,언제까지고、이대로 둘 수는 없어
36,0,Ichirin0a,지금은 텐구가 되면 좋겠네
37,0,Ichirin2a,이쪽의 사거리를 간파하다니...
38,0,Ichirin2a,모습을 드러내면、승부를 내겠어
39,0,Ichirin1a,인내심도 이젠 한계야!
40,0,Ichirin0a,빈틈이 생겼네、충분히 해내겠어
41,0,Ichirin0a,운잔、다음은 우리가 앞에 나서자!
42,0,Ichirin1a,비켜라 비켜、우리들이 간다!
43,0,Ichirin0a,말려들지 않도록 조심해줘!
44,0,Ichirin0a,동료에게 손을 대려 하다니!
45,0,Ichirin0a,무리는 하지마
46,0,Ichirin0a,운잔、끼어들자!
47,0,Ichirin0a,우리들이 방패가 될게
48,0,Ichirin1a,내 역할은 지원이네!
49,0,Ichirin1a,좋은 작전이야、도와줄게!
50,0,Ichirin0a,먼저 내가 상대를!
51,0,Ichirin1a,우리들도 동시에 가자!
52,0,Ichirin1a,제가 도와드리지요!
53,0,Unzan0a,......!
54,0,Ichirin1a,나와 운잔이 열어젖히겠어!
55,0,Ichirin1a,빈틈을 만드는 것 만으론、만족 못해!
56,0,Ichirin1a,자아、이젠 화났어!
57,0,Ichirin1a,이젠 참는것도 한계야!
58,0,Ichirin1a,우리들의 힘으로 날려버리자!
59,0,Ichirin2a,나즈린이 막게 하다니...\n 면목이 없네
60,0,Ichirin0a,나즈린、틈을 만들어줬구나!
61,0,Ichirin0a,나즈린、우리들이 정리할게!
62,0,Ichirin0a,한눈을 팔다니、찾는거라도 있어?
63,0,Ichirin0a,나즈린、무리하진 마!
64,0,Ichirin0a,나즈린、우리가 방패가 될게!
65,0,Ichirin1a,나즈린은 움직임이 너무 신중하네
66,0,Ichirin1a,나즈린、먼저 우리들이 갈게!
67,0,Ichirin1a,나즈린、노림수는 알겠어!
68,0,Ichirin0a,싸움에 적합하진 않으니까、\n 무리하진 마
69,0,Ichirin1a,나즈린、싸우는건 맡겨줘
70,0,Ichirin1a,나즈린、나와 운잔이 열어젖힐게!
71,0,Ichirin1a,나즈린、우린 이제 못참겠어!
72,0,Ichirin1a,나즈린、우리들이 날려버리자!
73,0,Ichirin1a,나즈린、여기서 결정내는거야!
74,0,Ichirin2a,성련선의 선장이、\n 날 감싸면 어떡해!
75,0,Ichirin0a,무라사、나와 운잔이 따라갈게!
76,0,Ichirin0a,무라사、물러서줘!
77,0,Ichirin0a,무라사、깊이 따라가는건 금물이야
78,0,Ichirin0a,어머、멀미라도 하는거야?
79,0,Ichirin0a,무라사、우리가 방패가 될게!
80,0,Ichirin0a,선장은 앞을 향해!
81,0,Ichirin0a,무라사、우리들도 앞에 나서게 해줘
82,0,Ichirin1a,무라사、측면은 맡겨줘!
