ID,LineID,face,dialog
0,0,Iku0a,힘을 시험하도록 하죠
1,0,Iku0a,이제와서 눈치채봤자 늦었습니다
2,0,Iku0a,당신의 차례는 이제 없습니다
3,0,Iku0a,그쪽이 건든겁니다
4,0,Iku0a,싸움이 걸렸으니 상대해드리지요
5,0,Iku0a,불똥이 튀었으니 대처하겠습니다
6,0,Iku0a,그쪽의 위치를 알려주시는군요
7,0,Iku0a,깊이 들어오시면 목숨이 날아갈것입니다
8,0,Iku0a,그럼 공격 타임 종료라는걸로
9,0,Iku0a,충고를 들을지는、당신 나름입니다
10,0,Iku0a,말로는 알아 듣지 못한다면...
11,0,Iku0a,저승길로 안내해드리지요
12,0,Iku0a,따끔한 맛을 보여드리지요
13,0,Iku0a,싸우는건 익숙하지 않지만...
14,0,Iku0a,사양말고 받으시길
15,0,Iku0a,이런 곳에 시간을 들일 순 없습니다
16,0,Iku0a,저는 한가하지 않아서...
17,0,Iku0a,싸움에 인정같은건 없습니다
18,0,Iku0a,기대받은 만큼의 역할은 해보이겠습니다
19,0,Iku0a,이렇게 되면、이쪽도 고집이 있습니다
20,0,Iku0a,당신은 위험하다는 느낌이 드네요
21,0,Iku0a,서두르지 않으면 당할 것 같네요
22,0,Iku1a,보입니다!
23,0,Iku1a,깨달으시길!
24,0,Iku1a,각오하시길!
25,0,Iku1a,거깁니다!
26,0,Iku1a,느리시군요!
27,0,Iku1a,거리가 가깝다면!
28,0,Iku1a,거기군요!
29,0,Iku1a,실례하겠습니다
30,0,Iku0a,빗맞힐 생각은 없습니다
30,1,Iku1a,눈부시게 빛나는 전격...
30,2,Iku1a,무례를 용서하시길!
31,0,Iku0a,이걸로 끝내볼까요
31,1,Iku1a,눈부시게 빛나는 전격...
31,2,Iku1a,받으시길!
32,0,Iku0a,충고를 이렇게나 무시한다면...
32,1,Iku1a,눈부시게 빛나는 일격입니다
32,2,Iku1a,받으시길!
33,0,Iku0a,저리는 정도로 끝나진 않을겁니다
33,1,Iku1a,광룡초뢰...
33,2,Iku1a,거깁니다!
34,0,Iku0a,검은 바다에 붉은 나선을...
34,1,Iku0a,필살...
34,2,Iku1a,용어...
34,3,Iku1a,드릴...!
34,4,Iku1a,브레이크...!
34,5,Iku0a,그럼、\n 이만 실례하겠습니다
35,0,Iku0a,공기가 느껴지는군요
35,1,Iku0a,필살...
35,2,Iku1a,용어...
35,3,Iku1a,드릴...!
35,4,Iku1a,브레이크...!
35,5,Iku0a,익숙하지 않은 일도\n 가끔은 해야할 때가 있지요
36,0,Iku0a,이것으로 하늘을 뚫겠습니다
36,1,Iku0a,필살...
36,2,Iku1a,용어...
36,3,Iku1a,드릴...!
36,4,Iku1a,브레이크...!
36,5,Iku1a,드릴은 모든것을 뚫는다...\n 라는 것이 정설입니다
37,0,Iku0a,때가 아니라면、어쩔 수 없군요
38,0,Iku0a,소모시키면、틈이 생기겠죠
39,0,Iku0a,기척만이 느껴지네요
40,0,Iku0a,이래선 반격은 할 수 없어요
41,0,Iku0a,대단히 신세를 졌습니다
42,0,Iku0a,좋은 공격 기회군요
43,0,Iku0a,이런 공기라、각오하시길
44,0,Iku0a,양동을 해주셨군요
45,0,Iku0a,지금은 협력합시다
46,0,Iku0a,공기를 읽은 원호입니다
47,0,Iku1a,공격해야할 공기를 느꼈습니다
48,0,Iku0a,거기 있으면 안전합니다
49,0,Iku0a,맡은 일은 다하겠습니다
50,0,Iku0a,감사받을 일 까진 아닙니다
51,0,Iku0a,지켜드리겠어요
52,0,Iku1a,제가 할 수 있는 일은 이정도입니다
53,0,Iku1a,정면에서 부딪쳐도 괜찮으신지요
54,0,Iku1a,이쪽에서 견제하겠습니다
55,0,Iku1a,뒤에서 싸우는 모습을 지켜보고싶습니다만
56,0,Iku1a,깊이 추격하진 않도록 하지요
57,0,Iku1a,뚫어내주시길
58,0,Iku1a,지시를 따르도록 하지요
59,0,Iku1a,기세를 올립시다
60,0,Iku1a,평상심을 잊어선 안됩니다
61,0,Iku1a,그럼、저를 따라와주시길
62,0,Iku1a,먼저 실례합니다
63,0,Iku0a,절호의 공기를 만들어 주셨군요
64,0,Iku0a,시의적절한 탄막을 보여줍시다
65,0,Iku0a,저희들이 바로、상대에게 있어 위험요소군요
66,0,Iku0a,큰아가씨가 이런 일을 하실 줄은...
67,0,Iku0a,큰아가씨、믿음직스러워지셨네요
68,0,Iku0a,큰아가씨、빠르게 끝냅시다
69,0,Iku0a,큰아가씨、한다면 쓰러트려주시길
70,0,Iku0a,큰아가씨、지금은 공격할 기회입니다
71,0,Iku0a,큰아가씨、지금은 공격할 기회입니다
72,0,Iku0a,큰아가씨가 만든 공기를 잇겠습니다
73,0,Iku0a,큰아가씨、저도 싸우겠습니다
74,0,Iku0a,큰아가씨、빠르게 끝냅시다
75,0,Iku0a,큰아가씨、한다면 쓰러트려주시길
76,0,Iku0a,큰아가씨、지금은 공격할 기회입니다
77,0,Iku0a,큰아가씨는 눈에 띄니까요
78,0,Iku0a,천인이란 이름이 울고있군요
79,0,Iku0a,큰아가씨、무리하진 마시길
80,0,Iku0a,큰아가씨가 아무리 튼튼하다고 해도...
81,0,Iku0a,망나니 천인이 옵니다、\n 방재 준비를 해주시길
82,0,Iku0a,큰아가씨、좋은 모습을 보여주세요
83,0,Iku0a,큰아가씨、쓸데없는 말은 됐으니까
84,0,Iku0a,큰아가씨의 지시를 따르겠습니다
85,0,Iku0a,큰아가씨、기세를 올리겠습니다
86,0,Iku0a,큰아가씨、제가 도와드리고 있습니다
87,0,Iku0a,큰아가씨、기회를 잘 읽어주셨군요
88,0,Iku0a,기질의 고조가 느껴집니다
89,0,Iku0a,큰아가씨、둘이서 끝내버립시다
90,0,Iku0a,기분 좋은 우정이군요
91,0,Iku0a,시끄러워서 좋은 양동이 될겁니다
92,0,Iku0a,제가 감독하고 있습니다
93,0,Iku0a,억지를 부려선 안됩니다
94,0,Iku0a,저도 보호자 역할이라
95,0,Iku0a,너무 멀리서 놀진 말아주시길
96,0,Iku0a,깊이 따라가선 안됩니다
97,0,Iku0a,제가 기세를 올리겠습니다
98,0,Iku0a,제가 지원하고 있습니다
99,0,Iku0a,제가 감독하고 있습니다
100,0,Iku0a,기세좋게 하면 됩니다
101,0,Iku0a,마음것 날뛰어주시길
102,0,Iku0a,절호의 공기를 만들어주셨군요
103,0,Iku0a,유기 씨、신세를 졌습니다
104,0,Iku0a,유기 씨가 만든 공기를 잇겠습니다
105,0,Iku0a,유기 씨、저도 싸우겠습니다
106,0,Iku0a,유기 씨는 눈에 띄니까요
107,0,Iku0a,유기 씨는 단단하시지만...
108,0,Iku0a,유기 씨、제가 견제를 담당하겠습니다
109,0,Iku0a,유기 씨야말로 위험하군요
110,0,Iku0a,유기 씨、기세를 올리겠습니다
111,0,Iku0a,유기 씨、제가 지원합니다
112,0,Iku0a,망나니 오니가 옵니다、\n 방재 준비는 해봤자 의미없을지도요
