ID,LineID,face,dialog
0,0,Kaguya1a,자、탄막 승부를 하자
1,0,Kaguya1a,어떤 탄막을 보여줄려나
2,0,Kaguya1a,솜씨를 감상해볼까
3,0,Kaguya1a,자、나에게 탄막을 보여주렴
4,0,Kaguya1a,보답을 해줄게
5,0,Kaguya1a,도망칠수 있을거라 생각하지 마
6,0,Kaguya1a,초대를 받아주도록 하죠
7,0,Kaguya1a,눈에 새기는게 좋을거야
8,0,Kaguya1a,슬슬、마음의 준비는 됐으려나
9,0,Kaguya1a,저승길 선물로...보물은 주지않을거지만
10,0,Kaguya1a,서두르긴.\n 조바심 내지 않아도 보여줄거야
11,0,Kaguya1a,내 앞에 선걸 후회하렴
12,0,Kaguya1a,보물에 넋이 빠지진 마렴
13,0,Kaguya1a,신체를 움직여야 할거야
14,0,Kaguya1a,나의 보물을 보여주도록 하죠
15,0,Kaguya1a,모처럼인걸、즐기도록 하겠어
16,0,Kaguya1a,너희들의 건투도 여기까지네
17,0,Kaguya1a,승산의 유무는 관계없는 일이야
18,0,Kaguya1a,여기서 쓰러트려야만 하는 상대구나
19,0,Kaguya1a,버거운 상대에겐、걸맞는 탄막을...
20,0,Kaguya1a,이미 충분히 즐겼어、\n 끝내도록 할게
21,0,Kaguya1a,이걸 사용하겠어
22,0,Kaguya1a,맞으렴
23,0,Kaguya1a,멈추렴
24,0,Kaguya1a,거기구나
25,0,Kaguya1a,이것이 마성의 반짝임이야
26,0,Kaguya1a,마성의 돌이 모으는 빛으로...
27,0,Kaguya1a,석발의 빛은 대략...
27,1,Kaguya1a,뭐、벌레정도지
28,0,Kaguya1a,영원의 빛을 보여줄게
28,1,Kaguya1a,반짝임 투성이구나
29,0,Kaguya1a,이 빛의 날카로움...
29,1,Kaguya1a,그야말로 도려내는 것 같네
30,0,Kaguya1a,직접 때리는 야만적인 짓은 안 해...
30,1,Kaguya1a,반짝임은 광선이 되지
31,0,Kaguya1a,제비집을 들여다본 독실한 자
31,1,Kaguya1a,패는 있었을까、없었을까...
31,2,Kaguya1a,모든 것은 과거의 일
32,0,Kaguya1a,지상에 넘치는 더러움의 사슬...
32,1,Kaguya1a,태어나고、가득차...
32,2,Kaguya1a,그리고、튀기렴
33,0,Kaguya1a,무한히 솟는 생명의 샘...
33,1,Kaguya1a,자、넘치렴
33,2,Kaguya1a,자、넘치렴
34,0,Kaguya1a,친숙하고、장대한 보물이여
34,1,Kaguya1a,태어나고、가득차...
34,2,Kaguya1a,그리고、튀기렴
35,0,Kaguya1a,털 하나 스칠 수 없는、용이 지닌 구슬
35,1,Kaguya1a,반짝이는 빛의 탄막...
35,2,Kaguya1a,반짝이는 빛의 탄막...견뎌보렴!
36,0,Kaguya1a,베어넘겨줄게
36,1,Kaguya1a,오색의 탄환...
36,2,Kaguya1a,오색의 탄환...받으렴!
37,0,Kaguya1a,자、간다
37,1,Kaguya1a,브릴리언트...
