ID,LineID,face,dialog
0,0,Kanako0a,거긴 신이 지나갈 길이다、비켜라
1,0,Kanako0a,그럼、시작해보지 않겠나
2,0,Kanako0a,나에게 맞서다니、불행한 녀석이군
3,0,Kanako0a,솜씨를 보여봐라
4,0,Kanako0a,먼저 너부터 치우도록 하지
5,0,Kanako0a,멀어져봤자、거긴 사정거리 안이다
6,0,Kanako0a,나에게 덤벼든 것을 후회해라!
7,0,Kanako0a,공수를 교대해볼까
8,0,Kanako0a,그냥은 못 돌려보내지!
9,0,Kanako0a,칼을 겨눈다면、용서는 없다
10,0,Kanako0a,최선의 방어는 공격이다
11,0,Kanako0a,기가 죽었다간 목숨이 날아갈거다!
12,0,Kanako0a,신력을 보여주도록 할까
13,0,Kanako0a,나의 신력을 보여주도록 하마
14,0,Kanako0a,나의 힘 앞에 굴복하는게 좋을거다
15,0,Kanako0a,길게 끌었다간 귀찮아질 것 같군
16,0,Kanako0a,지금부터가 진정한 싸움이다!
17,0,Kanako0a,이렇게 되면 나의 저력을 보여줘야겠군
18,0,Kanako0a,나의 분노를 불러일으키는구나...!
19,0,Kanako0a,신의 의지를 얕보지마라...!
20,0,Kanako1a,온바시라의 위력을 깨달아라!
21,0,Kanako1a,거기다!
22,0,Kanako1a,견뎌봐라!
23,0,Kanako1a,받아라!
24,0,Kanako1a,격추시켜주지!
25,0,Kanako0a,떨어져라、벌레같은 녀석!
26,0,Kanako1a,이것이 신의 위광이다!
27,0,Kanako1a,도망칠수 있을거라 생각했나!
28,0,Kanako0a,이것이 신제의 온바시라
28,1,Kanako0a,4개의 힘을 모아...
28,2,Kanako1a,그것을 4쌍의 결계로 한다!
29,0,Kanako1a,온바시라 난무、괄목하라!
29,1,Kanako1a,온바시라、연결!
29,2,Kanako1a,땅을 깎으며 빗발쳐라!
30,0,Kanako0a,결계를 전개한다
30,1,Kanako0a,온바시라、연결...
30,2,Kanako1a,견뎌봐라!
31,0,Kanako0a,너의 힘을 빌려주지 않겠나
31,1,Suwako0a,뭐라고?\n 안들렸는데
31,2,Kanako0a,언제나처럼、해라
31,3,Suwako0a,번거롭게 말하긴...
31,4,Suwako0a,뭐、이런거지!
32,0,Kanako0a,특별히 도와주도록 하지
32,1,Suwako0a,뭐어? 부탁한적 없는데
32,2,Kanako0a,덩굴로 발을 묶었나
32,3,Suwako0a,그러니까、멈추라고 했잖아!
32,4,Suwako0a,카나코는 사람 말을 안듣는다니까!
33,0,Kanako0a,설마、그 시절의 일을\n 잊진 않았겠지
33,1,Suwako0a,잊을 리가 없잖아?
33,2,Kanako0a,내가 덩굴을 자라게 하고...
