ID,LineID,face,dialog
0,0,KeineH0a,날 공격하면、어떻게 되는지 보여주마!
1,0,KeineH0a,이젠 물러설 수 없다!
2,0,KeineH0a,이 고양감、싫지는 않아!
3,0,KeineH0a,달이 아군이 된 나의 힘、보여주지!
4,0,KeineH0a,이 힘으로 빠르게 정리해주마!
5,0,KeineH0a,환상향의 역사가 보인다...
6,0,KeineH0a,평소의 친절한 선생이라 생각하지 마라!
7,0,KeineH0a,지금의 난 화가 나있다!
8,0,KeineH1a,싸워야만 하는 때도 있다!
9,0,KeineH0a,자아, 교육의 시간이다!
10,0,KeineH0a,도망칠수 있을거라 생각하지 마라!
11,0,KeineH0a,싸움도 역사의 필연이라는 건가...!
12,0,KeineH1a,인간 마을의 평화를 위해 싸운다!
13,0,KeineH0a,역시 이 이상 물러설 수는 없군!
14,0,KeineH1a,이젠 봐주지 않겠다!
15,0,KeineH1a,장난이 지나치군! 여기까지다!
16,0,KeineH2a,포기하지 않는다!
17,0,KeineH1a,더이상 뒤는 없다!
18,0,KeineH0a,낙숫물이 바위를 뚫는다는 말을\n 실천해 보이마
18,1,KeineH0a,낙숫물이 바위를 뚫는다는 말을\n 실천해 보이마
18,2,KeineH1a,으오오오오...
18,3,KeineH1a,으오오오오오오오오옷!!
18,4,KeineH0a,기세만 있으면 바위도 두 동강을...\n 음、그런 말이 아니었나
18,5,KeineH2a,큭、빗나갔나!
18,6,KeineH2a,하지만...멈출 수 없다!
19,0,KeineH1a,이 꽉 깨물어라!
19,1,KeineH1a,각오해라!
19,2,KeineH1a,으오오오오...
19,3,KeineH1a,으오오오오오오오오옷!!
19,4,KeineH1a,벌주기、완료!
19,5,KeineH2a,큭、빗나갔나!
19,6,KeineH2a,하지만...멈출 수 없다!
20,0,KeineH1a,벌을 줘야만 하겠군!
20,1,KeineH1a,각오해라!
20,2,KeineH1a,으오오오오...
20,3,KeineH1a,으오오오오오오오오옷!!
20,4,KeineH1a,초・꿀밤이다!
20,5,KeineH2a,큭、빗나갔나!
20,6,KeineH2a,하지만...멈출 수 없다!
21,0,KeineH1a,이걸로 얌전하게 만들어주마!
21,1,KeineH1a,혼 어택!
21,2,KeineH1a,으오오오오...
21,3,KeineH1a,으오오오오오오오오옷!!
21,4,KeineH1a,정의는 이긴다!
21,5,KeineH2a,큭、빗나갔나!
21,6,KeineH2a,하지만...멈출 수 없다!
22,0,KeineH1a,얌전히 있어라!
23,0,KeineH1a,몸을 숨기는게 좋을거다!
24,0,KeineH1a,이 곡옥이라면!
25,0,KeineH1a,역사에게서 도망칠 순 없다!
26,0,KeineH1a,곡옥이여、가라!
27,0,KeineH1a,이 바보 녀석이!
27,1,KeineH1a,각오해라!
28,0,KeineH1a,곡옥이여、가라!
28,1,KeineH1a,다음은 검이다!
29,0,KeineH1a,낡은 신기지만 쓰기에 따라선...
29,1,KeineH1a,미래를 개척한다!
30,0,KeineH1a,신기의 연계로...
30,1,KeineH1a,처리한다!
31,0,KeineH1a,평화만이 역사의 전부는 아니다!
31,1,KeineH1a,가끔은 검도 필요하지!
32,0,KeineH1a,거리가 있어도...
32,1,KeineH1a,돌아오라ㅏ!
32,2,KeineH1a,으랴앗!
33,0,KeineH1a,거기다!
33,1,KeineH1a,이쪽으로 와라!
33,2,KeineH1a,으랴앗!
34,0,KeineH1a,오오오오오...
34,1,KeineH1a,붙잡았다!
34,2,KeineH1a,벌이다아!
35,0,KeineH1a,놓치지 않는다!
35,1,KeineH1a,돌아와라!
35,2,KeineH1a,...벌이다!
36,0,KeineH0a,지금은 도망칠 수밖에...
37,0,KeineH0a,이렇게 시간을 번다면...
38,0,KeineH0a,피하기만 하는거라면、어떻게든 할수있지
39,0,KeineH0a,여기선 닿지 않는군...
40,0,KeineH1a,비겁하다! 여기로 와라!
41,0,KeineH0a,할 수 있는게 없군...
42,0,KeineH0a,으으、사정거리 바깥이라니...
43,0,KeineH1a,원수를 갚겠다!
44,0,KeineH1a,그 희생、헛되이 하지 않겠다!
45,0,KeineH1a,공격을 늦출순 없다!
46,0,KeineH0a,잘 해줬군、다음은 나다!
47,0,KeineH0a,이어서 간다! 물러나 있어줘!
48,0,KeineH1a,내가 이끌겠다!
49,0,KeineH0a,이 기회를 놓치지 않겠다!
50,0,KeineH0a,옆엔 내가 있다!
51,0,KeineH0a,여긴 내가 맡겠다!
52,0,KeineH1a,생각대로 되진 않을거다!
53,0,KeineH1a,정신 바짝 차려라!
54,0,KeineH0a,커버하겠다、안심해라
55,0,KeineH1a,좋아、동시공격이다!
56,0,KeineH1a,생각없이 파고들진 말자!
57,0,KeineH1a,비겁하다고 하진 않겠지!
58,0,KeineH0a,내가 보조하지、잘 부탁한다
59,0,KeineH1a,평범한 인솔 교사라고 생각하지 마라!
60,0,KeineH1a,내 공격의 틈을 파고드는거다!
61,0,KeineH0a,지금은 네 지시에 따르겠어
62,0,KeineH1a,교사로서、앞에 나서서 싸우겠다!
63,0,KeineH1a,이걸로 발을 묶어주지!
64,0,KeineH1a,서로 전력으로 싸워보지 않겠나!
65,0,KeineH1a,환상향의 역사를 위해!
66,0,KeineH1a,지금이 단결의 때다!
67,0,KeineH2a,레이무! 네 원수는 반드시 갚겠다...!
68,0,KeineH0a,레이무、뒤는 나에게 맡겨다오
69,0,KeineH0a,레이무가 만든 빈틈이다、놓치지 않아!
70,0,KeineH0a,레이무、내가 대신 받아내겠다!
71,0,KeineH0a,레이무、너무 무리하지 마라!
72,0,KeineH0a,레이무、등 뒤는 나에게 맡겨라!
73,0,KeineH0a,레이무、너무 무리하지 마라!
74,0,KeineH0a,가까이서 지켜보면\n 긴장을 풀지 않겠지
75,0,KeineH1a,레이무、함께 싸우자!
76,0,KeineH0a,저 녀석을 노리는게、레이무의 감인가?
77,0,KeineH1a,레이무와 내가 인간 마을을 지킨다!
78,0,KeineH1a,맡기겠다、레이무!
79,0,KeineH1a,내가 발을 묶겠다!\n 가라 레이무!
80,0,KeineH1a,레이무도 이 기회를 놓치진 않겠지!
81,0,KeineH1a,레이무와 내가 끝을 내겠다!
82,0,KeineH1a,저 녀석에게 환상향의 역사를 새겨주자!
83,0,KeineH2a,마리사! 미안하다...
84,0,KeineH0a,역시 화려하군、적의 주의가 흩어졌다!
85,0,KeineH0a,마리사、뒤는 나에게 맡겨다오!
86,0,KeineH1a,인간을 지키는 것이 내 역할이다!
87,0,KeineH0a,마리사、방심이 최대의 적이다!
88,0,KeineH1a,마리사、\n 너무 앞서지 말도록 해라!
89,0,KeineH1a,마리사、함께 싸우자!
90,0,KeineH1a,마리사、즐기는 것도 적당히
91,0,KeineH1a,마리사와 내가 인간 마을을 지킨다!
92,0,KeineH1a,부탁하지、마리사!
93,0,KeineH1a,마리사、내가 발을 묶겠다!
94,0,KeineH1a,저 녀석에게 너의 역사를 새겨주자!
95,0,KeineH1a,마리사、화려함을 보여줘라!
96,0,KeineH1a,마리사、네 진심에 나도 답하겠다!
97,0,KeineH1a,앨리스! 네 원수는 반드시 갚겠다...!
98,0,KeineH1a,앨리스、뒤는 나에게 맡겨라!
99,0,KeineH1a,앨리스가 만든 빈틈이다、놓치지 않아!
100,0,KeineH1a,앨리스、내가 대신 받아내겠다!
101,0,KeineH1a,앨리스、적이 접근하고 있다!
102,0,KeineH0a,노리는건 앨리스에게 맡기지
103,0,KeineH0a,앨리스、함께 싸우자!
104,0,KeineH1a,맡기겠다、앨리스!
105,0,KeineH1a,앨리스와 내가 인간 마을을 지킨다!
106,0,KeineH1a,앨리스의 의견은 믿을만 하지!
107,0,KeineH1a,앨리스、발을 묶겠다!
108,0,KeineH1a,앨리스、동시공격이다!
109,0,KeineH1a,앨리스、이걸로 끝내자!
110,0,KeineH1a,앨리스도 이 기회를 눈치챘겠지!
111,0,KeineH1a,앨리스와 내가 끝을 내겠다!
112,0,KeineH2a,사나에! 미안하다...
113,0,KeineH0a,사나에의 탄막으로 주의를 끌었구나
114,0,KeineH0a,사나에、뒤는 나에게 맡겨다오!
115,0,KeineH1a,인간을 지키는 것이 내 역할이다!
116,0,KeineH0a,사나에、방심했구나!
117,0,KeineH1a,사나에와 내가 인간 마을을 지킨다!
118,0,KeineH1a,사나에、함께 싸우자!
119,0,KeineH0a,성실한 학생은 대환영이다
120,0,KeineH1a,신앙 모으기를 돕겠다!
121,0,KeineH1a,할 수 있겠지、사나에!
122,0,KeineH1a,사나에、내가 발을 묶겠다!
123,0,KeineH1a,사나에의 신앙의 힘과 합쳐서!
124,0,KeineH1a,저 녀석에게 신앙의 역사를 새겨주자!
125,0,KeineH1a,사나에와 내가 끝을 내겠다!
126,0,KeineH1a,요우무! 네 원수는 반드시 갚겠다...!
127,0,KeineH0a,요우무、마무리가 살짝 아쉬웠군
128,0,KeineH1a,요우무、뒤는 나에게 맡겨다오!
129,0,KeineH1a,요우무、너무 깊이 들어간거 같은데?
130,0,KeineH1a,요우무、여긴 내가 받아내겠다!
131,0,KeineH0a,노리는건 요우무에게 맞기지
132,0,KeineH0a,요우무、함께 싸우자!
133,0,KeineH0a,성실한 학생은 대환영이다
134,0,KeineH1a,할 수 있겠지、요우무!
135,0,KeineH1a,요우무와 내가 인간 마을을 지킨다!
136,0,KeineH1a,요우무、내가 발을 묶겠다!
137,0,KeineH1a,요우무、이걸로 막을 내리자!
138,0,KeineH1a,저 녀석에게 검의 역사를 새겨주자!
139,0,KeineH1a,요우무와 내가 끝을 내겠다!
140,0,KeineH1a,모코우! 네 원수는 반드시 갚겠다...!
141,0,KeineH0a,모코우、뒤는 나에게 맡겨다오
142,0,KeineH0a,모코우가 만든 빈틈이다、놓치지 않아!
143,0,KeineH0a,모코우、등 뒤는 나에게 맡겨라!
144,0,KeineH0a,모코우、너무 무리했어!
145,0,KeineH1a,모코우、함께 싸우자!
146,0,KeineH1a,모코우와 내가 인간 마을을 지킨다!
147,0,KeineH1a,전투는 모코우의 지시를 따르겠다!
148,0,KeineH1a,맡기겠다、모코우!
149,0,KeineH1a,모코우、내가 발을 묶겠다!
150,0,KeineH1a,저 녀석에게 불의 역사를 새겨주자!
151,0,KeineH1a,모코우、우리들의 역사를 보여줄 때다!
152,0,KeineH1a,모코우와 내가 끝을 내겠다!
153,0,KeineH0a,힘은 부족해도 누굴 노려야 하는진 아는군
154,0,KeineH0a,맞힌것 만은 칭찬해주지!
155,0,KeineH0a,겨우 맞히는게 전부인가
156,0,KeineH0a,봐준건가?
157,0,KeineH0a,소란스럽기만 했군
158,0,KeineH2a,이래선 학생들의 모범이 되지 못하겠네...
159,0,KeineH2a,인간을 위해서、\n 질 수 없다!
160,0,KeineH2a,마지막까지 희망을 버릴 수는...!
161,0,KeineH2a,이대로 끝날까보냐!
162,0,KeineH2a,여기가 승부처군...
163,0,KeineH2a,각오를 다질까...
164,0,KeineH2a,몸을 지키는게 정답이었군...
165,0,KeineH2a,여긴 견딜 수밖에...!
166,0,KeineH2a,지금의 나에게 다가오지 마라!
167,0,KeineH2a,방심했다...
168,0,KeineH2a,그 정도의 실력일 줄은!
