ID,LineID,face,dialog
0,0,Kisume0a,해치워줄 거야!
1,0,Kisume0a,나라도 할수있겠지!
2,0,Kisume0a,나도 싸울거니까...
3,0,Kisume0a,나도、지저의 요괴야!
4,0,Kisume0a,도움이 될거니까!
5,0,Kisume0a,야마메 짱도 함께니까!
6,0,Kisume0a,마음껏 싸워야지!
7,0,Kisume0a,어렵게 생각하지 않아도 되는거지!
8,0,Kisume0a,분명 잘할 수 있을 거야!
9,0,Kisume0a,그쪽이 물러설 생각이 없다면...
10,0,Kisume0a,좋-아、해볼까
11,0,Kisume0a,나도 지지 않을거야!
12,0,Kisume0a,모두와 함께라면 무섭지 않아!
13,0,Kisume0a,이대로 끝내면 안 되지!
14,0,Kisume0a,간단히 당해버리면 웃음거리가 되어버려!
15,0,Kisume0a,이-얍!
16,0,Kisume0a,거기구나!
17,0,Kisume0a,기세를 몰아서...!
18,0,Kisume0a,에-잇!
19,0,Kisume0a,해볼 수밖에 없네!
19,1,Kisume1a,맞아라-!
19,2,Kisume0a,잘 된 것 같아...
20,0,Kisume1a,지금이라면 위가 비었을지도...
20,1,Kisume1a,맞아라!
20,2,Kisume0a,다시 감아올려야지...
21,0,Kisume1a,위에 숨어서...
21,1,Kisume1a,지금이다!
21,2,Kisume0a,안녕히...
22,0,Kisume0a,나답게 싸우려면...
22,1,Kisume0a,에잇!
22,2,Kisume0a,제대로 맞힐려나...
23,0,Kisume0a,......
23,1,Kisume2a,히익!
23,2,Kisume2a,무서웠어...
24,0,Kisume0a,노리는건 저쪽인거지!
24,1,Kisume2a,맞아라-!
25,0,Kisume0a,이 기술을 쓴다면...
25,1,Kisume2a,에-잇!
26,0,Kisume0a,여기서부턴...
26,1,Kisume2a,마음껏 간다-!
27,0,Kisume0a,가자、야마메 짱!
27,1,Kisume0a,위치를 맞춰서...엇、어디야?
27,2,Kisume0a,위치를 맞춰서...엇、어디야?\n 우와앗!
27,3,Yamame0a,지저의 혼、완전연소!
27,4,Kisume0a,돈다、돌아---!
27,5,Yamame1a,캐논 통...!
27,6,Kisume0a,어-택...
27,7,Kisume2b,어-택...\n 근데、생각보다 너무 빠른데에에?!
27,8,Kisume2a,아야!
27,9,Kisume0a,이렇게 된 이상...
27,10,Kisume2a,이렇게 된 이상...에-잇!!
27,11,Kisume0a,잘 맞혀줘、야마메 짱
