ID,LineID,face,dialog
0,0,Komachi0a,자、한번 가볼까!
1,0,Komachi0a,자、즐거운 수명의 시간이다!
2,0,Komachi0a,넌 내 사냥감이라는 거라고
3,0,Komachi0a,잠깐 놀아볼까!
4,0,Komachi0a,앗、돌아가기 전에 이걸 들고가라고!
5,0,Komachi0a,걸어 오는 싸움은 이 세상의 백미지
6,0,Komachi0a,조금만 더 놀다 가라고!
7,0,Komachi0a,사신에게 맞섰다간、영혼을 빼앗기고...\n 농담이야
8,0,Komachi0a,맞선다면、용서는 없어
9,0,Komachi0a,살짝 따끔한 맛을 보게 해줘야겠는걸
10,0,Komachi0a,그럼、단념해줘야겠어
11,0,Komachi0a,삼도천으로 한 명 안내다!
12,0,Komachi0a,뒤처리 값은 달아놓도록 하겠어!
13,0,Komachi0a,어떤 항로든、위험이 도사리는 법...
14,0,Komachi0a,이렇게 되면、될 대로 되라!
15,0,Komachi0a,자、\n 특급 수송으로 정리해야겠어!
16,0,Komachi0a,나도 의지 정도는 있거든!
17,0,Komachi0a,슬슬\n 쓰러줬으면 좋겠는데 말이지
18,0,Komachi1a,잡았다!
19,0,Komachi1a,각오해라!
20,0,Komachi1a,거기다!
21,0,Komachi1a,막아낼 수 있겠어!?
22,0,Komachi0a,붕붕 돌리는게 딱히\n 취미는 아니지만...
22,1,Komachi1a,으랴!
23,0,Komachi0a,봐주는건 없다고...
23,1,Komachi1a,잠들어라!
24,0,Komachi0a,단숨에 승부를 내볼까
24,1,Komachi1a,으랴아!
25,0,Komachi0a,자 자、사신 님의 행차시다!
25,1,Komachi1a,어기여차!
26,0,Komachi0a,너가 어디에 있던\n 나는 상관이 없지
26,1,Komachi1a,으랴아!
27,0,Komachi0a,거기라면、\n 낫이 닿지 않을거라 생각한건가?
27,1,Komachi1a,으랏차!
28,0,Komachi0a,조금 무리하게라도...
28,1,Komachi1a,이야압!
29,0,Komachi0a,거리를 뒀다고 방심했구나!
29,1,Komachi1a,이야압!
30,0,Komachi0a,교활하게 굴지 말라고
30,1,Komachi1a,영차아!
31,0,Komachi0a,바보와 능력은 쓰기 나름...이란거지
31,1,Komachi1a,으랴아아!
32,0,Komachi0a,이게 나의 본직이다!
32,1,Komachi0a,자、출발이다
32,2,Komachi0a,나아가라! 미련의 안개를 헤치며!
32,3,Komachi0a,좋은 항해였지?
32,4,Komachi0a,좋은 항해였지?
33,0,Komachi0a,와라! 타이타닉!
33,1,Komachi0a,좋-아、출발이다!
33,2,Komachi0a,너도 태워줄까?
33,3,Komachi0a,뱃삯은 달아둘게
33,4,Komachi0a,뱃삯은 달아둘게
34,0,Komachi0a,주홍색...
34,1,Komachi0a,흩날리며 여행하고、흙이 된다
34,2,Komachi0a,바람은 파도...
34,3,Komachi0a,나는 나룻배...엿차
34,4,Komachi0a,나는 나룻배...엿차
35,0,Komachi0a,네 목숨의 가치、받아가지!
35,1,Komachi0a,어디、값은...엿차
35,2,Komachi1a,이 정도인가!
35,3,Komachi0a,부족하면 어디에도 갈 수 없다고
35,4,Komachi0a,부족하면 어디에도 갈 수 없다고
36,0,Komachi0a,돈에 얽매이면 망한다고!
36,1,Komachi0a,어디、값은...엿차
36,2,Komachi1a,이 정도인가!
36,3,Komachi0a,삶의 방식을 뉘우쳐
36,4,Komachi0a,삶의 방식을 뉘우쳐
37,0,Komachi0a,내 페이스로 하도록 하겠어
38,0,Komachi0a,지금 싸우는건 그만두도록 할까
39,0,Komachi0a,내 페이스로 하도록 하겠어
40,0,Komachi0a,닭 쫓던 개 지붕 쳐다보듯 인가
41,0,Komachi0a,어라? 어디로 간거야?
42,0,Komachi1a,사신은 의리가 단단하거든!
43,0,Komachi0a,뒤는 나에게 맡겨둬
44,0,Komachi0a,더 우려먹어볼까!
45,0,Komachi0a,방금이 마지막이라고 생각한거야?
46,0,Komachi0a,도와주면 되잖아、도와주면
47,0,Komachi0a,주위를 둘러보는게 어때?
48,0,Komachi0a,참견해주마!
49,0,Komachi0a,예인선을 내보내볼까
50,0,Komachi0a,엇차、여긴 통행 금지다!
51,0,Komachi1a,선두를 가져가볼까!
52,0,Komachi1a,이걸로 몰아세운다!
53,0,Komachi1a,기세 좋게 하면、눈속임이 되지!
54,0,Komachi1a,너무 열낼 필요는 없어!
55,0,Komachi1a,알겠어、저 녀석을 노리면 되는거지!
56,0,Komachi1a,내가 거리를 좁힐게!
57,0,Komachi1a,견제를 맡을게!
58,0,Komachi1a,맞춰줄테니 잘 활약해달라고!
59,0,Komachi0a,뒤에 있어도 일은 생기는구만
60,0,Komachi1a,이쪽은 언제든 괜찮아!
61,0,Komachi1a,네 수명은 여기까지다!
62,0,Komachi1a,합동 기술로 가볼까!
63,0,Komachi0a,자아、함께 간다!
64,0,Komachi2a,아차、땡땡이가 지나쳤나...
65,0,Komachi0a,시키 님、아직 반성이 부족한 것 같네요
66,0,Komachi0a,시키 님、이어서 갑니다!
67,0,Komachi0a,시키 님을 방해하게 둘 순 없지!
68,0,Komachi0a,시키 님은 앞을 향해 주세요
69,0,Komachi0a,자 자、제대로 정좌하라고
70,0,Komachi0a,시키 님、길을 열겠습니다!
71,0,Komachi0a,시키 님、제가 거리를 좁히겠습니다!
72,0,Komachi0a,바로 저 녀석을 데려오겠습니다!
73,0,Komachi0a,시키 님、호흡을 맞춰보죠!
74,0,Komachi0a,시키 님、둘이서 갑시다!
75,0,Komachi0a,특급 재판 코스로 가봅시다!
76,0,Komachi0a,저도 진지하게 하고있다구요
77,0,Komachi1a,여기서 저 녀석을 놓치면、\n 흡혈귀를 볼 면목이 없어지겠어!
78,0,Komachi0a,내가 이어받을게、\n 넌 물러서서 홍차라도 우리고 있어
79,0,Komachi0a,사쿠야、혼자선 힘들거라고
80,0,Komachi0a,너 답지 않게、마무리가 어설펐네
81,0,Komachi0a,사쿠야、나도 간다!
82,0,Komachi0a,사쿠야、너무 깊이 들어갔어
83,0,Komachi0a,사쿠야、뒤도 신경쓰라고
84,0,Komachi0a,내가 노려질거라 생각해서\n 피할 생각도 안했지?
85,0,Komachi0a,메이드장은 사람을 험하게 다루는구만
86,0,Komachi1a,사쿠야、저 녀석부터 깎아볼까!
87,0,Komachi0a,사쿠야가 앞에 나서니 마음이 편하네
88,0,Komachi0a,잘 맞춰달라고...말할 필요도 없나
89,0,Komachi0a,자、일하면 되잖아
