ID,LineID,face,dialog
0,0,Komachi0a,자、즐거운 수명의 시간이다!
1,0,Komachi0a,그럼、단념해줘야겠어
2,0,Komachi0a,자、한번 가볼까!
3,0,Komachi0a,앗、돌아가기 전에 이걸 들고가라고!
4,0,Komachi0a,걸어 오는 싸움은 이 세상의 백미지
5,0,Komachi0a,조금만 더 놀다 가라고!
6,0,Komachi0a,사신에게 맞섰다간、영혼을 빼앗기고...\n 농담이야
7,0,Komachi0a,살짝 따끔한 맛을 보게 해줘야겠는걸
8,0,Komachi0a,넌 내 사냥감이라는 거라고
9,0,Komachi0a,잠깐 놀아볼까!
10,0,Komachi0a,삼도천으로 한 명 안내다!
11,0,Komachi0a,어떤 항로든、위험이 도사리는 법...
12,0,Komachi0a,이렇게 되면、될 대로 되라!
13,0,Komachi0a,나도 의지 정도는 있거든!
14,0,Komachi0a,슬슬\n 쓰러줬으면 좋겠는데 말이지
15,0,Komachi1a,잡았다!
16,0,Komachi1a,각오해라!
17,0,Komachi1a,거기다!
18,0,Komachi1a,막아낼 수 있겠어!?
19,0,Komachi0a,붕붕 돌리는게 딱히\n 취미는 아니지만...
19,1,Komachi1a,으랴!
20,0,Komachi0a,봐주는건 없다고...
20,1,Komachi1a,잠들어라!
21,0,Komachi0a,단숨에 승부를 내볼까
21,1,Komachi1a,으랴아!
22,0,Komachi0a,자 자、사신 님의 행차시다!
22,1,Komachi1a,어기여차!
23,0,Komachi0a,너가 어디에 있던\n 나는 상관이 없지
23,1,Komachi1a,으랴아!
24,0,Komachi0a,거기라면、\n 낫이 닿지 않을거라 생각한건가?
24,1,Komachi1a,으랏차!
25,0,Komachi0a,거리를 뒀다고 방심했구나!
25,1,Komachi1a,이야압!
26,0,Komachi0a,교활하게 굴지 말라고
26,1,Komachi1a,영차아!
27,0,Komachi0a,바보와 능력은 쓰기 나름...이란거지
27,1,Komachi1a,으랴아아!
28,0,Komachi0a,이게 나의 본직이다!
28,1,Komachi0a,자、출발이다
28,2,Komachi0a,나아가라! 미련의 안개를 헤치며!
28,3,Komachi0a,좋은 항해였지?
28,4,Komachi0a,좋은 항해였지?
29,0,Komachi0a,와라! 타이타닉!
29,1,Komachi0a,좋-아、출발이다!
29,2,Komachi0a,너도 태워줄까?
29,3,Komachi0a,뱃삯은 달아둘게
29,4,Komachi0a,뱃삯은 달아둘게
30,0,Komachi0a,주홍색...
30,1,Komachi0a,흩날리며 여행하고、흙이 된다
30,2,Komachi0a,바람은 파도...
30,3,Komachi0a,나는 나룻배...엿차
30,4,Komachi0a,나는 나룻배...엿차
31,0,Komachi0a,내 페이스로 하도록 하겠어
32,0,Komachi0a,지금 싸우는건 그만두도록 할까
33,0,Komachi0a,내 페이스로 하도록 하겠어
34,0,Komachi0a,어라? 어디로 간거야?
35,0,Komachi1a,사신은 의리가 단단하거든!
36,0,Komachi0a,뒤는 나에게 맡겨둬
37,0,Komachi0a,더 우려먹어볼까!
38,0,Komachi0a,방금이 마지막이라고 생각한거야?
39,0,Komachi0a,도와주면 되잖아、도와주면
40,0,Komachi0a,주위를 둘러보는게 어때?
41,0,Komachi0a,참견해주마!
42,0,Komachi0a,예인선을 내보내볼까
43,0,Komachi0a,엇차、여긴 통행 금지다!
44,0,Komachi1a,여기서 저 녀석을 놓치면、\n 흡혈귀를 볼 면목이 없어지겠어!
45,0,Komachi0a,내가 이어받을게、\n 넌 물러서서 홍차라도 우리고 있어
46,0,Komachi0a,너 답지 않게、마무리가 어설펐네
47,0,Komachi0a,사쿠야、뒤도 신경쓰라고
48,0,Komachi0a,내가 노려질거라 생각해서\n 피할 생각도 안했지?
49,0,Komachi0a,어때、아직도 계속 할건가?
50,0,Komachi0a,이런이런、긴장이 안 되네
51,0,Komachi0a,그런 공격으론、\n 죽도 밥도 안 된다고
52,0,Komachi0a,조금만 더 힘내보라고
53,0,Komachi2a,나도 슬슬、\n 천벌 받을 때인가
54,0,Komachi2a,이거 좋지 않은걸...
55,0,Komachi2a,큭、\n 방심할 생각은 없었는데...
56,0,Komachi2a,이、이거 농담 수준이 아닌데...!
57,0,Komachi2a,이거 놀고있을 때가 아니구만...
58,0,Komachi2a,크악!
59,0,Komachi2a,저쪽이 한 수 위였나...
60,0,Komachi2a,별 거 아닌데-
61,0,Komachi0a,그 정도론 겁먹지 않아
62,0,Komachi0a,받아낼 수 밖에 없네
63,0,Komachi2a,좀 마음을 가다듬어야겠어!
64,0,Komachi2a,이거 한 벌 밖에 없다고、\n 좀 봐줘라
65,0,Komachi0a,상당히 실력이 좋은데?
66,0,Komachi2a,어이쿠、좋은 일격이었어
67,0,Komachi0a,준비운동도 안 되네
68,0,Komachi0a,부채질 실력이 좋은걸?
69,0,Komachi0a,그런 움직임으론、오래 못살거다
70,0,Komachi0a,조준이 너무 조잡하다고
71,0,Komachi0a,위험해라、\n 맞을 뻔 했잖아
72,0,Komachi0a,즐길 수 있다는건 좋은 일이네
73,0,Komachi0a,조금 미안스러운걸
74,0,Komachi0a,공격을 막는건 재미있단 말이지
75,0,Komachi0a,엿차、어쩌다보니 치워버렸네
76,0,Komachi0a,이렇게 도움이 되지!
77,0,Komachi0a,움직임이 느리니 눈치도 느릴거라 생각한건가?
78,0,Komachi0a,조금만 더 힘내봐
79,0,Komachi0a,그 움직임은 읽고 있었지
80,0,Komachi0a,흐름을 읽으면、간단한 일이야
81,0,Komachi0a,아쉽지만、내가 한 수 위였어
82,0,Komachi2a,아차、당해버렸나...
83,0,Komachi2a,나도 열심히 했지만 말이지...
84,0,Komachi0a,좋은 운동이었어、\n 먼저 쉬고있을까
85,0,Komachi0a,시키 님의 안내를 해볼까
86,0,Komachi0a,자、한번 가볼까!
87,0,Komachi0a,자、즐거운 수명의 시간이다!
88,0,Komachi0a,넌 내 사냥감이라는 거라고
89,0,Komachi0a,잠깐 놀아볼까!
90,0,Komachi0a,앗、돌아가기 전에 이걸 들고가라고!
91,0,Komachi0a,조금만 더 놀다 가라고!
92,0,Komachi0a,사신에게 맞섰다간、영혼을 빼앗기고...\n 농담이야
93,0,Komachi0a,살짝 따끔한 맛을 보게 해줘야겠는걸
94,0,Komachi0a,그럼、단념해줘야겠어
95,0,Komachi0a,삼도천으로 한 명 안내다!
96,0,Komachi0a,뒤처리 값은 달아놓도록 하겠어!
97,0,Komachi0a,어떤 항로든、위험이 도사리는 법...
98,0,Komachi0a,자、\n 특급 수송으로 정리해야겠어!
99,0,Komachi0a,나도 의지 정도는 있거든!
100,0,Komachi0a,슬슬\n 쓰러줬으면 좋겠는데 말이지
101,0,Komachi1a,잡았다!
102,0,Komachi1a,각오해라!
103,0,Komachi1a,거기다!
104,0,Komachi1a,막아낼 수 있겠어!?
105,0,Komachi0a,붕붕 돌리는게 딱히\n 취미는 아니지만...
105,1,Komachi1a,으랴!
106,0,Komachi0a,봐주는건 없다고...
106,1,Komachi1a,잠들어라!
107,0,Komachi0a,단숨에 승부를 내볼까
107,1,Komachi1a,으랴아!
108,0,Komachi0a,자 자、사신 님의 행차시다!
108,1,Komachi1a,어기여차!
109,0,Komachi0a,너가 어디에 있던\n 나는 상관이 없지
109,1,Komachi1a,으랴아!
110,0,Komachi0a,거기라면、\n 낫이 닿지 않을거라 생각한건가?
110,1,Komachi1a,으랏차!
111,0,Komachi0a,거리를 뒀다고 방심했구나!
111,1,Komachi1a,이야압!
112,0,Komachi0a,교활하게 굴지 말라고
112,1,Komachi1a,영차아!
113,0,Komachi0a,바보와 능력은 쓰기 나름...이란거지
113,1,Komachi1a,으랴아아!
114,0,Komachi0a,이게 나의 본직이다!
114,1,Komachi0a,자、출발이다
114,2,Komachi0a,나아가라! 미련의 안개를 헤치며!
114,3,Komachi0a,좋은 항해였지?
114,4,Komachi0a,좋은 항해였지?
115,0,Komachi0a,와라! 타이타닉!
115,1,Komachi0a,좋-아、출발이다!
115,2,Komachi0a,너도 태워줄까?
115,3,Komachi0a,뱃삯은 달아둘게
115,4,Komachi0a,뱃삯은 달아둘게
116,0,Komachi0a,주홍색...
116,1,Komachi0a,흩날리며 여행하고、흙이 된다
116,2,Komachi0a,바람은 파도...
116,3,Komachi0a,나는 나룻배...엿차
116,4,Komachi0a,나는 나룻배...엿차
117,0,Komachi0a,네 목숨의 가치、받아가지!
117,1,Komachi0a,어디、값은...엿차
117,2,Komachi1a,이 정도인가!
117,3,Komachi0a,부족하면 어디에도 갈 수 없다고
117,4,Komachi0a,부족하면 어디에도 갈 수 없다고
118,0,Komachi0a,돈에 얽매이면 망한다고!
118,1,Komachi0a,어디、값은...엿차
118,2,Komachi1a,이 정도인가!
118,3,Komachi0a,삶의 방식을 뉘우쳐
118,4,Komachi0a,삶의 방식을 뉘우쳐
119,0,Komachi0a,내 페이스로 하도록 하겠어
120,0,Komachi0a,지금 싸우는건 그만두도록 할까
121,0,Komachi0a,내 페이스로 하도록 하겠어
122,0,Komachi0a,어라? 어디로 간거야?
