ID,LineID,face,dialog
0,0,Kurumi0a,해 버리기 때문에!
1,0,Kurumi0a,『째』든지 말해 뼈를 꺾는…\n 그것이 유카짱 류야
2,0,Kurumi0a,나라도 할 수 있기 때문에!
3,0,Kurumi0a,좋아、노력하겠어―!
4,0,Kurumi0a,여기의 차례군요!
5,0,Kurumi1a,벌써、했군~!
6,0,Kurumi0a,아직 보이고 있는걸!
7,0,Kurumi0a,좋아、공격의 찬스군요!
8,0,Kurumi0a,곤란했을 때에는 공격도、\n 유카짱이 말했다!
9,0,Kurumi0a,나라도 악마인 것이니까!
10,0,Kurumi0a,나는 호수의 지키는 사람… 이었던 생각이 든다…
11,0,Kurumi0a,나도、\n 악마력은 오르고 있을 것!
12,0,Kurumi2a,내가 당해 버리면、\n 분명하게 도우러 와
13,0,Kurumi0a,이제 여기에 오지 말아요~!
14,0,Kurumi0a,와、여기서 \n 노력하면 칭찬해 받을 수 있을 것!
15,0,Kurumi0a,여기가 괴로우면、\n 저쪽도 괴로운 것… 같다
16,0,Kurumi0a,、후후후. \n 악마의 저력을 보이기 때문에!
17,0,Kurumi0a,이제 곧 \n 누군가가 도우러 와 준다… 라고 해
18,0,Kurumi1a,거기야!
19,0,Kurumi1a,우랴아─!
20,0,Kurumi1a,맞아랏!
21,0,Kurumi1a,이런 것이겠지!
22,0,Kurumi1a,광탄발 쏘아 맞히고、와!
23,0,Kurumi1a,창고네창고네~!
24,0,Kurumi1a,그렇다면、닿았다!
25,0,Kurumi2a,히─응、눈부셔
26,0,Kurumi1a,빛의 총알·르미나스브렛트!
27,0,Kurumi0a,도망칠 수 없으니까!
27,1,Kurumi1a,스플래쉬 레이저!
28,0,Kurumi0a,좋아、날아라―!
28,1,Kurumi1a,스프라슈、레이저!
29,0,Kurumi0a,거기겠지、보이고 있어요!
29,1,Kurumi1a,가라―、스플래쉬 레이저!
30,0,Kurumi0a,그러면 필살…
30,1,Kurumi1a,―、―!
31,0,Kurumi0a,그러면 소중히 간직함의…
31,1,Kurumi1a,―、로수응벌!
32,0,Kurumi0a,나라고 힘을 쥐어짜면…
32,1,Kurumi1a,스플래쉬 레이저…
32,2,Kurumi1a,스플래쉬 레이저… 풀 파워다!
33,0,Kurumi0a,이 레이저는 실은 유카짱 직전[直傳]…
33,1,Kurumi1a,호두 레이저…
33,2,Kurumi1a,호두 레이저… 풀 파워!
34,0,Kurumi0a,그러면 필살…
34,1,Kurumi1a,슈퍼―!
34,2,Kurumi1a,유도라든지는 하지 않지만 말야!
35,0,Kurumi0a,그러면 소중히 간직함의…
35,1,Kurumi1a,빛나라、호두 레이저!
35,2,Kurumi1a,좀더 좀더!
36,0,Kurumi1a,여기에 와、엘리짱!
36,1,Kurumi1a,노력하겠어―!
36,2,Elliy1a,분명하게 맞히는거야!
37,0,Kurumi1a,엘리짱、저것을 하자!
37,1,Kurumi1a,그 이름도 이름 붙여…!
37,2,Elliy1a,반사경·타일!
38,0,Kurumi1a,좋아、준비할 수 있었어요!
38,1,Kurumi1a,엘리짱、좋아!
38,2,Elliy1a,맞히지 않으면 의미 없으니까!
39,0,Kurumi0a,반격 할 수 없지、어쩔 수 없다―
40,0,Kurumi2a,도―、공격하고 있는 여유가 없어
41,0,Kurumi1a,히오늘의―! 여기 오세요!
42,0,Kurumi0a,어? \n 어디에서 공격해 왔어?
43,0,Kurumi1a,<EnName>의 원수!
44,0,Kurumi0a,나에게도 시켜 줄래?
45,0,Kurumi0a,내가 도와 준다!
46,0,Kurumi0a,힘을 합하면、능숙하게 가지요!
47,0,Kurumi0a,알고 있어、나의 차례겠지!
48,0,Kurumi2a,호두 실드이라니―!
49,0,Kurumi0a,위태롭다、이제
50,0,Kurumi0a,친구를 위해서라면―!
51,0,Kurumi2a,네─뭐뭐、내가 방패야!?
52,0,Kurumi1a,악마 파워로 돕니까요!
53,0,Kurumi1a,눈부시기 때문에、조심해!
54,0,Kurumi1a,좋아、돕기 때문에!
55,0,Kurumi1a,능숙하게 도와、칭찬해 받자!
56,0,Kurumi1a,어쨌든 공격해라―!
57,0,Kurumi1a,저 녀석을 놀래키면 좋은거네!
58,0,Kurumi1a,빛의 총알로 깜짝 놀라게 해 버려랏!
59,0,Kurumi0a,콤비 네이션은、\n 조금 근사하다!
60,0,Kurumi1a,나의 좋은 곳、보여 버리기 때문에!
61,0,Kurumi1a,악마 파워가 높아지고 있네요!
62,0,Kurumi1a,좋아、나도 함께!
63,0,Kurumi2a,파、파츄리짱이 나를 위해서(때문에)…!?
64,0,Kurumi0a,마력의 서포트는 할 수 없지만!
65,0,Kurumi0a,파츄리짱의 명령이라면!
66,0,Kurumi0a,파츄리짱의 거들기군요!
67,0,Kurumi0a,나에게 감싸라는 것인 거네…
68,0,Kurumi1a,파츄리짱、위험하다!
69,0,Kurumi1a,마력의 서포트는 할 수 없지만!
70,0,Kurumi2a,파츄리짱은 사람 다루기가…\n 아、아니 아무것도 아닙니다
71,0,Kurumi0a,책의 정리보다는、탄막이 자신있어!
72,0,Kurumi0a,노력하면、파츄리짱이라도 \n 칭찬해 줄지도 몰라
73,0,Kurumi0a,파츄리짱、도와요!
74,0,Kurumi1a,파츄리짱、나의 악마 파워로!
75,0,Kurumi1a,좋아、\n 파츄리짱에게 좋은 곳 보이자!
76,0,Kurumi1a,파츄리짱과 함께라면!
77,0,Kurumi2a,아、앨리스짱!
78,0,Kurumi0a,앨리스짱의 거들기군요!
79,0,Kurumi0a,노력하고 있어도、\n 앨리스짱으로부터 유카짱에게 전해 줘
80,0,Kurumi0a,노력하고 있어도、\n 앨리스짱으로부터 유카짱에게 전해 줘
81,0,Kurumi1a,앨리스짱、위험하다!
82,0,Kurumi0a,앨리스짱、어느 쪽으로 공격하면 돼?
83,0,Kurumi0a,앨리스짱이라면、나에 맞추어 준다!
84,0,Kurumi0a,분명하게 하고 있어도、\n 앨리스짱으로부터 유카짱에게 전해 줘
85,0,Kurumi0a,앨리스짱、후 잘 부탁드립니다!
86,0,Kurumi1a,앨리스짱、도와요!
87,0,Kurumi1a,앨리스짱、나의 악마 파워로!
88,0,Kurumi1a,좋아、앨리스짱에게 좋은 곳 보이자!
89,0,Kurumi1a,앨리스짱과 함께라면!
90,0,Kurumi2a,에、엘리짱!
91,0,Kurumi0a,엘리짱은 조금 대략적이기 때문에
92,0,Kurumi0a,엘리짱의 뒤로라면!
93,0,Kurumi0a,엘리짱의 뒤로 계속되어요!
94,0,Kurumi0a,나와 엘리짱의 사이가 아니다
95,0,Kurumi1a,엘리짱、위험하닷!
96,0,Kurumi1a,노력해 유카짱에게 칭찬해 받자!
97,0,Kurumi1a,엘리짱、둘이서 노력하자!
98,0,Kurumi1a,나와 엘리짱로、\n 여기에서 앞은 통하지 않기 때문에!
99,0,Kurumi1a,저 녀석을 공격하면 좋구나、엘리짱!
100,0,Kurumi1a,엘리짱、도와요!
