ID,LineID,face,dialog
0,0,Luna0a,저것은 노릴 수 있을 것 같구나
1,0,Luna0a,지금은 후원자도 있고!
2,0,Luna0a,소리를 지워 도둑질이야는…
3,0,Luna0a,사니에뿐 \n 좋은 외모는 시키지 않아요!
4,0,Luna0a,다시할 정도라면…
5,0,Luna0a,、지지 않아요!
6,0,Luna0a,결국 이렇게 되어 버렸어요…
7,0,Luna0a,조금 탄막을 내、\n 그 틈에 도망칠 수 없을까
8,0,Luna0a,지금이라면 맞힐 수 있을지도!
9,0,Luna0a,모두가 하면…
10,0,Luna0a,필살기의 차례군요
11,0,Luna1a,와、이
12,0,Luna1a,라고、와
13,0,Luna1a,이렇게 되면 야케야!
14,0,Luna1a,이외에 없으면、어쩔 수 없어요
15,0,Luna1a,라고
16,0,Luna1a,야앗
17,0,Luna1a,내고 있기 때문에 맞아요!
18,0,Luna0a,맞을까나…
19,0,Luna1a,네 있고、맞아라―!
20,0,Luna1a,에이!
21,0,Luna0a,두 사람 모두、부탁!
21,1,Sunny0a,어쩔 수 없구나. 준비는 좋아?
21,2,Star0a,여기는 확실히
21,3,Luna1a,세 명 모이면 어떻게든 되어!
21,4,Sunny1a,그러면 가요、―!
22,0,Luna0a,사니、스타、부탁!
22,1,Sunny0a,사、\n 포메이션 어택을 가마니원이야
22,2,Star0a,사니가 앞에서、루나도 앞이야
22,3,Luna0a,… 뭔가 그것 이상하지 않아?
22,4,Sunny1a,뭐 좋아、개있고!!
23,0,Luna0a,사니、스타、포메이션이야!
23,1,Sunny0a,이번은 분위기 바꾸어 줍시다
23,2,Star0a,그렇구나、는 이번은 루나가 부탁해요
23,3,Luna0a,어、내가 있을 수 있는 말하는 거야?
23,4,Luna1a,부끄럽구나…\n 、개─있고…
24,0,Luna0a,사니、스타、저것을 해요!
24,1,Sunny0a,저것이 아니고、\n 분명하게 이름으로 말해요
24,2,Luna0a,그것이、이름을 드 잊고 해 버린거야
24,3,Star0a,그러면 좋은 것이 아니야? 저것인 채로
24,4,Sunny1a,뭔가 흐리멍텅하구나…\n 뭐 좋아、!
25,0,Luna1a,두 사람 모두、협력해!
25,1,Star0a,이번은 루나가 리더인 거네
25,2,Sunny0a,괜찮은가… 루나응 냄새가 나니까
25,3,Luna1a,… 나빴다
25,4,Sunny1a,좋으니까 해요、-있고!
26,0,Luna2a,히이─. 두 사람 모두 도와!
26,1,Sunny0a,정말、루나응 냄새가 나는구나
26,2,Luna0a,나빴다. 라고 할까 \n 응 냄새나는 것은 관계없잖아
26,3,Star0a,그것은 좋으니까、사니
26,4,Sunny1a,그렇구나、~!!
27,0,Luna0a,… 할 수 밖에 없네요
27,1,Luna1a,좋은、두 사람 모두. S·F·A야
27,2,Sunny0a,S… 슈퍼!
