ID,LineID,face,dialog
0,0,Lunasa0a,나는 관객을 선택하지 않는다
1,0,Lunasa0a,다음은 이쪽의 프레이즈를 연주하는 차례…
2,0,Lunasa0a,너무 까불며 떠들구나 、안정해
3,0,Lunasa0a,당한 채로 끝내지 않는다
4,0,Lunasa0a,지금의 소리、반복해요
5,0,Lunasa0a,잡음은、처리할 때까지
6,0,Lunasa0a,대금은 본 돌아오는 길이야
7,0,Lunasa0a,스트라디바리우스도 맨발로 도망치기 시작하는 \n 명기의 유령…
8,0,Lunasa0a,fortissimo로 연주한다
9,0,Lunasa0a,괜찮다면 、들어 가
10,0,Lunasa0a,소란스럽게 해、눈에 띄게 해 받아요
11,0,Lunasa0a,morendo… 생명 끊어지도록(듯이)
12,0,Lunasa0a,부디、끝까지 들어 가
13,0,Lunasa0a,현이 튀고라고 말하고 있다
14,0,Lunasa0a,우리들의 라이브는 시작되었던 바로 직후
15,0,Lunasa0a,우리들의 연주、좋았으면 들어 가
16,0,Lunasa0a,소령악단의 연주、이것보다 개막…
17,0,Lunasa0a,소란스럽게 막을 올린다고 합시다
18,0,Lunasa0a,두 사람 모두 좌우로 돌아
19,0,Lunasa0a,아직 연주는 계속되어요
20,0,Lunasa0a,이 연주도 콩새에 들어가야 할까
21,0,Lunasa0a,여기로부터가 기합의 넣을 곳
22,0,Lunasa0a,베스트의 연주를 하는、그것만
23,0,Lunasa0a,동요가 소리에 나오지 않도록…
24,0,Lunasa0a,나쁘지만、지금이네
25,0,Lunasa0a,움직임이 너무 늦어요
26,0,Lunasa0a,조금 과감히…
27,0,Lunasa0a,presto… 힘차게
28,0,Lunasa0a,다른 소리에 정신을 빼앗겨서는…
29,0,Lunasa0a,밖 하지는 하지 않는다
30,0,Lunasa0a,이 음색으로…
31,0,Lunasa0a,allegretto… 약간 빠르고
32,0,Merlin0a,자、마음껏 불어요!
32,1,Lyrica0a,퍼져라、우리의 소리!
32,2,Lunasa0a,소령악단의 진심을 보여요
33,0,Merlin0a,누나、신호는 잘 부탁드립니다!
33,1,Lyrica0a,이 타이밍이지요、누나
33,2,Lunasa0a,예、두 사람 모두 맞추세요
34,0,Merlin0a,가요、두 사람 모두!
34,1,Lyrica0a,OK!
34,2,Lunasa0a,세 명이 힘을 합해요
35,0,Lunasa0a,연주하는데 전념한다…
36,0,Lunasa0a,나의 기술의 모두를 담아…
37,0,Lunasa0a,울적함의 소리야、울려라…
38,0,Lunasa0a,소리를 울릴 뿐이 연주가 아니다
39,0,Lunasa0a,다음의 연주의 준비를 시켜 받는다
40,0,Lunasa0a,그 수법、나의 미학에 반한다
41,0,Lunasa0a,소리가 닿지 않는… 유감 무념
42,0,Lunasa0a,… 듣는 관심이 없으면、돌아가면 좋겠다
