ID,LineID,face,dialog
0,0,Lyrica0a,눈에 띄지 않는다고 말하게 하지 않는다!
1,0,Lyrica0a,나라도、하면 할 수 있대
2,0,Lyrica0a,솔로가 소리가 통과하는거야
3,0,Lyrica0a,뭔가 재미있는 소리 재료를 \n 들려주었으면 좋네요!
4,0,Lyrica0a,어떻게 하면 락 할 수 있을까나
5,0,Lyrica0a,그러면 시작할까!
6,0,Lyrica1a,손은 적당히 뽑아요、\n 원래 사용하지 않지만
7,0,Lyrica0a,방해아、적당하게…
8,0,Lyrica0a,당하면 다시하는 것이 매너지요
9,0,Lyrica0a,떠들썩해지는 것은 지금부터
10,0,Lyrica0a,공격하기에는 좋을 기회구나
11,0,Lyrica0a,누군가 나 대신에…\n 라고 아무도 없는가―
12,0,Lyrica0a,나 혼자서 충분하단 말야!
13,0,Lyrica0a,여러가지 기억해 새로운 소리를 만드는거야!
14,0,Lyrica0a,좋은 소리가 모아질 것 같구나~
15,0,Lyrica0a,이제 연주에 넣는 느낌?
16,0,Lyrica0a,자、능숙하게 정리해 보여 버리자!
17,0,Lyrica0a,자、해 끝인!
18,0,Lyrica1b,이제 뒤로 내리고 싶은 것이지만…\n 그렇게도 말하고 있을 수 없을까
19,0,Lyrica0a,이렇게 되어서까지 \n 아직 싸워라고 말한다!
20,0,Lyrica0a,이렇게 되면、할 수 밖에 없다!
21,0,Lyrica0a,이것이라도 프로이군!
22,0,Lyrica0a,이런 것、지치지만…
23,0,Lyrica0a,정말 해 버린다!
24,0,Lyrica0a,거기를 물러나란 말야!
25,0,Lyrica0a,이봐요、틈투성이야
26,0,Lyrica0a,나의 연주로!
27,0,Lyrica0a,사양말고 들어 가!
28,0,Lyrica1a,들어 마음이 좋은 소음이겠지?
29,0,Lyrica0a,퍼져라、나의 소리!
29,1,Lyrica0a,그것!
30,0,Lyrica0a,、좋잖아! \n 여기가 노려 때…
30,1,Lyrica0a,、좋잖아! \n 여기가 노려 때… 야 와!
31,0,Lyrica0a,뛰쳐나와라、죽은 소리!
31,1,Lyrica1b,우랴!
32,0,Merlin0a,자、마음껏 불어요!
32,1,Lyrica0a,퍼져라、우리의 소리!
32,2,Lunasa0a,유령 악단의 진심을 보여요
33,0,Merlin0a,누나、신호는 잘 부탁드립니다!
33,1,Lyrica0a,이 타이밍이지요、누나
33,2,Lunasa0a,예、두 사람 모두 맞추세요
34,0,Merlin0a,가요、두 사람 모두!
34,1,Lyrica0a,OK!
34,2,Lunasa0a,세 명이 힘을 합해요
35,0,Lyrica0a,이것이 나의 솔로 라이브다!
36,0,Lyrica0a,나의 스테이지야、의욕에 넘쳐 곳이야!
37,0,Lyrica0a,이것은 나만의 소리!
38,0,Lyrica0a,아니―、이래서야 연주할 수 없구나
39,0,Lyrica0a,응、뭔가 아무래도 좋잖아?
40,0,Lyrica0a,좋아、지금중에 도망쳐야지
41,0,Lyrica0a,이래서야 손님이 퇴색해 버린다
42,0,Lyrica1a,혹시、내가 무서운 것인지?
43,0,Lyrica0a,、꽤 못된 꾀가 일하잖아!
44,0,Lyrica0a,무엇이다、화나는구나―
45,0,Lyrica0a,정말 감싸져 버리면 \n 조금 나쁘다는 신경이 쓰인다
46,0,Lyrica0a,남편、독점은 시키지 않아!
47,0,Lyrica0a,、이것은 횡령의 찬스!!
48,0,Lyrica0a,나의 소리를 맞추어 준다
49,0,Lyrica0a,이것으로 빌려 주어 1일까 군요―!
50,0,Lyrica0a,좀 더 편안히 하는 일을 생각하면~?
51,0,Lyrica0a,그러면 아、해 버려요!
52,0,Lyrica0a,그쪽의 소리도 듣게 해요!
53,0,Lyrica0a,솔로 라이브는 다음 기회에 말야!
54,0,Lyrica0a,자신의 차례는、스스로 만든다!
55,0,Lyrica0a,남편、독점은 시키지 않아!
56,0,Lyrica1a,지금이다、텐션 최고조!
57,0,Lyrica0a,자신의 차례는、스스로 만든다!
58,0,Lyrica0a,좋은 곳 취해 해 버려라!
59,0,Lyrica1b,이런 느낌으로 솔로가 되어도 \n 전혀 기쁘지 않지만―
60,0,Lyrica0a,누나、나에게 맡겨 봐요!
61,0,Lyrica0a,나의 소리로 귀촉감을 정돈하자
62,0,Lyrica0a,에에、내가 있어 좋았던 것이겠지
63,0,Lyrica1b,누나! 이제、앞에 나오기 때문에―
64,0,Lyrica0a,두 명만이라도 떠들어 주어요―!
65,0,Lyrica0a,우리의 소리、듣게 해 준다!
66,0,Lyrica0a,뒤는 부탁、르나사 누나!
67,0,Lyrica0a,키보드와 바이올린의 협주곡!
68,0,Lyrica0a,누나의 끝에、받아 버려라!
69,0,Lyrica0a,르나사 누나、나라고!
70,0,Lyrica0a,눈에 띄는 타이밍은 놓치지 않는다고!
71,0,Lyrica0a,누나의 소리를 정리해 보인다!
72,0,Lyrica1b,이런 느낌으로 솔로가 되어도 \n 전혀 기쁘지 않지만―
73,0,Lyrica0a,누나、나의 소리로 계승한다
74,0,Lyrica0a,과연 누나、좋은 리듬이군요
75,0,Lyrica0a,조금 양기에 너무 하는 것이 아니야?
76,0,Lyrica0a,누나、한눈 팔기 하고 있던 것이겠지
77,0,Lyrica0a,두 명만이라도 떠들어 주어요―!
78,0,Lyrica0a,우리의 소리、듣게 해 준다!
79,0,Lyrica0a,메르란 누나가 잡아!
80,0,Lyrica0a,누나의 소리를 더욱 번창해 세운다!
81,0,Lyrica1b,메르란 누나는 너무 눈에 띄고―!
82,0,Lyrica0a,메르란 누나、나라고!
83,0,Lyrica0a,눈에 띄는 타이밍은 놓치지 않는다고!
84,0,Lyrica0a,누나의 소리를 정리해 보인다!
85,0,Lyrica0a,미스티아에는 나쁜 일 해 버렸군…
86,0,Lyrica0a,미스티아、독점은 시키지 않아!
87,0,Lyrica0a,미스티아、뒤는 내가 해 둔다!
88,0,Lyrica0a,미스티아、확실히 해―?
89,0,Lyrica0a,미스티아、한눈 팔기 하고 있던 것이겠지!
90,0,Lyrica0a,노래와 소리는 북돋우고의 기본이야!
91,0,Lyrica0a,미스티아、둘이서 북돋우자!
92,0,Lyrica0a,미스티아의 노래도 들을만해요!
93,0,Lyrica0a,미스티아、함께 해 보자!
94,0,Lyrica0a,미스티아의 텐션에 맞춘다!
95,0,Lyrica0a,노래와 소리로 북돋워 버리자!
96,0,Lyrica0a,노래와 소리로、누나들보다 소란스럽고!
97,0,Lyrica1b,조금 친구 보람이 너무 있는거야
98,0,Lyrica0a,화려한 마법의 뒤라면、\n 좀 더 분위기를 살릴 것!
99,0,Lyrica0a,마리사、뒤는 내가 할테니까!
