ID,LineID,face,dialog
0,0,Makura0a,그럼、시작합시다
1,0,Makura0a,꿈자리는 좋은 (분)편입니까?
2,0,Makura0a,탄막의 경험、쌓게해안습니다
3,0,Makura0a,다음은 이쪽의 수번입니다
4,0,Makura0a,이쪽도 사양을 하지 않습니다
5,0,Makura0a,공격받는 것 만으로는 끝나지 않습니다
6,0,Makura0a,자、어떤 꿈으로 이끌까요
7,0,Makura0a,나에게는 꿈이 붙어 있습니다
8,0,Makura0a,단념할 생각은 없습니다!
9,0,Makura0a,얼마나의 곤경에 서려고…!
10,0,Makura0a,나는 아직 넘어져 있지 않습니다…!
11,0,Makura0a,꿈의 힘을 쥐어짠다…!
12,0,Makura1a,꿈의 거품으로…
13,0,Makura1a,거기에 있는 것이군요
14,0,Makura1a,꿈의 힘을 보입시다
15,0,Makura1a,포말과 사라지세요…
16,0,Makura1a,광기의 꿈에 망설이세요
16,1,Makura1a,자、혼돈의 늪에…
17,0,Makura1a,악몽에 가라앉으세요
17,1,Makura1a,자、깊은 바닥으로…
18,0,Makura1a,꿈에 잠기면 그것은 현실이 됩니다
18,1,Makura1a,자、권합시다
19,0,Makura1a,악몽도 또 꿈의 올바른 모습…
19,1,Makura1a,자、맛보세요
20,0,Makura1a,내가 퍼올립니다
21,0,Makura1a,능숙하게 파악해 보입니다
22,0,Makura1a,약간 대략적일까요…
23,0,Makura1a,이것으로 결착을 붙입니다
23,1,Makura1a,꿈의 힘을 모음…
23,2,Makura1a,자、현현 하세요…
23,3,Makura1a,죽이세요!
24,0,Makura1a,꿈의 힘을 구현화한다…!
24,1,Makura1a,이것이 나의 진정한 힘…
24,2,Makura1a,이것이 나의 진정한 힘…
24,3,Makura1a,그 몸에 받으세요!
25,0,Makura1a,승패를 정합시다
25,1,Makura1a,고의 힘을 이 몸에…
25,2,Makura1a,나타나라、꿈의 짐승
25,3,Makura1a,이것으로 끝입니다!
26,0,Makura1a,실로 견뎌 난 나무는、쾌
26,1,Makura1a,기분 좋은 기억과…
26,2,Makura1a,달콤한 졸음안…
26,3,Makura1a,녹아 잡니다
27,0,Makura1a,꿈에 잠기면 그것은 현실이 됩니다
27,1,Makura1a,소망대로…
27,2,Makura1a,소망대로… 뜻대로…
27,3,Makura1a,달콤한 꿈에 가라앉으세요
28,0,Makura1a,달콤한 꿈으로 이끕시다
28,1,Makura1a,당신을 부르는 소리…
28,2,Makura1a,당신을 부르는 소리… 권하는 팔
28,3,Makura1a,자、이제 도망칠 수 없다
29,0,Makura0a,시간을 버는 것도 필요할 것입니다
30,0,Makura0a,지금은 생각하는 일에 전념합니다
31,0,Makura0a,마음대로 되지 않아요…
32,0,Makura0a,강한 싸우는 방법이군요
33,0,Makura0a,나 따위를 위해서(때문에) 죄송합니다
34,0,Makura0a,협조시켜 받읍시다
35,0,Makura0a,이쪽도 공격을 합니다
36,0,Makura0a,나의 힘도 더합시다
37,0,Makura0a,탄막에는 제휴가 중요한 것이군요
38,0,Makura0a,꿈의 힘을 빌려 드립시다
39,0,Makura0a,당신이 다쳐야 하는 것이 아닙니다
40,0,Makura0a,내가 받습니다、내리고 있어 주세요
41,0,Makura0a,나는 아픔에 익숙해 있습니다
42,0,Makura0a,순간에 도움이 들어가는…\n 기본 스타일의 꿈이군요
43,0,Makura0a,내가 맡습니다
44,0,Makura1a,싸우는 모습을 보도록 해 받습니다
45,0,Makura1a,꿈의 힘으로 몰아넣습니다
46,0,Makura1a,내가 견제역을 맡습니다
47,0,Makura1a,제휴해 걸립시다
48,0,Makura1a,내가 옆에서 삼가하고 있습니다
49,0,Makura1a,나의 조력으로는 부족할지도 모릅니다
50,0,Makura1a,꿈의 힘을 최대까지 꺼냅니다!
51,0,Makura1a,이것이 탄막전의 진수…!
52,0,Makura1a,지금이야말로、승부를 결정할 때군요!
53,0,Makura0a,메코…! \n 나를 위해서(때문에) 뭐라고 하는 일을…
54,0,Makura0a,메코、내가 계속되어요
55,0,Makura0a,메코、리드해 준 것이군요
56,0,Makura0a,메코를 상처 입히게 하지는 않습니다
57,0,Makura0a,메코、내리고 있어 주세요
58,0,Makura1a,메코의 탄막을 보여 주세요
59,0,Makura1a,메코、내가 몰아넣습니다
60,0,Makura1a,메코、내가 견제합니다
61,0,Makura1a,메코、불안하면 \n 대신해 주세요
62,0,Makura1a,메코의 뒤를 따라 가요
63,0,Makura1a,메코、꿈의 힘을 맡깁니다!
64,0,Makura1a,메코와 탄막을 맞춥니다!
65,0,Makura1a,메코、여기서 승부를 결정합시다!
66,0,Makura0a,에이린씨…! \n 나를 위해서(때문에) 뭐라고 하는 일을…
67,0,Makura0a,에이린씨、제휴합시다
68,0,Makura0a,에이린씨、나도 공격을 더합니다
69,0,Makura0a,에이린씨、여기는 내가 맡습니다
70,0,Makura0a,에이린씨가 다쳐야 하는 것이 아닙니다
71,0,Makura1a,에이린씨의 탄막을 보여 주세요
72,0,Makura1a,에이린씨、내가 몰아넣습니다
73,0,Makura1a,에이린씨、내가 견제합니다
74,0,Makura1a,에이린씨에게 조력은 불필요하겠지만…
75,0,Makura1a,에이린씨와 협조합니다
76,0,Makura1a,에이린씨、꿈의 힘을 맡깁니다!
77,0,Makura1a,에이린씨와 탄막을 맞춥니다!
78,0,Makura1a,에이린씨、여기서 승부를 결정합시다!
79,0,Makura0a,꿈의 방벽은 쳐부술 수 없습니다
80,0,Makura0a,탄막을 받아 들입시다
81,0,Makura0a,꿈의 힘으로 차단합니다
82,0,Makura0a,맞지 않는 것은 알고 있었습니다
83,0,Makura0a,움직임을 알면、나라도…
84,0,Makura0a,생각의 움직임을 읽었습니다
85,0,Makura0a,전혀 위협을 느끼지 않네요
86,0,Makura0a,가감(상태)해 주고 있습니까?
87,0,Makura0a,이것이 전력은 아닐 것입니다
88,0,Makura0a,간단하게 질 생각은 없습니다
89,0,Makura2a,구、이것은 눈도 선명합니다…!
90,0,Makura2a,추적할 수 있었습니까…!
91,0,Makura2a,완전하게 열세하네요…
92,0,Makura2a,꿈 속에서 뒤진다고는…
93,0,Makura2a,구、파악되고 있다…!
94,0,Makura2a,그렇게 말한 손으로 왔습니까…
95,0,Makura2a,정확한 공격입니다
96,0,Makura2a,아픔에는 익숙해져 있습니다
97,0,Makura2a,구、맞아 버렸다…
98,0,Makura2a,움직임이 미숙했던 것입니까
99,0,Makura2a,저쪽이 능숙했던 것 같네요
100,0,Makura2a,순간에 움직이는 것은 서투릅니다…
101,0,Makura2a,피할 수 없으면 받을 뿐입니다
102,0,Makura2a,참으면 기회는 올 것입니다
