ID,LineID,face,dialog
0,0,MakuraF0a,나의 존재는 꿈과 함께…
1,0,MakuraF0a,나는 무진의 힘과 함께 있습니다
2,0,MakuraF0a,나는 자신의 이상을 관철할 뿐입니다
3,0,MakuraF0a,자웅을 정합시다、환상향!
4,0,MakuraF0a,당신들의 이상、그 전에는…
5,0,MakuraF0a,어느 쪽의 운명이 여기서 정할까…
6,0,MakuraF0a,꿈의 모두를…
7,0,MakuraF0a,꿈이야、나와 함께…
8,0,MakuraF0a,널리 꿈、그 힘으로!
9,0,MakuraF0a,결착을 붙입시다!
10,0,MakuraF0a,나의 꿈의 모두를 걸어…!
10,1,MakuraF0a,자、환상향의 모든 꿈이야…
10,2,MakuraF0a,지금、이 몸에 머무세요!
10,3,MakuraF0a,나의 이상의 세계 중(안)에서…
10,4,MakuraF0a,의심하지 않고、맡기고…
10,5,MakuraF0a,안락하게 사는 길을 선택합니다
10,6,MakuraF0a,모두、꿈의 끝까지―
11,0,MakuraF0a,나의 꿈의 모두를 걸어…!
11,1,MakuraF0a,자、환상향의 모든 꿈이야…
11,2,MakuraF0a,지금、이 몸을 바칩니다!
11,3,MakuraF0a,나는 이 세계의 꿈이 되어…
11,4,MakuraF0a,아름다운 악몽을 계속 낳읍시다
11,5,MakuraF0a,그것이 나의 꿈의 끝―
11,6,MakuraF0a,그것이 나의 꿈의 끝―
12,0,MakuraF0a,예측은 허락할 수 없네요
13,0,MakuraF0a,귀찮은 손을 써 오네요
14,0,MakuraF0a,귀찮은 상대군요
15,0,MakuraF0a,이쪽도 공격을 합니다
16,0,MakuraF0a,책을 위해서(때문에)입니다、내려 있으세요
17,0,MakuraF0a,생생한 탄막…!
18,0,MakuraF0a,꿈의 힘이 밀리고 있다…!?
19,0,MakuraF0a,이것이 환상향의 힘…!
20,0,MakuraF0a,여기서 질 수는…!
21,0,MakuraF0a,구、꿈의 힘에 대항해…!
22,0,MakuraF0a,구、무겁다…!
23,0,MakuraF0a,두려움을 팔을 무디어지게 할 수 있습니다
24,0,MakuraF0a,서로 한정하는 힘을 우츠호비 하세요
25,0,MakuraF0a,견제의 생각이라면 쓸데없는 일입니다
26,0,MakuraF0a,적중은 하지 않습니다
27,0,MakuraF0a,서로 한정하는 힘을 우츠호비 하세요
28,0,MakuraF0a,무모하다고 이해해야 합니다
29,0,MakuraF0a,여기는 이미 나의 세계인 것입니다
30,0,MakuraF0a,아!
31,0,MakuraF0a,이 세계는 나의 지배하입니다
32,0,MakuraF0a,허를 찌르자 등과 무의미한 일
33,0,MakuraF0a,이것이 환상향의 힘…
34,0,MakuraF0a,None
