ID,LineID,face,dialog
0,0,Marisa0a,부르지 않아!
1,0,Marisa0a,움직이면 공격한다! 잘못했다. \n 공격하면 움직이는이다. 금방 움직인다!
2,0,Marisa0a,복수다!
3,0,Marisa0a,나오는 말뚝은 맞는、이다!
4,0,Marisa0a,이것은 정당방위다!
5,0,Marisa0a,살짝 되돌려 보내 준다!
6,0,Marisa0a,그대로 돌아갈 수 있다고 생각하지 마?
7,0,Marisa1a,이 녀석은 거스름돈이다. (와)과 라고 하는거야!
8,0,Marisa0a,여기서 성패 해 주어요!
9,0,Marisa0a,나는 바쁘다. 방해를 하지마!
10,0,Marisa0a,누가 상대라도 하는 것은 1개!
11,0,Marisa0a,눈 뜨고 볼 수 없는 \n 상태로 해 준다!
12,0,Marisa0a,슬슬 진심이다! \n 도망친다면 지금중이다!
13,0,Marisa1a,몰리고 나서가 실전이다!
14,0,Marisa1b,이제 용서하지 않아!
15,0,Marisa0a,슬슬 떨어뜨려 두지 않으면!
16,0,Marisa1a,먹어랏!
17,0,Marisa1a,받아 보고!
18,0,Marisa1d,좋으니까、방해야!
19,0,Marisa1a,유감스럽지만、보이고 있다!
20,0,Marisa1a,받았닷!
21,0,Marisa1a,진수 성찬이다!
22,0,Marisa1b,몰아넣어 준다! 이러하닷!
23,0,Marisa1a,이것이 빛의 마법의 본령이다!
24,0,Marisa0a,소중히 간직함을 보여 준다!
24,1,Marisa1a,오오랴아아아!
24,2,Marisa1a,마부 『스타다스트레바리에』!
25,0,Marisa0a,스타 라이트 웨이브 레일!
25,1,Marisa1a,이대로 관철한다!
25,2,Marisa1a,마부 『스타다스트레바리에』!
26,0,Marisa0a,풀 스로틀、가겠어!
26,1,Marisa1a,별가루가 되어라!
26,2,Marisa1a,마부 『스타다스트레바리에』!
27,0,Marisa0a,사랑의 마포로 뼈까지 구워지고!
27,1,Marisa1a,련부! \n 마스타스파쿡!!
27,2,Marisa1d,<EnRace>째、빛이 될 수 있는!
28,0,Marisa0a,빛의 마법으로 \n 흔적도 없게 사라져!
28,1,Marisa1a,련부! \n 마스타스파쿡!!
28,2,Marisa1a,보았는지、탄막은 파워다!
29,0,Marisa0a,먹어라、필살의 마포!
29,1,Marisa1a,련부 『마스터 스파크』다!
29,2,Marisa5a,오오랴아앗!
