ID,LineID,face,dialog
0,0,Marisa0a,자 마력 넘치는、내가 상대다!
1,0,Marisa0a,좋으니까、방해야
2,0,Marisa0a,움직이면 공격한다! 잘못했다. \n 공격하면 움직이는이다. 금방 움직인다!
3,0,Marisa0a,복수다!
4,0,Marisa0a,나오는 말뚝은 맞는、이다!
5,0,Marisa0a,이것은 정당방위다!
6,0,Marisa0a,살짝 되돌려 보내 준다!
7,0,Marisa0a,그대로 돌아갈 수 있다고 생각하지 마?
8,0,Marisa1a,이 녀석은 거스름돈이다. (와)과 라고 하는거야!
9,0,Marisa0a,여기서 성패 해 주어요!
10,0,Marisa0a,냉큼 도망친 (분)편이 몸을 위해서(때문에)다
11,0,Marisa0a,나는 바쁘다、방해를 하지마!
12,0,Marisa0a,누가 상대라도 하는 것은 1개!
13,0,Marisa0a,눈 뜨고 볼 수 없는 상태로 해 준다!
14,0,Marisa0a,좋아、빨리 넘어뜨리겠어!
15,0,Marisa0a,슬슬 진심이다! \n 도망친다면 지금 가운데다!
16,0,Marisa0a,이 긴장감、불타 왔지 않은가!
17,0,Marisa1a,몰리고 나서가 실전이다!
18,0,Marisa1a,이제 용서하지 않아!
19,0,Marisa0a,슬슬 떨어뜨려 두지 않으면!
20,0,Marisa0a,단번에 되물리쳐 주겠어!
21,0,Marisa1a,인간의 저력、보여 주겠어!
22,0,Marisa0a,유감스럽지만、보이고 있다!
22,1,Marisa0a,거기!
23,0,Marisa0a,유도 레이저로 공격이다!
23,1,Marisa1a,그것!
24,0,Marisa0a,스트림 레이저…
24,1,Marisa1a,거기다!
25,0,Marisa0a,이 거리라면…
25,1,Marisa1a,이 거리라면… 맞아랏!
26,0,Marisa0a,목적은 저 녀석이다…
26,1,Marisa1a,목적은 저 녀석이다… 가랏!
27,0,Marisa0a,이런 싸우는 방법도 있다!
27,1,Marisa1a,전부 나의 손수만들기야…
27,2,Marisa1a,받아들이고!
28,0,Marisa0a,마법과 발명은 폭발이구나!
28,1,Marisa1a,저것도 아닌 이것도 아니다…
28,2,Marisa1a,그것!
29,0,Marisa0a,위로부터 걸까!
29,1,Marisa1a,나팜、투하다!
29,2,Marisa1a,그것!
30,0,Marisa1a,위험하기 때문에、접근하지 마!
30,1,Marisa1a,그것 그것!
30,2,Marisa1a,그것 그것!
31,0,Marisa1a,나팜으로 놀래켜 준다!
31,1,Marisa1a,이 녀석을…
31,2,Marisa1a,이 녀석을… 먹어라!
32,0,Marisa0a,이 녀석으로 일망타진이다!
32,1,Marisa0a,논디레크쇼날…
32,2,Marisa1a,레자!
33,0,Marisa0a,이 녀석은 편리한 마법이다!
33,1,Marisa1a,논디레크쇼나르레이자다!
33,2,Marisa1a,논디레크쇼나르레이자다!
34,0,Marisa0a,이것은 피하기 어렵다!
34,1,Marisa0a,전방향으로…
34,2,Marisa1a,전방향으로… 가라아!
35,0,Marisa0a,전방향 레이저다!
35,1,Marisa0a,좋아…
35,2,Marisa1a,좋아… 후려쳐 넘겨라!
36,0,Marisa0a,앨리스、조금 협력해 주어라
36,1,Alice0a,그렇다면、\n 마리사에게는 다리가 되어 받을까
36,2,Marisa0a,돌진하면 된다…
36,3,Marisa1a,돌진하면 된다… 그것!
36,4,Alice1a,견제해요、좀 더 가까워져!
36,5,Alice1a,지금、잡으세요!
36,6,Marisa1a,맡았다!
37,0,Marisa0a,앨리스、콤비 네이션이다!
37,1,Marisa1a,、스피드 승부로 하자구
37,2,Alice0a,알았어요、접근한 일격 이탈이군요
37,3,Marisa1a,뒤를 타라!
37,4,Alice1a,인형들、견제야!
37,5,Marisa1a,좋아、뒤는 가까워져…
37,6,Marisa1a,거기다!
38,0,Marisa0a,이런 때는、맞댐기술이다!
38,1,Marisa1a,앨리스、단번에 해치우자구
38,2,Alice0a,네、그 거 어떤 의미…
38,3,Alice1a,꺗!
38,4,Alice1a,완전히、강행인 것이니까…
38,5,Marisa1a,그렇지만、몰아넣어 주고 있을 것이다
38,6,Marisa1a,결정타!
39,0,Marisa0a,이 거리、할 수 있을 것 같다
39,1,Marisa0a,레이무、\n 단번에 돌진해 정리하자구
39,2,Reimu1a,좋지만、\n 다리는 이끌지 말아요
39,3,Marisa1a,몰아넣는、레이무 해 버려라!
39,4,Reimu1a,말해지지 않아도!
39,5,Marisa1a,먹고 자빠져랏!
39,6,Reimu1a,이제 일발!
39,7,Marisa1a,다짐、가겠어!
39,8,Marisa0a,좋은 결과였다、레이무
39,9,Reimu0a,… 뭔가、분하네요
40,0,Marisa0a,홍백의 무녀에 흑백의 마법사…
40,1,Marisa0a,맞추어 \n 삼색연화접이라는 것은 어때?
40,2,Reimu1a,마음대로 하면? \n 나는 흥미없고
40,3,Marisa1a,너를 메인으로 한 명명인 것이니까 \n 조금은 감사해라
40,4,Reimu1a,네네、뒤는 맡겼어요
40,5,Marisa1a,、나 혼자만 \n 화려하게 움직이고 있지 않은가
40,6,Reimu0a,거기까지 말한다면…
40,7,Marisa0a,결정타는 교제할까?
40,8,Marisa0a,역시、나만 움직이고 있구나
40,9,Reimu0a,그러한 것、좋아하는 것이지요?
41,0,Reimu0a,어머나 마리사、좋은 곳에 있었군요
