ID,LineID,face,dialog
0,0,Marisa0a,자 마력 넘치는、내가 상대다!
1,0,Marisa0a,움직이면 공격한다! 잘못했다. \n 공격하면 움직이는이다. 금방 움직인다!
2,0,Marisa0a,복수다!
3,0,Marisa0a,나오는 말뚝은 맞는、이다!
4,0,Marisa0a,이것은 정당방위다!
5,0,Marisa1a,이 녀석은 거스름돈이다. (와)과 라고 하는거야!
6,0,Marisa0a,여기서 성패 해 주어요!
7,0,Marisa0a,냉큼 도망친 (분)편이 몸을 위해서(때문에)다
8,0,Marisa0a,누가 상대라도 하는 것은 1개!
9,0,Marisa0a,슬슬 진심이다! \n 항복한다면 지금 가운데다!
10,0,Marisa0a,이 긴장감、불타 왔지 않은가!
11,0,Marisa1a,몰리고 나서가 실전이다!
12,0,Marisa0a,슬슬 떨어뜨려 두지 않으면!
13,0,Marisa0a,유감스럽지만、보이고 있다!
13,1,Marisa0a,거기!
14,0,Marisa0a,유도 레이저로 공격이다!
14,1,Marisa1a,그것!
15,0,Marisa0a,스트림 레이저…
15,1,Marisa1a,거기다!
16,0,Marisa0a,이 거리라면…
16,1,Marisa1a,이 거리라면… 맞아랏!
17,0,Marisa0a,목적은 저 녀석이다…
17,1,Marisa1a,목적은 저 녀석이다… 가랏!
18,0,Marisa0a,이런 싸우는 방법도 있다!
18,1,Marisa1a,전부 나의 손수만들기야…
18,2,Marisa1a,받아들이고!
19,0,Marisa0a,마법과 발명은 폭발이구나!
19,1,Marisa1a,저것도 아닌 이것도 아니다…
19,2,Marisa1a,그것!
20,0,Marisa0a,위로부터 걸까!
20,1,Marisa1a,나팜、투하다!
20,2,Marisa1a,그것!
21,0,Marisa1a,위험하기 때문에、접근하지 마!
21,1,Marisa1a,그것 그것!
21,2,Marisa1a,그것 그것!
22,0,Marisa0a,이 녀석으로 일망타진이다!
22,1,Marisa0a,논디레크쇼날…
22,2,Marisa1a,레자!
23,0,Marisa0a,이 녀석은 편리한 마법이다!
