ID,LineID,face,dialog
0,0,Medicine0a,비근한 녀석으로부터 해치워 준다!
1,0,Medicine0a,자、걸려 오세요!
2,0,Medicine0a,나라면 할 수 있을 것이야!
3,0,Medicine0a,이제 가까워지지 마!
4,0,Medicine0a,은방울 꽃의 향기에 이끌린 거네
5,0,Medicine0a,답례를 해요!
6,0,Medicine0a,빨리 없어져 버려라!
7,0,Medicine0a,독에 당하고 싶은 것일까!
8,0,Medicine0a,나의 독으로 넘어지면 좋아요!
9,0,Medicine0a,나에게 다가간다니 운이 나쁘네요!
10,0,Medicine0a,해 보여요!
11,0,Medicine0a,도와주어、스씨!
12,0,Medicine0a,터무니없게 해 주어요!
13,0,Medicine0a,슬슬 진심인 것이니까!
14,0,Medicine0a,이렇게 되면 흥하든 망하든!
15,0,Medicine0a,여기서 해치우면 승리니까!
16,0,Medicine0a,어떻게든 해 저 녀석을 멈추지 않으면…!
17,0,Medicine0a,독이 효과가 있다면 역전이래…!
18,0,Medicine1a,키─의…!
19,0,Medicine1a,나의 독을…!
20,0,Medicine1a,그─것…!
21,0,Medicine1a,있고 키─의…!
22,0,Medicine0a,거기야!
23,0,Medicine0a,독의 덩어리야!
24,0,Medicine0a,맞아!
25,0,Medicine0a,말해 줘!
26,0,Medicine0a,봐 주세요~!
26,1,Medicine1a,네 있고 、네 있고 、네 있고!
26,2,Medicine0a,이것으로 끝이야
27,0,Medicine0a,독으로 넘어져 버리면 좋아요!
27,1,Medicine1a,네 있고 、네 있고 、네 있고!
27,2,Medicine0a,잘 자요
28,0,Medicine0a,독으로 채워 버려요!
28,1,Medicine1a,그것、그것!
28,2,Medicine0a,벌써 끝이군요
29,0,Medicine1a,콘파로、콘파로…
29,1,Medicine1a,독이야 모여라―!
29,2,Medicine0a,움직이지 못하게 되어 버렸다
30,0,Medicine1a,콘파로、콘파로…
30,1,Medicine1a,독이야 튀어라―!
30,2,Medicine0a,벌써 끝인 거네
31,0,Medicine1a,콘파로、콘파로…
31,1,Medicine1a,독으로 빠져라―!
31,2,Medicine0a,이것으로 좋았을까
32,0,Medicine0a,흥、구사일생했군요!
33,0,Medicine0a,해치워 주기 때문에、기다려 주세요!
34,0,Medicine2a,이런 건은 심해요!
35,0,Medicine2a,그런 방식 하다니!
36,0,Medicine2a,뭔가 손은 없는거야!?
37,0,Medicine2a,、어디에 있어!?
38,0,Medicine0a,당신은 살려 돌려주지 않는다고!
39,0,Medicine0a,나의 차례는 여기로부터!
40,0,Medicine0a,좋아、찬스가 왔어요!
41,0,Medicine0a,결정타는 나야!
42,0,Medicine0a,무엇으로 멍하니 하고 있는거야!
43,0,Medicine0a,따로 지켜 주는 것이 아니에요!
44,0,Medicine0a,너무 접근하면 넘어져요
45,0,Medicine0a,손을 빌려주어요
46,0,Medicine0a,내가 해치워 버리자!
47,0,Medicine1a,지금은 말하는 일을 (들)물어요
48,0,Medicine0a,그런 것 간단해요
49,0,Medicine0a,이런 작전인 거네
50,0,Medicine0a,어쩔 수 없네요、도와 준다!
51,0,Medicine0a,스씨의 독을 사람을 위해서(때문에) 사용해요!
52,0,Medicine0a,두 명이라면 굉장한 일이 생길 것 같다!
53,0,Medicine0a,힘이 넘치고 있어요―
54,0,Medicine0a,앨리스에게 뭐 하는거야!
