ID,LineID,face,dialog
0,0,Meiling0a,맞아 싸울 뿐(만큼)이 노우가 아니다!
1,0,Meiling0a,정정당당、승부입니다!
2,0,Meiling0a,사람이 안심하고 낮잠을 자기 위해서는!
3,0,Meiling0a,걸어 온 것은、그 쪽이 앞입니다!
4,0,Meiling1a,여기를 통할 수는 없습니다!
5,0,Meiling0a,당하고 있을 뿐이지 않아!
6,0,Meiling0a,공격의 뒤에는、틈이 생길 것!
7,0,Meiling1a,동해보복!
8,0,Meiling0a,여기서 맞아 싸웁니다!
9,0,Meiling0a,지금이 공격의 호기!
10,0,Meiling0a,주먹으로 이야기를 주고받읍시다!
11,0,Meiling0a,편하게 이기게 해 받을 수 있다고는 생각하고 있지 않습니다!
12,0,Meiling0a,이 코우미령이 상대가 된다!
13,0,Meiling0a,그러면、가요!
14,0,Meiling0a,자、각오를 결정하세요!
15,0,Meiling0a,이것은 견딜 수 있습니까?
16,0,Meiling0a,기합 넣어 가요
17,0,Meiling0a,여기는 나의 틈입니다!
18,0,Meiling0a,당하기 전에 할 수 밖에!
19,0,Meiling0a,이대로 끝내고는 하지 않습니다!
20,0,Meiling0a,상처입음이라고 생각해 방심했어요?
21,0,Meiling0a,지금은 앞으로 나아갈 수 밖에 없습니다!
22,0,Meiling0a,아직 나의 투지는 쇠약해지고 있지 않습니다!
23,0,Meiling0a,여기로부터 반격한다!
24,0,Meiling0a,나의 주먹에 역사를 담습니다!
25,0,Meiling0a,싸움의 비법은 호흡에 있습니다!
26,0,Meiling0a,심지체의 모두를 사용해…!
27,0,Meiling1a,후~、열홍권!
28,0,Meiling1a,―!
29,0,Meiling1a,꿰매는!
30,0,Meiling1a,그리고 있고!!
31,0,Meiling1a,는 싫엇!
32,0,Meiling1a,먹어라、텐류다리!
33,0,Meiling1a,그리고 나!
34,0,Meiling1a,오랴앗!!
35,0,Meiling0a,무지개색의 차는 것의 비、피해 봐라!
35,1,Meiling1a,아─!
36,0,Meiling0a,떨어지면 안전이라고 생각했는지!
36,1,Meiling1a,아─!
37,0,Meiling0a,맨주먹이라고 얕잡아 보았어요!
37,1,Meiling1a,아─!
38,0,Meiling0a,가겠어、코우미령이 필살의 주먹…
38,1,Meiling1a,채부!
38,2,Meiling1a,채광풍령… 하앗!
39,0,Meiling0a,이 일격이 다 받을 수 있습니까!
39,1,Meiling1a,채부!
39,2,Meiling1a,채광풍령… 관철해랏!
40,0,Meiling0a,집중해、생각을 높여…!
40,1,Meiling1a,채부!
40,2,Meiling1a,채광풍령… 오오오오오옷!
41,0,Meiling0a,나의 모두를 기술에 담는다!
41,1,Meiling1a,1의 권、강화축!
41,2,Meiling1a,2의 권、열홍권!
41,3,Meiling1a,3의 주먹、텐류다리!
41,4,Meiling1a,4의 권、채광난무!
41,5,Meiling1a,단번에 결정한다!
41,6,Meiling1a,5의 권、열홍진권!
41,7,Meiling1a,그리고、종으로 해 최대의 주먹!
41,8,Meiling1a,채광… 연꽃손바닥!!
41,9,Meiling1a,파!
41,10,Meiling1a,내가 홍마의 용、코우미령이다!
42,0,Meiling0a,가겠어、코우미령이 최대의 주먹!
42,1,Meiling1a,기분의 타격을 폭발시킨다!
42,2,Meiling1a,어느 쪽을 진짜인가 단념할 수 있습니까!
42,3,Meiling1a,아톤!
42,4,Meiling1a,아─…!
42,5,Meiling1a,아직입니다!
42,6,Meiling1a,…!
42,7,Meiling1a,화부!
42,8,Meiling1a,채광… 연꽃손바닥!!
42,9,Meiling1a,파!
42,10,Meiling1a,나는、나보다 강한 상대를 만나러 간다!
43,0,Meiling0a,우리 오의、받아 봐라!
43,1,Meiling1a,폰 메이 인、본 바!
43,2,Meiling1a,홍마용、환분신!
43,3,Meiling1a,천의 주먹을 주입한다!
43,4,Meiling1a,아─…!
43,5,Meiling1a,더욱!
43,6,Meiling1a,…!
43,7,Meiling1a,이 일격으로!
43,8,Meiling1a,채광… 연꽃손바닥!!
43,9,Meiling1a,아타!
43,10,Meiling0a,4천년 빠르다!
44,0,Meiling0a,우선 도망칠 수 밖에 없다!
45,0,Meiling0a,신중함도 필요할 것…
46,0,Meiling0a,나라도 피하는데 전념하면…!
47,0,Meiling0a,멀리서는 비겁한!
48,0,Meiling0a,원거리 무기는 서투른 것이구나…
49,0,Meiling0a,―、하기 어렵구나
50,0,Meiling1a,동료를 상처 입힌다고는、\n 절대로 허락하지 않는다!
51,0,Meiling0a,비겁하다고는 말하게 하지 않아요!
52,0,Meiling0a,계속해도 일격!
53,0,Meiling0a,호기 도래입니다!
54,0,Meiling0a,다그쳐요!
55,0,Meiling0a,움직일 수 있다면、물러나 주세요!
