ID,LineID,face,dialog
0,0,Meiling1a,무사한 것은 돌려보내지 않는다!
1,0,Meiling1a,동해보복!
2,0,Meiling0a,조심성없게 너무 접근했군요!
3,0,Meiling0a,당하고 있을 뿐이 아니에요!
4,0,Meiling0a,이 코우미령이 상대가 된다!
5,0,Meiling0a,관을 손상시키지 않게 하지 않으면…
6,0,Meiling0a,자、각오를 결정하세요!
7,0,Meiling1a,후~、열홍권!
8,0,Meiling1a,는 싫엇!
9,0,Meiling1a,―!
10,0,Meiling1a,꿰매는!
11,0,Meiling1a,그리고 있고!!
12,0,Meiling1a,먹어라、텐류다리!
13,0,Meiling1a,그리고 나!
14,0,Meiling1a,오랴앗!!
15,0,Meiling0a,무지개색의 차는 것의 비、피해 봐라!
15,1,Meiling1a,아─!
16,0,Meiling0a,떨어지면 안전이라고 생각했는지!
16,1,Meiling1a,아─!
17,0,Meiling0a,가겠어、코우미령이 필살의 주먹…
17,1,Meiling1a,채부!
17,2,Meiling1a,채광풍령… 하앗!
18,0,Meiling0a,가겠어、코우미령이 필살의 주먹…
18,1,Meiling1a,채부!
18,2,Meiling1a,채광풍령… 으로 나!
19,0,Meiling0a,가겠어、코우미령이 필살의 주먹…
19,1,Meiling1a,채부!
19,2,Meiling1a,채광풍령… 관철해랏!
20,0,Meiling0a,가겠어、코우미령이 필살의 주먹…
20,1,Meiling1a,채부!
20,2,Meiling1a,채광풍령… 오오오오오옷!
21,0,Meiling0a,남편와、\n 여기는 시간을 법니까
22,0,Meiling0a,자、좀 더 접근해 오세요!
23,0,Meiling0a,멀리서는 비겁한!
24,0,Meiling1a,사정외로부터와는、겁먹었는지!
25,0,Meiling1a,동료를 상처 입힌다고는! \n 절대로 허락하지 않는다!
26,0,Meiling1a,거기다、이제 일격!
27,0,Meiling1a,그 틈은 놓치지 않는다!
28,0,Meiling1a,사쿠야씨、원호합니다!
29,0,Meiling1a,사쿠야씨、후는 내가!
30,0,Meiling0a,지키는 것이라면 맡겨 주세요!
31,0,Meiling1a,내가 사쿠야씨를 지킵니다!
32,0,Meiling1a,사쿠야씨、위험하다!
33,0,Meiling0a,상처가 무서워서、\n 문지기가 감당해 냅니까
34,0,Meiling2a,、불찰!
35,0,Meiling2a,피탄!? 틈을 찔렸다!
36,0,Meiling2a,구、방심했는지!
37,0,Meiling2a,이 정도로 넘어질까 보냐!
38,0,Meiling0a,이 정도、피할 것도 없다!
39,0,Meiling0a,좀 더 진심으로 와라!
40,0,Meiling0a,아직도! 그런 것인가!
