ID,LineID,face,dialog
0,0,Meko1a,나라도 하면 할 수 있을 것…!
1,0,Meko1c,상대의 움직임을 잘 봐…!
2,0,Meko1b,과감히 부딪쳐요!
3,0,Meko4e,나라도 할 수 있기 때문에!
4,0,Meko4a,나의 탄막을 보여요…!
5,0,Meko4e,언제라도 전력인 것이니까!
6,0,Meko7f,좋아、준비 운동 끝!
7,0,Meko4e,기세가 큰 일이라도 배웠어요!?
8,0,Meko7f,건강함이라면 지지 않아요!
9,0,Meko4b,마쿠라님을 위해서(때문에)도 노력하지 않으면!
10,0,Meko1f,당하면、다시하지 않으면!
11,0,Meko1c,마음껏 쳐들어…
11,1,Meko1b,스잉!
12,0,Meko1a,지팡이의 취급이라면…
12,1,Meko1b,야앗!
13,0,Meko1e,나라고!
13,1,Meko1b,거기야―!
14,0,Meko0a,전기를 사용해…!
14,1,Meko1f,이―!
15,0,Meko1c,그 이상 가까워진다면…
15,1,Meko1b,가라아─!
16,0,Meko1e,만만하게 보면 심하기 때문에!
16,1,Meko1d,그거─!
17,0,Meko0a,조금 지릿 오지만…
17,1,Meko1b,에이!
18,0,Meko4b,모두、부탁!
18,1,Meko4b,저쪽에 가는거야!
18,2,Meko2a,저쪽에 가는거야! \n 라는、저것―!
18,3,Sheep0a,……
19,0,Meko7f,좋네요、모두!
19,1,Meko4e,그것、가랏!
19,2,Meko2a,어─―!
19,3,Sheep0a,……
20,0,Meko1e,큰 떼로 밀어닥치면…!
20,1,Meko1f,저 녀석을 찌부러뜨려!
20,2,Meko2a,-―、-―!
20,3,Sheep0a,……
21,0,Meko4e,힘을 빌리면、나라고!
21,1,Meko7f,모두―、와―!
21,2,Meko4e,힘내! \n 레이짱、다이군、비단、아시타…
21,3,Meko7f,오레이그、아카게、―!
22,0,Meko0e,이 아이들이라면、해 주어요!
22,1,Meko7c,모두―、여기―!
22,2,Meko0e,부탁! \n 료마、파야트、무사치、벤 케이…
22,3,Meko1b,고군、쇼짱、사나이、는 빌려주어라!
23,0,Meko4e,기분은 확실히 취해 있어!
23,1,Meko7f,전─、배워라!
23,2,Meko4e,좋네요! \n 김짱、내일 햄、껌응、으로 님…
23,3,Meko7f,피스 오빠、해들인가 끓는!
24,0,Meko1a,괜찮아、할 수 있을 것…!
24,1,Meko1f,모두、집─합─!
24,2,Meko1b,부탁했어요! \n 데김、기레인、키시리야、드즈 응…
24,3,Meko1b,가르만、설대짱、아후란치!
25,0,Meko1f,재워 준다…!
25,1,Meko1f,양의 수를、세세요!
25,2,Meko1e,양이 한마리、양이 2마리…
25,3,Meko1f,결정타는 나야!
25,4,Meko1f,네 있고、있고 、네 있고!
25,5,Meko4c,와、이것은 마쿠라님의…!
26,0,Meko7f,나의 필살기로…!
26,1,Meko7f,잠으로 이끌어요!
26,2,Meko1e,한、에、씨…
26,3,Meko1a,영차!
26,4,Meko1a,이、이、이!
26,5,Meko1d,이것은 다르다!
27,0,Meko4e,이 방법이라면…!
27,1,Meko4a,영차…
27,2,Meko4a,양이 한마리、양이 2마리…
27,3,Meko7f,가요!
27,4,Meko7f,어택、어택!
27,5,Meko0b,흘림의!
28,0,Meko1a,꿈의 힘이야、나에게도 모여!
28,1,Meko1a,꿈의 힘이야、나에게도 모여!
28,2,Meko1b,그거─!
28,3,Meko1d,이것이 결정타의…
28,4,Meko1b,메코 임펙트!
29,0,Meko1a,마쿠라님의 꿈…
29,1,Meko1a,그것이 나의 힘이 된다!
