ID,LineID,face,dialog
0,0,Mima0a,지금부터 전투에 들어간다
1,0,Mima0a,나에게 노려진 불행을 저주하는 것이군
2,0,Mima0a,당분간 보지 않는 동안에、\n 모르는 얼굴이 증가한 것이구나
3,0,Mima0a,그러면、\n 다음은 여기의 마법을 보여 주자
4,0,Mima0a,이 나에게 틈을 보이다니!
5,0,Mima0a,내가 상대와는、트 있지 않았지요
6,0,Mima0a,내가 마지막 선언을 해 주자!
7,0,Mima0a,시간을 들일 생각은 없어서
8,0,Mima0a,격의 차이를 주입해 준다!
9,0,Mima0a,나쁘지만、이것으로 끝낸다
10,0,Mima0a,진심으로 마지막 선언을 해 준다!
11,0,Mima0a,좋은 승부였지만、여기까지다
12,0,Mima0a,지금 것으로 떨어뜨릴 수 없었던 것이 패인이야!
13,0,Mima0a,천재일우의 기회였는데!
14,0,Mima1a,제외하지 않는다!
15,0,Mima1a,섣부르다!
16,0,Mima1a,단념할 수 있을까!?
17,0,Mima1a,거기구나!
18,0,Mima1a,이것은 피할 수 없을 것이다!
18,1,Mima1a,에너지 샤워!
19,0,Mima1a,정리해 두드려 떨어뜨린다!
19,1,Mima1a,자、쏟아져라!
20,0,Mima0a,조각 하나 남기지 않고 바람에 날아가게 한다…
20,1,Mima1a,사이코 블래스트!
21,0,Mima0a,나의 마법을 보여 준다…
21,1,Mima1a,사이코 블래스트!
22,0,Mima0a,너는 상대를 오인했다
22,1,Mima1a,먹어!
23,0,Mima0a,가감(상태) 같은거 효과가 없어!
23,1,Mima1a,바람에 날아감인!
24,0,Mima0a,다음은 이렇게는 가지 않아
25,0,Mima0a,지금은 우쭐해지고 있는 것이군
26,0,Mima0a,맛인 흉내를 하지 않은가
27,0,Mima0a,눈이 좋은 녀석같다
28,0,Mima1a,거스름돈은 두 명분이야!
29,0,Mima0a,힘을 합해 볼까!
30,0,Mima0a,남편、나에게도 시키는거야!
31,0,Mima0a,남편、그렇게는 시키지 않아
32,0,Mima0a,쓸데없게 움직이고 싶지 않지만 말야
33,0,Mima0a,너의 상대는 나야
34,0,Mima0a,그것이 너의 방식인 것이구나、마리사
35,0,Mima0a,마리사、다음은 나의 마법이다!
36,0,Mima0a,마리사、뒤는 맡겨 두는거야
37,0,Mima0a,마리사、아직도 겨드랑이가 달콤하다
38,0,Mima0a,마리사、방심했는지?
