ID,LineID,face,dialog
0,0,Minoriko0a,탄막에 도움이 되는 소득이라고는 말하면…
1,0,Minoriko0a,싸움은 자신있지 않지만 말야!
2,0,Minoriko0a,이것을 병문안 해 주어요!
3,0,Minoriko0a,당겨는 있을 수 없다!
4,0,Minoriko0a,움직임을 확실히 보고 있으면…
5,0,Minoriko0a,가을의 힘、보여 준다!
6,0,Minoriko0a,풍양의 신인걸、수확없이는 돌려보내지 않는다!
7,0,Minoriko0a,신님에게 손을 들면 \n 공짜로는 끝나지 않아요!
8,0,Minoriko0a,나도、공짜는 당하지 않아요
9,0,Minoriko0a,맨손에서는 돌려보내지 않아요!
10,0,Minoriko0a,이 틈은 놓치지 않아요
11,0,Minoriko0a,지금 사과해도、이미 늦어요!
12,0,Minoriko0a,계절은 누구에 대해서도 평등한 것이야!
13,0,Minoriko0a,가을의 신님이 좋은 곳 보여 버릴까!
14,0,Minoriko0a,마음껏 가요!
15,0,Minoriko0a,가을의 전력으로 상대를 해요!
16,0,Minoriko1a,먹어랏!
17,0,Minoriko1a,두고도 어택!
18,0,Minoriko1a,에에이!
19,0,Minoriko1a,이거 참 실마리!
20,0,Minoriko1a,여물어라! 나의 탄막!
21,0,Minoriko1a,맞지 않을 리가 없는거야!
22,0,Minoriko1a,맞으면 아파요!
23,0,Minoriko1a,고구마 먹어라!
24,0,Minoriko1a,발해지고、커다란 가을의 힘!
24,1,Minoriko0a,변변치 못했습니다!
25,0,Minoriko1a,풍양의 힘… 부탁!
25,1,Minoriko0a,변변치 못했습니다!
26,0,Minoriko1a,이렇게 되면 소중히 간직함이야!
26,1,Minoriko0a,야 사 아 아!!
27,0,Minoriko1a,이런 것은 어떨까?
27,1,Minoriko0a,정해졌다아─!!
28,0,Minoriko0a,누나와 두 명이라면!
28,1,Minoriko7a,누나、저것을 해요
28,2,Shizuha6a,예、자주(잘)은요
28,3,Minoriko1a,스팍!
28,4,Shizuha1a,가을 자매!
28,5,Minoriko1a,킥!!
28,6,Shizuha0a,…、는 우츠호기분 저항이야…!?
28,7,Minoriko0a,누나…? \n 손을 떼어 놓아서는 안돼、누나!
28,8,Minoriko1a,누나!!
28,9,Minoriko1a,이것이라도…
28,10,Shizuha1a,먹으세요!
28,11,Minoriko1a,정해졌어요!
29,0,Minoriko7a,누나、힘을 합하자!
29,1,Shizuha6a,알았어요、미노리코
29,2,Minoriko0a,이것이 우리들의 소중히 간직함이야!
29,3,Minoriko1a,스팍!
29,4,Shizuha1a,가을 자매!
29,5,Minoriko1a,킥!!
29,6,Shizuha0a,…、설마 \n 이 정도의 부하가 걸리다니…!
29,7,Minoriko0a,、뭐 말하고 있는거야! \n 확실히 해 누나!
29,8,Minoriko1a,누나!!
29,9,Minoriko1a,키네…
29,10,Shizuha0a,의!
29,11,Minoriko0a,피니쉬!
30,0,Minoriko7a,가을의 매력은 풍부한 임!
30,1,Shizuha6a,가을의 매력은 덧없는 단풍!
30,2,Minoriko2a,2개의 가을이 합쳐지면…!
30,3,Minoriko1a,스팍!
30,4,Shizuha3a,가을 자매!
30,5,Minoriko1a,킥!!
30,6,Shizuha0a,…、설마 \n 이 정도의 부하가 걸리다니…!
30,7,Minoriko0a,、뭐 말하고 있는거야! \n 확실히 해 누나!
30,8,Minoriko1a,누나!!
30,9,Minoriko1a,키네…
30,10,Shizuha0a,의!
30,11,Minoriko0a,피니쉬!
31,0,Minoriko0a,가을의 힘으로 다 눌러요!
31,1,Shizuha1a,이 아름다운 단풍으로!
31,2,Minoriko2a,이 맛있는 고구마로!
31,3,Shizuha1a,가을、작렬!
32,0,Minoriko1b,가을의 경치를 보여 준다!
32,1,Shizuha1a,이 아름다운 단풍으로!
32,2,Minoriko2a,고구마 군단、돌격!
32,3,Minoriko1a,대·수·확·제!
33,0,Minoriko0a,가을의 매력을 전해요!
33,1,Shizuha1a,쇠약과…
33,2,Minoriko0a,소득의 힘!
33,3,Shizuha1a,피버!
34,0,Minoriko7a,가을의 매력은 풍부한 임!
34,1,Shizuha6a,가을의 매력은 덧없는 단풍!
34,2,Minoriko2a,2개의 가을이 합쳐지면…!
34,3,Minoriko1a,스팍!
34,4,Shizuha1a,가을 자매!
34,5,Minoriko1a,킥!
34,6,Shizuha1a,개!!
34,7,Shizuha0a,…、지금까지 이상의 부하야…!
34,8,Minoriko0a,、뭐 말하고 있는거야! \n 확실히 해 누나!
34,9,Minoriko1a,누나!!
34,10,Minoriko2a,키네…
34,11,Shizuha3a,의!
34,12,Minoriko1b,피니쉬!
34,13,Minoriko0a,가을의 힘…
34,14,Shizuha1b,깨달았다!?
35,0,Minoriko2a,누나와 두 명이라면!
35,1,Minoriko7a,누나、저것을 해요
35,2,Shizuha6a,예、자주(잘)은요
35,3,Minoriko1a,스팍!
35,4,Shizuha1a,가을 자매!
35,5,Minoriko1a,킥!
35,6,Shizuha1a,황금의 가을 스페샤룩!!
35,7,Shizuha0a,…、는 우츠호기분 저항이야…!?
35,8,Minoriko0a,누나…? \n 손을 떼어 놓아서는 안돼、누나!
35,9,Minoriko1a,누나!!
35,10,Minoriko1a,이것이라도…
35,11,Shizuha1a,먹으세요!
35,12,Minoriko0a,피니쉬!
35,13,Minoriko0a,가을…
35,14,Shizuha1a,폭、발!
36,0,Minoriko1b,누나、힘을 합하자!
36,1,Shizuha3a,가을 전개야、미노리코!
36,2,Minoriko0a,OK、누나!
36,3,Minoriko1a,스팍!
36,4,Shizuha1a,가을 자매!
36,5,Minoriko1a,킥!
36,6,Shizuha1a,골든 맥시멈!
36,7,Shizuha0a,…、체가 부풀어 터질 것 같다…!
36,8,Minoriko0a,、뭐 말하고 있는거야! \n 꺾여서는 안돼、누나!
36,9,Minoriko1a,누나!!
36,10,Minoriko1a,좋다…
36,11,Shizuha0a,실마리와!
36,12,Minoriko0a,피니쉬!
36,13,Minoriko0a,가을의 힘…
36,14,Shizuha1a,깨달았다!?
37,0,Minoriko0a,반격 같은거 할 때가 아니다!
38,0,Minoriko0a,온전히 싸워 있을 수 있습니까!
39,0,Minoriko2a,이거 참―、정정당당 싸우세요!
40,0,Minoriko2a,무슨 비겁한 것일까!
41,0,Minoriko0a,―、저런 먼 곳까지는 \n 고구마를 던질 수 없네요
42,0,Minoriko1a,당신의 죽음은 쓸데없게 하지 않는다!
43,0,Minoriko0a,아직도、고구마는 많이 있어요
44,0,Minoriko0a,걸음을 멈추어서는 안 돼요!
45,0,Minoriko0a,한 그릇 더는 어떨까?
46,0,Minoriko0a,좀 더 먹으세요!
47,0,Minoriko1a,가소로움 천만、괘씸함 천만!
48,0,Minoriko0a,이런 때 간과할 수 없는거야
49,0,Minoriko0a,내가 진지하게 일해버리는 원이야!
50,0,Minoriko0a,가을의 도움이 필요할까
51,0,Minoriko0a,납득 용서야!
52,0,Minoriko1a,저쪽에 공격하면 좋은거네!
53,0,Minoriko1a,가을의 미각은、\n 어떤 탄막에도 맞는거야!
54,0,Minoriko1a,고구마는 서비스야!
