ID,LineID,face,dialog
0,0,Minoriko0a,가을의 힘、보여 준다!
1,0,Minoriko0a,싸움은 자신있지 않지만 말야!
2,0,Minoriko0a,가을인데 가을에 이길 수 있다고 생각해!?
3,0,Minoriko0a,신님에게 손을 들면 \n 공짜로는 끝나지 않아요!
4,0,Minoriko0a,지금 사과해도、이미 늦어요!
5,0,Minoriko0a,탄막에 도움이 되는 소득이라고는 말하면…
6,0,Minoriko0a,싸움은 자신있지 않지만 말야!
7,0,Minoriko0a,이것을 병문안 해 주어요!
8,0,Minoriko0a,당겨는 있을 수 없다!
9,0,Minoriko0a,움직임을 확실히 보고 있으면…
10,0,Minoriko0a,가을의 힘、보여 준다!
11,0,Minoriko0a,풍양의 신인걸、\n 수확없이는 돌려보내지 않는다!
12,0,Minoriko0a,신님에게 손을 들면 \n 공짜로는 끝나지 않아요!
13,0,Minoriko0a,나도、공짜는 당하지 않아요
14,0,Minoriko0a,당신、이것은 분실물이야!
15,0,Minoriko0a,이 틈은 놓치지 않아요
16,0,Minoriko0a,지금 사과해도、이미 늦어요!
17,0,Minoriko0a,가을의 신님이 좋은 곳 보여 버릴까!
18,0,Minoriko0a,마음껏 가요!
19,0,Minoriko0a,가을의 전력으로 상대를 해요!
20,0,Minoriko1a,먹어랏!
21,0,Minoriko1a,두고도 어택!
22,0,Minoriko1a,에에이!
23,0,Minoriko1a,이거 참 실마리!
24,0,Minoriko1a,여물어라! 나의 탄막!
25,0,Minoriko1a,맞지 않을 리가 없는거야!
26,0,Minoriko1a,맞으면 아파요!
27,0,Minoriko1a,고구마 먹어라!
28,0,Minoriko1a,발해지고、커다란 가을의 힘!
28,1,Minoriko0a,변변치 못했습니다!
29,0,Minoriko1a,풍양의 힘… 부탁!
29,1,Minoriko0a,변변치 못했습니다!
30,0,Minoriko1a,이렇게 되면 소중히 간직함이야!
30,1,Minoriko0a,야 사 아 아!!
31,0,Minoriko1a,이런 것은 어떨까?
31,1,Minoriko0a,정해졌다아─!!
32,0,Minoriko0a,누나와 두 명이라면!
32,1,Minoriko7a,누나、저것을 해요
32,2,Shizuha6a,예、자주(잘)은요
32,3,Minoriko1a,스팍!
32,4,Shizuha1a,가을 자매!
32,5,Minoriko1a,킥!!
32,6,Shizuha5b,…、는 우츠호기분 저항이야…!?
