ID,LineID,face,dialog
0,0,Mokou0a,어떤 것인가 보여 받을까
1,0,Mokou0a,곧 때려 눕혀 준다
2,0,Mokou0a,정면에서 건다!
3,0,Mokou0a,그런 장소에서 태평하게 하고 있다고는
4,0,Mokou0a,마음껏 하지 않으면、\n 인생 게임 오버로 된다
5,0,Mokou0a,딱하지만、용서는 하지 않는다!
6,0,Mokou0a,너무 조심성없었군、반격이다!
7,0,Mokou0a,상당히 죽고 싶은 것 같다!
8,0,Mokou0a,이 기는 놓치지 않아!
9,0,Mokou0a,찾는 수고를 줄일 수 있었어
10,0,Mokou0a,틈을 찾아내면、거기에 이용한다!
11,0,Mokou0a,나는 요괴 퇴치의 프로다
12,0,Mokou0a,나쁘지만、지금이구나!
13,0,Mokou0a,나의 앞에 선 불행을 저주하는 것이군
14,0,Mokou0a,조금 무리하게라도、건다!
15,0,Mokou0a,고기를 다 써버릴 수 있어 뭐라든지…\n 나의 자신있는 전법이다!
16,0,Mokou0a,마지막에 서 있던 (분)편이 승자다!
17,0,Mokou0a,무리를 통해 보인닷!
18,0,Mokou0a,여기서 물러난다고 생각하면 큰 실수다!
19,0,Mokou0a,이대로는 죽어도 죽지 못한다!
20,0,Mokou0a,어느 쪽인지가 죽을 때까지 한다!
21,0,Mokou0a,이것은 내일은 근육통이다…
22,0,Mokou0a,이 기술은 상당히 아프지만…
23,0,Mokou0a,승부를 결정할 때가 왔군!
24,0,Mokou0a,생명을 태울 때가 왔다!
25,0,Mokou0a,이것이 내가 얻은 힘…
26,0,Mokou0a,이것이 나의 싸우는 방법이다!
27,0,Mokou0a,나의 진심을 보여 준다…!
28,0,Mokou1a,와!
29,0,Mokou1a,떨어뜨린다!
30,0,Mokou1a,거기다!
31,0,Mokou1a,맞아!
32,0,Mokou1a,죽어라!
33,0,Mokou1a,이 자식!
34,0,Mokou1a,이!
35,0,Mokou1a,거기를 치우고!
36,0,Mokou1a,그 장소라면 손톱이 닿는다…
36,1,Mokou1a,찢어랏!
37,0,Mokou1a,그 위치라면、이것이다!
37,1,Mokou1a,찢어랏!
38,0,Mokou1a,이 기술로 파악해 준다!
38,1,Mokou1a,거기닷!
39,0,Mokou1a,이 일격으로 길을 연다!
39,1,Mokou1a,거기를 치우고!
40,0,Mokou1a,불길이야、나의 힘이 되어라!
40,1,Mokou1a,거기닷!
40,2,Mokou1a,봉익…
40,3,Mokou1a,하늘츠바사!!
41,0,Mokou1a,받아 봐라、이것이 봉황의 날개짓이다!
41,1,Mokou1a,!
41,2,Mokou1a,봉익…
41,3,Mokou1a,하늘츠바사!!
42,0,Mokou1a,불길의 날개로 다 태워 준다!
42,1,Mokou1a,우오오오!
42,2,Mokou1a,봉익…
42,3,Mokou1a,하늘츠바사!!
43,0,Mokou1a,불길이야、나의 힘이 되어라!
43,1,Mokou1a,가겠어!
43,2,Mokou1a,봉익…
43,3,Mokou1a,하늘츠바사!!
44,0,Mokou1a,봉황의 날개로、불타고 저속해지는 것이 좋다!
44,1,Mokou1a,거기닷!
44,2,Mokou1a,봉익…
44,3,Mokou1a,하늘츠바사!!
45,0,Mokou1a,타올라라!
45,1,Mokou1a,여기로부터 쳐박는다!
45,2,Mokou1a,이 신체마다!
45,3,Mokou1a,너도…
45,4,Mokou1a,너도… 붉게 될 수 있고!
46,0,Mokou1a,제 모두 다 태워 준다!
46,1,Mokou1a,아직 끝이 아니다!
46,2,Mokou1a,우오오오!
46,3,Mokou1a,너도…
46,4,Mokou1a,너도… 붉게 될 수 있고!
47,0,Mokou1a,이그니션!
47,1,Mokou1a,먹어랏!
47,2,Mokou1a,우오오오오오오!
47,3,Mokou1a,개풍쾌청!
47,4,Mokou1a,보르케이노!
48,0,Mokou1a,최대 화력으로 간다!
48,1,Mokou1a,여기로부터가 실전이다!
48,2,Mokou1a,분출해라아!
48,3,Mokou1a,후지야마…
48,4,Mokou1a,보르케이노!
49,0,Mokou1a,불사조에게 모두를 맡긴다!
49,1,Mokou1a,날개를 펼쳐라…
49,2,Mokou1a,페닉슥!
49,3,Mokou1a,우오오오오오옷…!
49,4,Mokou1a,모두 불타라!
49,5,Mokou1a,그리고…
49,6,Mokou1a,또 다음의 생이다
50,0,Mokou1a,결코 도망칠 수는 없다…
50,1,Mokou1a,불사조야…
50,2,Mokou1a,날개를 펼쳐랏!
50,3,Mokou1a,우오오오오오옷…!
50,4,Mokou1a,다 태운다!
50,5,Mokou1a,그리고 아직…
50,6,Mokou1a,나는 살아 나간다
51,0,Mokou1a,불멸의 불길을 보여 준다!
51,1,Mokou1a,힘을 보여라…
51,2,Mokou1a,페닉슥!
51,3,Mokou1a,우오오오오오옷…!
51,4,Mokou1a,모두를 삼켜랏!
51,5,Mokou1a,그리고…
51,6,Mokou1a,또 다음의 생이다
52,0,Mokou0a,발이 묶임[足止め]과는、상대도 하네요
53,0,Mokou0a,여기서 초조해 하면 아마추어다
54,0,Mokou0a,지금、우위를 즐기고 있는 것이군
55,0,Mokou0a,내가 찾아낼 수 없다는…
56,0,Mokou0a,뭐라고 하는 호인인 녀석이야…
57,0,Mokou0a,아마추어는 이것이니까…
58,0,Mokou0a,마무리가 어설프다、바뀌어라!
59,0,Mokou0a,아마추어는 이것이니까…
60,0,Mokou0a,늦어、뭐 하고 있다!
61,0,Mokou0a,너의 생각으로 저 녀석을 다 태운다!
62,0,Mokou0a,내리지 않으면、연루가 되겠어!
63,0,Mokou0a,내가 모범을 보여 준다!
64,0,Mokou0a,약해진 상대는 몰아넣을 뿐(만큼)이다
