ID,LineID,face,dialog
0,0,Mokou0a,이 결착을、양보할 수는 없다!
1,0,Mokou0a,케이네를 위해서(때문에)도、눌러 통과한다!
2,0,Mokou0a,이것이、나의 구별이다!
3,0,Mokou0a,너희들의 기술은 이제 알고 있다
4,0,Mokou0a,나쁘지만、용서는 하지 않는다!
5,0,Mokou0a,끝까지 나를 통할 뿐(만큼)이다!
6,0,Mokou1a,와!
7,0,Mokou1a,거기다!
8,0,Mokou1a,맞아!
9,0,Mokou1a,죽어라!
10,0,Mokou1a,이 자식!
11,0,Mokou1a,거기를 치우고!
12,0,Mokou1a,그 장소라면 손톱이 닿는다…
12,1,Mokou1a,찢어랏!
13,0,Mokou1a,그 위치라면、이것이다!
13,1,Mokou1a,찢어랏!
14,0,Mokou1a,이 일격으로 길을 연다!
14,1,Mokou1a,거기를 치우고!
15,0,Mokou1a,받아 봐라、이것이 봉황의 날개짓이다!
15,1,Mokou1a,!
15,2,Mokou1a,봉익…
15,3,Mokou1a,하늘츠바사!!
16,0,Mokou1a,불길의 날개로 다 태워 준다!
16,1,Mokou1a,우오오오!
16,2,Mokou1a,봉익…
16,3,Mokou1a,하늘츠바사!!
17,0,Mokou1a,봉황의 날개로、불타고 저속해지는 것이 좋다!
17,1,Mokou1a,거기닷!
17,2,Mokou1a,봉익…
17,3,Mokou1a,하늘츠바사!!
18,0,Mokou1a,개풍쾌청!
19,0,Mokou1a,보르케이노!
20,0,Mokou1a,분출해라아!
21,0,Mokou1a,제 모두 다 태워 준다!
21,1,Mokou1a,나의 불길이야…
21,2,Mokou1a,타올라라!
21,3,Mokou1a,우오오오오오옷…!
21,4,Mokou1a,닿아라、아득한 달까지도!
21,5,Mokou1a,이 힘으로…
21,6,Mokou1a,나는 녀석을 넘어뜨려 보인다!
22,0,Mokou1a,이 힘으로부터 도망칠 수는 없다…
22,1,Mokou1a,불사조야…
22,2,Mokou1a,날개를 펼쳐랏!
22,3,Mokou1a,우오오오오오옷…!
22,4,Mokou1a,다 태운다!
22,5,Mokou0a,그리고 아직…
22,6,Mokou0a,나는 살아 나간다
23,0,Mokou0a,그렇게 시간을 벌면、\n 녀석들이 유리하게 될 뿐(만큼)이다!
24,0,Mokou0a,빌린 것은 언젠가 돌려준다
25,0,Mokou0a,내리지 않으면、연루로 하겠어!
26,0,Mokou0a,약해진 상대는 몰아넣을 뿐(만큼)이다
27,0,Mokou0a,그래서 자주(잘) 지금까지 살해당하지 않았지요
28,0,Mokou0a,잘 몰라、내려라!
29,0,Mokou0a,이런 나에게、가감(상태)에서도 하고 있는지?
30,0,Mokou0a,이 정도、상처중에 들어가지 않는다
31,0,Mokou2a,구、체력의 한계가…
32,0,Mokou2a,결사적이 될 것이다…!
33,0,Mokou2a,구、예측과 달랐는지…
34,0,Mokou2a,빠르다…! \n 하지만 잡을 수 있을 것이다!
35,0,Mokou2a,나에게 방심이 있었는지…
36,0,Mokou2a,이대로、\n 이쪽의 틈으로 끌어들이면…
37,0,Mokou2a,아직 당하지 않는다!
38,0,Mokou2a,질 수는 없다!
39,0,Mokou0a,아직 할 수 있다! 좀 더 쳐박고 와!
40,0,Mokou0a,이 정도로 물러난다고 생각하지마!
41,0,Mokou0a,읽기 대로다
42,0,Mokou0a,경험이 다른거야!
43,0,Mokou0a,되지 않구나
44,0,Mokou0a,질리는 만큼 온 것이다
45,0,Mokou0a,상대를 잘 봐…\n 뒤는 오랜 세월의 감의지다
46,0,Mokou0a,정확하게 노릴 뿐으로는 안된다
47,0,Mokou0a,어떻게든 읽어 이길 수 있었는지
48,0,Mokou0a,와、가벼운 것이구나
49,0,Mokou0a,틈을 찌르는 것을、\n 비겁하다 라고 말하지 마!
50,0,Mokou0a,공격받기 전에 망친다!
51,0,Mokou2a,여기서 지면、무엇이 된다!
52,0,Mokou2a,아직이다! 아직 나는 접히지 않았다!
53,0,Mokou2a,여기까지인가、미안한 케이네…
54,0,Mokou0a,None
55,0,Mokou0a,어떤 것인가 보여 받을까
56,0,Mokou0a,곧 때려 눕혀 준다
57,0,Mokou0a,정면에서 건다!
58,0,Mokou0a,그런 장소에서 태평하게 하고 있다고는
59,0,Mokou0a,너무 조심성없었군、반격이다!
60,0,Mokou0a,상당히 죽고 싶은 것 같다!
61,0,Mokou0a,이 기는 놓치지 않아!
62,0,Mokou0a,찾는 수고를 줄일 수 있었어
63,0,Mokou0a,틈을 찾아내면、거기에 이용한다!
