ID,LineID,face,dialog
0,0,Momiji0a,이런 일을 할 때는 아닌데!
1,0,Momiji0a,텐구의 힘을 깨달으세요!
2,0,Momiji1a,이렇게 되면 힘이다!
3,0,Momiji0a,거기까지 싸우고 싶으면…!
4,0,Momiji1a,텐구에 대항하는 무모、\n 깨달으세요!
5,0,Momiji0a,이 때를 기다리고 있었닷!
6,0,Momiji0a,요괴의 산에 도전한 무모、\n 깨닫게 해 줍시다!
7,0,Momiji0a,당신들과의 인연도 여기까지다!
8,0,Momiji0a,니토리、어째서 여기에…
9,0,Momiji0a,니토리 상대라도、용서하지 않는다!
10,0,Momiji1a,저런 마법사에게 부추겨져!
11,0,Momiji1a,진심이야、니토리…!
12,0,Momiji0a,텐구의 힘을 깨달으세요!
13,0,Momiji0a,검사끼리、승부입니다!
14,0,Momiji1a,이렇게 되면 힘이다!
15,0,Momiji0a,요정 풍치가 건방진!
16,0,Momiji0a,당신의 탓으로 이야기가 뒤틀린 것이다!
17,0,Momiji0a,승부다、이슬비마리사!
18,0,Momiji0a,각오 해라、하쿠레이의 무녀!
19,0,Momiji0a,당신들과의 인연도 여기까지다!
20,0,Momiji0a,여름의 굴욕、\n 이 손으로 풉니다
21,0,Momiji0a,이것이 나의 새로운 오의!
22,0,Momiji0a,이미 \n 퇴보는 할 수 없다고 아세요!
23,0,Momiji1a,라고!
24,0,Momiji1a,각오 하세요!
25,0,Momiji1a,놓칠까 보냐!
26,0,Momiji0a,노
27,0,Momiji1a,갈 수 있고 、의 것의 자탄!
28,0,Momiji0a,행 、필살의…
28,1,Momiji1a,의의 자참다앗!!
29,0,Momiji0a,라고!
29,1,Momiji1a,필살! 의의 글자 베어!!
30,0,Momiji0a,각오 하세요!
30,1,Momiji1a,필살! 의의 글자 베어!!
31,0,Momiji1a,가겠어、이것이 나의 스펠 카드다!
31,1,Momiji1a,오오오오옷!
31,2,Momiji1a,끊는닷!
31,3,Momiji1a,레이 비즈…
31,4,Momiji1a,레이 비즈… 바이트!!
32,0,Momiji1a,짖어라、암쇄아!
32,1,Momiji1a,가능한 한 접근한닷!
32,2,Momiji1a,단념했다!
32,3,Momiji1a,레이 비즈…
32,4,Momiji1a,레이 비즈… 바이트!!
33,0,Momiji1a,물어 준닷!
33,1,Momiji1a,오오오오옷!
33,2,Momiji1a,이거야 우리 송곳니!
33,3,Momiji1a,이거야 우리 송곳니! 레이 비즈…
33,4,Momiji1a,이거야 우리 송곳니! 레이 비즈… 바이트!!
34,0,Momiji1a,새로운 송곳니、그 몸으로 맛보세요!
34,1,Momiji1a,오오오오옷!
34,2,Momiji1a,방패는 버린닷!
34,3,Momiji1a,방패는 버린닷!
34,4,Momiji1a,혼신의 일격이다!
35,0,Momiji0a,언젠가 호기가 찾아올 것…
36,0,Momiji0a,지금은 와신상담때…
37,0,Momiji2a,구、닿지 않는다니
38,0,Momiji1a,곧바로 거리를 채워 줍니다!
39,0,Momiji1a,이 은혜는 반드시 돌려줍니다
