ID,LineID,face,dialog
0,0,Murasa0a,여기로부터 먼저 걸자!
1,0,Murasa0a,정말로 해주기 때문에!
2,0,Murasa0a,좋아、해줘요!
3,0,Murasa0a,나는 히지리의 이상을 위해서(때문에) 싸운다!
4,0,Murasa0a,배유령에 접근해、\n 도망칠 수 있다고 생각하지 말아요
5,0,Murasa0a,조심성없게 가까워졌군요!
6,0,Murasa0a,여기는 두드려 두지 않으면!
7,0,Murasa0a,참배 시켜 받아요!
8,0,Murasa0a,어떻게 가라앉혀 줄까
9,0,Murasa0a,이 해역으로부터는 도망칠 수 없다!
10,0,Murasa0a,이제 와서 우려를 이루어도 늦어!
11,0,Murasa0a,능숙하게 해 보인다!
12,0,Murasa0a,사양은 필요하지 않은 것 같구나!
13,0,Murasa1a,이렇게 되면、억지로 해요!
14,0,Murasa1a,불가능을 가능하게 한다!
15,0,Murasa1a,지금부터 반격하지 않으면…!
16,0,Murasa1a,여기서 결말을 짓지 않으면!
17,0,Murasa1a,너도 길동무로 해 준다!
18,0,Murasa1a,맞으면 아파!
18,1,Murasa1a,그것!
19,0,Murasa1a,접근하면…!
19,1,Murasa1a,맞아랏!
20,0,Murasa1a,단순한 국자가 아니다!
20,1,Murasa1a,에에이!
21,0,Murasa1a,단번에 접근해…!
21,1,Murasa1a,우랴!
22,0,Murasa1a,빨리 사라져!
23,0,Murasa1a,저주해진 물을 받는거야!
24,0,Murasa1a,배유령인것 같게、가라앉혀 준다!
25,0,Murasa1a,씻어 없애 준다!
26,0,Murasa1a,소용돌이치는 조수에 삼켜지고!
27,0,Murasa1a,물 마시는 장소가 없어도…!
28,0,Murasa1a,이 녀석으로 일발 승부다!
28,1,Murasa1a,영차… 와
28,2,Murasa1a,맞아라아─!
28,3,Murasa1a,그것!
28,4,Murasa1a,그것!
29,0,Murasa1a,이 녀석이 제일、\n 해저의 경치를 알고 있다!
29,1,Murasa1a,이 녀석이 제일、\n 해저의 경치를 알고 있다!
29,2,Murasa1a,깨달아라아─!
29,3,Murasa1a,아직도!
29,4,Murasa1a,끝이야!
30,0,Murasa1a,출로、엥커!
30,1,Murasa1a,이 녀석은 제외하지 않아!
30,2,Murasa1a,산산조각으로…
30,3,Murasa1a,부서지세요!
30,4,Murasa1a,부서지세요!
31,0,Murasa1a,이 엥커로!
31,1,Murasa1a,집중시켜라… 와!
31,2,Murasa1a,가라앉히고오─!
31,3,Murasa1a,이제 일발!
31,4,Murasa1a,결정타야!
32,0,Murasa1a,이쪽 선장、제휴 잘 부탁드립니다!
32,1,Murasa1a,우츠호중으로부터 건다!
32,2,Kosuzu2a,양해[了解]입니다、사격 개시!
32,3,Murasa1a,오랴아아앗!
33,0,Murasa1a,여기에 와、성련선!
33,1,Murasa1a,성련선、부상!
33,2,Korin1a,적영확인、사격 개시!
33,3,Murasa1a,결정타다아아앗!
34,0,Murasa0a,성대하게 가라앉혀 준다!
34,1,Murasa1a,이것이라도…
34,2,Murasa1a,이것이라도… 먹어랏!
34,3,Murasa0a,자、여기…
35,0,Murasa0a,물밑의 경치를 보여 준다!
35,1,Murasa1a,이것으로…
35,2,Murasa1a,이것으로… 결정이야!
35,3,Murasa0a,자、좀 더 깊고…
36,0,Murasa0a,잔향만 남겨…
36,1,Murasa1a,물밑에…
36,2,Murasa1a,물밑에… 가라앉히고!
36,3,Murasa0a,이제、아무것도 들리지 않는다…
37,0,Murasa0a,관망이라면 익숙해져 있지만 말야
38,0,Murasa0a,좀 더 기다리는 것이 좋다
39,0,Murasa0a,저런 거리로부터 공격하다니
40,0,Murasa0a,육지에 도망쳐져 누나―
41,0,Murasa2a,내가 방해를 하고 있다고!?
42,0,Murasa1a,배유령의 원망을 산다고는!
43,0,Murasa0a,기다리게 했군요!
44,0,Murasa0a,의지해 주었다면、거기에 응하고 싶다
45,0,Murasa0a,흐름을 타게 해 받아요!
46,0,Murasa0a,가세 해요!
47,0,Murasa0a,간과해서는 가르침에 패는
48,0,Murasa0a,멍하니 해서는 안돼!
49,0,Murasa0a,고전하고 있는 것 같지 않아
50,0,Murasa0a,적씨로부터 인기같다
51,0,Murasa1a,뒤로 한가로이는 하고 있을 수 없다!
52,0,Murasa1a,자、나에게 이어!
53,0,Murasa1a,적확한 지시구나!
54,0,Murasa0a,모처럼이고、함께 노력하자
55,0,Murasa1a,냉수를 퍼부어 준다!
56,0,Murasa1a,훌륭하게 일해 보인다
57,0,Murasa1a,뭐、봐 되어!
58,0,Murasa1a,둘이서、거센 파도를 일으키자!
59,0,Murasa1a,지금은 불심 같은거 생각하지 않는다!
60,0,Murasa1a,이 해방감、힘껏 할 수 있을 것 같다!
61,0,Murasa2a,유들자씨、이것은 패기 없다…
62,0,Murasa0a,유들자씨、\n 둘이서 변해 나와 줍시다!
63,0,Murasa0a,같은 유령 동료입니다!
64,0,Murasa0a,같은 유령 동료입니다!
65,0,Murasa0a,유들자씨、휘청휘청 너무 하고 있지 않습니까?
66,0,Murasa1a,내가 앞에 나올까요
67,0,Murasa1a,유들자씨에게만 맡겨!
68,0,Murasa1a,유들자씨、우선은 내가!
69,0,Murasa1a,유들자씨、\n 둘이서 변해 나와 줍시다!
70,0,Murasa1a,유들자씨、지시에 따라요
71,0,Murasa1a,유들자씨、거센 파도를 일으킵시다!
72,0,Murasa1a,유들자씨、\n 둘이서 변해 나와 줍시다!
73,0,Murasa1a,유들자씨、힘껏 합시다!
74,0,Murasa2a,나즈린、나를 위해서(때문에)…
75,0,Murasa1a,나즈린、나도 좋은 곳을 보인다
76,0,Murasa0a,나즈린이 만든 흐름을 탄다!
77,0,Murasa0a,나즈린、무리는 하지 말아줘!
78,0,Murasa0a,나즈린、괜찮아?
79,0,Murasa1a,나즈린、우선은 내가!
80,0,Murasa1a,나즈린、맡겨 주어도 좋아
81,0,Murasa1a,나즈린、이것도 히지리의 뜻을 위해서(때문에)!
82,0,Murasa1a,나즈린의 지시라면 안심이다!
83,0,Murasa0a,별과 함께가 아니어도 괜찮은거야?
84,0,Murasa1a,나즈린、거센 파도를 일으키자!
85,0,Murasa1a,나즈린、지금은 부처의 가르침 이야기다!
