ID,LineID,face,dialog
0,0,Murasa0a,여기로부터 먼저 걸자!
1,0,Murasa0a,좋아、해줘요!
2,0,Murasa0a,배유령에 접근해、\n 도망칠 수 있다고 생각하지 말아요
3,0,Murasa0a,조심성없게 가까워졌군요!
4,0,Murasa0a,여기는 두드려 두지 않으면!
5,0,Murasa0a,참배 시켜 받아요!
6,0,Murasa0a,어떻게 가라앉혀 줄까
7,0,Murasa0a,이 해역으로부터는 도망칠 수 없다!
8,0,Murasa0a,이제 와서 우려를 이루어도 늦어!
9,0,Murasa0a,능숙하게 해 보인다!
10,0,Murasa0a,사양은 필요하지 않은 것 같구나!
11,0,Murasa1a,맞으면 아파!
11,1,Murasa1a,그것!
12,0,Murasa1a,접근하면…!
12,1,Murasa1a,맞아랏!
13,0,Murasa1a,단순한 국자가 아니다!
13,1,Murasa1a,에에이!
14,0,Murasa1a,단번에 접근해…!
14,1,Murasa1a,우랴!
15,0,Murasa1a,빨리 사라져!
16,0,Murasa1a,저주해진 물을 받는거야!
17,0,Murasa1a,배유령인것 같게、가라앉혀 준다!
18,0,Murasa1a,씻어 없애 준다!
19,0,Murasa1a,소용돌이치는 조수에 삼켜지고!
20,0,Murasa1a,물 마시는 장소가 없어도…!
21,0,Murasa1a,이 녀석으로 일발 승부다!
21,1,Murasa1a,영차… 와
21,2,Murasa1a,맞아라아─!
21,3,Murasa1a,그것!
21,4,Murasa1a,그것!
22,0,Murasa1a,이 녀석이 제일、\n 해저의 경치를 알고 있다!
22,1,Murasa1a,이 녀석이 제일、\n 해저의 경치를 알고 있다!
22,2,Murasa1a,깨달아라아─!
22,3,Murasa1a,아직도!
22,4,Murasa1a,끝이야!
23,0,Murasa1a,출로、엥커!
23,1,Murasa1a,이 녀석은 제외하지 않아!
23,2,Murasa1a,산산조각으로…
23,3,Murasa1a,부서지세요!
23,4,Murasa1a,부서지세요!
24,0,Murasa1a,이 엥커로!
24,1,Murasa1a,집중시켜라… 와!
24,2,Murasa1a,가라앉히고오─!
24,3,Murasa1a,이제 일발!
24,4,Murasa1a,결정타야!
25,0,Murasa0a,관망이라면 익숙해져 있지만 말야
26,0,Murasa0a,좀 더 기다리는 것이 좋다
27,0,Murasa0a,저런 거리로부터 공격하다니
28,0,Murasa0a,육지에 도망쳐져 누나―
29,0,Murasa2a,내가 방해를 하고 있다고!?
30,0,Murasa1a,배유령의 원망을 산다고는!
31,0,Murasa0a,기다리게 했군요!
32,0,Murasa0a,의지해 주었다면、거기에 응하고 싶다
33,0,Murasa0a,흐름을 타게 해 받아요!
34,0,Murasa0a,가세 해요!
35,0,Murasa0a,간과해서는 가르침에 패는
36,0,Murasa0a,멍하니 해서는 안돼!
37,0,Murasa0a,고전하고 있는 것 같지 않아
38,0,Murasa0a,적씨로부터 인기같다
