ID,LineID,face,dialog
0,0,Mystia0a,이대로 물러날 수 없어요
1,0,Mystia0a,잔돈은 분명하게 \n 돌려주지 않으면
2,0,Mystia0a,놓치지 않는다고 말한 것이겠지
3,0,Mystia0a,이놈도 저놈도 야맹증으로 해 준다!
4,0,Mystia0a,너에게 듣게 하는 노래는 없어요~
5,0,Mystia0a,이봐요、방심하고 있으면…
6,0,Mystia0a,당신을 넘어뜨리다는、\n 수월하기 때문에!
7,0,Mystia0a,그런 곳에 있던 거네!
8,0,Mystia0a,그러면 가요!
9,0,Mystia0a,내가 떨어뜨려 준다
10,0,Mystia1b,、역전~♪
11,0,Mystia1b,어떤 때라도、\n 새는 노래하는 것을 멈추지 않는다~♪
12,0,Mystia0a,노래하면서라도 싸워요~
13,0,Mystia0a,노래를 선택하지 않는 것이 프로라는 것
14,0,Mystia0a,계속 노래하지 않으면 죽어 버리는거야
15,0,Mystia0a,누구에게도 나의 노래는 멈출 수 없어요
16,0,Mystia0a,나의 노래를 들어라아~!
17,0,Mystia0a,특등석으로 들어 가요!
18,0,Mystia1a,지금이다!
19,0,Mystia1a,그─것!
20,0,Mystia1a,에이!
21,0,Mystia1a,해 버린다!
22,0,Mystia1a,급강하다아!
23,0,Mystia1a,기세를 붙여!
24,0,Mystia1a,다이브!
25,0,Mystia1a,찾아내 버린、-!
26,0,Mystia1b,밤의 새、밤의 노래♪
26,1,Mystia1b,라♪
27,0,Mystia1b,밤의 새는 날개를 벌려♪
27,1,Mystia1b,안보이는 밤하늘에 날아올랐다~♪
28,0,Mystia1b,평소의 노래에 마음을 포함해~
28,1,Mystia1b,라♪
29,0,Mystia1b,평소의 노래에 마음을 포함해~
30,0,Mystia1b,밤의 새는 날개를 벌려♪
31,0,Mystia1b,밤의 새、밤의 노래♪
32,0,Mystia1b,날개를 쉬게 한점각양각색의 새♪
32,1,Mystia1b,상냥한 빛은 미스테~리어~스♪
33,0,Mystia0a,건강이 회복하는 노래를 불러요
33,1,Mystia1b,영향을 주어라…
34,0,Mystia1b,이 생각해、닿아라―
34,1,Mystia1b,라~…
35,0,Mystia1b,날개를 쉬게 한점각양각색의 새♪
36,0,Mystia1b,건강이 회복하는 노래를 불러요
37,0,Mystia1b,이 생각해、닿아라―
38,0,Mystia1b,창고、혼~아무리 있고♪
39,0,Mystia1b,아픈 것 아픈 것 잊어 버려라~♪
39,1,Mystia1b,내뿜어라、뇌내 물질~♪
40,0,Mystia0a,너희들、입다물어…
40,1,Mystia1a,나의 노래를、들어라아~!
41,0,Mystia0a,좋아、가…
41,1,Mystia1a,있어 아~!
42,0,Mystia1a,나의 노래를、들어라아~!
43,0,Mystia1b,아픈 것 아픈 것 잊어 버려라~♪
44,0,Mystia1a,있어 아~!
45,0,Mystia0a,자、즐겨 가!
45,1,Mystia1b,한밤중으로 들리는 새의 노래~♪
45,2,Mystia1b,좁아지는 시야는 구~들 창고~♪
45,3,Mystia1b,저것에~♪
45,4,Mystia1b,보이고는~♪
45,5,Mystia1b,한밤 중의 코러스 마스터♪\n 모두도 함께 노래해~♪
46,0,Mystia0a,여기가 나의 무대라는 것!
46,1,Mystia1b,밤의 한밤중의 야작정~♪
46,2,Mystia1b,야맹증의 눈에는、8트눈의 눈~
46,3,Mystia1b,당신도~♪
46,4,Mystia1b,그 쪽도~♪
46,5,Mystia1b,계(오)세요、야작정~♪
47,0,Mystia0a,나의 노래를 들으세요!
47,1,Mystia1b,아가볍다♪
47,2,Mystia1b,실마리인―♪
47,3,Mystia1b,지구의 빛~♪
47,4,Mystia1b,레이저의 빛~♪
47,5,Mystia0a,이런 눈부시면、\n 야맹증으로 해도 의미 없네요~
48,0,Mystia0a,최고의 라이브로 해요!
48,1,Mystia1b,미운 저 녀석은 밥벌레~♪
48,2,Mystia1b,텐션 올려~♪
48,3,Mystia1b,오른쪽이다♪
48,4,Mystia1b,왼쪽이다♪
48,5,Mystia1b,넉아웃~♪\n 모두、노력해~♪
49,0,Mystia0a,나의 노래를 들으세요!
50,0,Mystia0a,최고의 라이브로 해요!
51,0,Mystia0a,여기가 나의 무대라는 것!
52,0,Mystia0a,좋아、모두 모여!
52,1,Rumia0a,뭐 해 노는 건가?
52,2,Cirno0a,어둠과、얼음과、벌레와、노래!
52,3,Wriggle0a,준비는 OK!
52,4,Mystia0a,여기도 룰루랄라!
52,5,Cirno1a,스펠 카드!
52,6,Wriggle1a,모두、잘 부탁드립니다!
52,7,Mystia1a,파이야!
52,8,Rumia0a,와─이
52,9,Cirno1a,얼음 파워야!
52,10,Wriggle1a,거기다!
52,11,Mystia1b,가라♪가라♪
52,12,Rumia0a,창고―
52,13,Rumia0a,좋은 느낌―
52,14,Wriggle0a,마무리가 큰 일이야!
52,15,Mystia0a,올라 왔어요―
52,16,Cirno0a,단번에 가요…!
52,17,Cirno1a,바카르텟트스페샤룩!
52,18,Rumia1a,스펠 카드!
52,19,Mystia1a,스펠 카드!
52,20,Wriggle1a,스펠 카드!
53,0,Mystia0a,전원 분명하게 있을까?
53,1,Rumia0a,시장─응
53,2,Cirno0a,-응!
53,3,Wriggle0a,산파─응!
53,4,Mystia0a,-응!
53,5,Cirno1a,쿼텟!
53,6,Wriggle1a,갈 수 있고 、충들!
53,7,Mystia1a,파이야!
53,8,Rumia0a,바닥 시세―
53,9,Cirno1a,냉동 빔!
53,10,Wriggle1a,놓치지 마!
53,11,Mystia1b,좀 더 해 버려―♪
53,12,Rumia0a,어두워져라―
53,13,Rumia0a,이제 해치울 수 있을 것 같다
53,14,Wriggle0a,그렇다면 승부다!
53,15,Mystia0a,좋은 느낌이예요―
53,16,Cirno0a,좋아、결정타야…!
53,17,Cirno1a,바카르텟트스페샤룩!
53,18,Rumia1a,쿼텟!
53,19,Mystia1a,쿼텟!
53,20,Wriggle1a,쿼텟!
54,0,Mystia0a,예의 저것의 차례군요!
54,1,Rumia0a,준비는 되어지고 있어?
54,2,Cirno0a,물론!
54,3,Wriggle0a,언제라도 갈 수 있다!
54,4,Mystia0a,상태는 최상!
54,5,Cirno1a,스펠 카드!
54,6,Wriggle1a,모두、가!
54,7,Mystia1a,파이야!
54,8,Rumia0a,에이
54,9,Cirno1a,얼어 버려라!
54,10,Wriggle1a,지금이다!
54,11,Mystia1b,좀 더―♪좀 더―♪
54,12,Rumia0a,퍼져라―
54,13,Rumia0a,이제 결정타일까
54,14,Wriggle0a,찬스같아!
54,15,Mystia0a,그러면、해 버리자!
54,16,Cirno0a,마지막에 소중히 간직함이야…!
54,17,Cirno1a,그레이샤르바이오아탁크!
54,18,Rumia1a,스펠 카드!
54,19,Mystia1a,스펠 카드!
54,20,Wriggle1a,스펠 카드!
55,0,Mystia0a,모두가 함께 노래하자!
55,1,Rumia0a,치르노
55,2,Cirno0a,대짱!
55,3,Daiyosei0a,리굴짱!
55,4,Wriggle0a,미스티아!
