ID,LineID,face,dialog
0,0,Nazrin0a,공격받는 타이밍은 \n 놓치지 않는다!
1,0,Nazrin0a,원한은 없지만、잡게 해 받는다
2,0,Nazrin0a,거기에 있을 수 있으면 방해다
3,0,Nazrin0a,나쁘다고 생각하지 말아줘
4,0,Nazrin0a,견실하고 가고 싶은 곳이지만…
5,0,Nazrin0a,좋아、걸까
6,0,Nazrin0a,이렇게 되는 것은 오산이었는지?
7,0,Nazrin0a,적어도、\n 보복 정도해 두지 않으면
8,0,Nazrin0a,함부로 손을 대면 어떻게 될까…\n 가르쳐 주자
9,0,Nazrin0a,당분간 교제해 받는다
10,0,Nazrin0a,계마의 높이 뛰기보의 먹이다
11,0,Nazrin0a,좋아、준비는 갖추어졌다
12,0,Nazrin0a,좋을대로는 하지 않는다
13,0,Nazrin0a,그럼、이번은 이쪽의 차례구나
14,0,Nazrin0a,이것이 다우더─의 힘이야
15,0,Nazrin0a,이 도구는 싸우기 위한 것 \n (이)가 아니다
16,0,Nazrin0a,아무래도、나의 아이 쥐들이 \n 너에게 흥미가 있는 것 같다
17,0,Nazrin0a,나의 능력을 보여 주자
18,0,Nazrin0a,적어도 한화살은 보답하고 싶은 것이구나
19,0,Nazrin0a,어떻게 해서든지、녀석을 멈추어 보인다
20,0,Nazrin0a,쥐를 얕잡아 보면… 죽는다
21,0,Nazrin0a,몰린 쥐가 무엇을 할까…\n 보여 주자
22,0,Nazrin0a,시험과 갈까
22,1,Nazrin0a,그것!
23,0,Nazrin0a,간다
23,1,Nazrin0a,거기다!
24,0,Nazrin0a,직접 서로 칠 수 밖에 없는가
24,1,Nazrin0a,거기다!
25,0,Nazrin0a,길을 나타내라、펜듀람!
26,0,Nazrin0a,이런 일도 할 수 있는 거야
27,0,Nazrin0a,조준사격을 시켜 받는다!
28,0,Nazrin0a,레어도가 높은 것은…
28,1,Nazrin0a,저쪽인가!
28,2,Nazrin0a,、엽전이 아닌가
29,0,Nazrin0a,잘 조사해…
29,1,Nazrin0a,여기인가!
29,2,Nazrin0a,받았다!
30,0,Nazrin0a,찾아 보자…
30,1,Nazrin0a,거기인가!
30,2,Nazrin0a,、요만큼인가
31,0,Nazrin0a,재보를 찾아 볼까
31,1,Nazrin0a,거기구나!
31,2,Nazrin0a,파면 팔 뿐(만큼) 돈이 나온다…
31,3,Nazrin0a,물론、그런 것 환상이지만 말야
31,4,Nazrin0a,물론、그런 것 환상이지만 말야
32,0,Nazrin0a,이 근처에서 제일의 재보는…
32,1,Nazrin0a,거기인가!
32,2,Nazrin0a,조금 실례한다
32,3,Nazrin0a,、잔돈(뿐)만이구나
32,4,Nazrin0a,、상당한 당이 아닌가
33,0,Nazrin0a,너의 급소라도 찾을 수 있다
33,1,Nazrin0a,보였다!
33,2,Nazrin0a,이대로 다 깨문다…
33,3,Nazrin0a,、잡을 수 없었는지
33,4,Nazrin0a,그 엽전은 위로금이다
34,0,Nazrin0a,보탑이야、빛나고!
34,1,Nazrin0a,이 손에 최고의 보물을!
35,0,Nazrin0a,보탑이야、빛을!
35,1,Nazrin1a,보물의 산을 낳아 줘
36,0,Nazrin0a,비샤몬하늘의 위광을!
36,1,Nazrin1a,꽤 굉장한 경치구나
37,0,Nazrin0a,너는 레어도 0이다、\n 상대로 할 것도 없어
38,0,Nazrin0a,아무래도、\n 지금 공격하고 돌려주는 것은 유리한 계책은 아닌 것 같다…
39,0,Nazrin0a,너무 시간을 들이고 싶게는 \n 없지만…
40,0,Nazrin0a,도망 다니는 것은 자신있는 것이다
41,0,Nazrin0a,이대로는 목표가 될 뿐(만큼)인가…
42,0,Nazrin0a,일방적과는、갔군요…
