ID,LineID,face,dialog
0,0,Nue0a,내가 상대를 해 준다!
1,0,Nue0a,、두드려 잡아 주기 때문에!
2,0,Nue0a,이것으로 끝내 주어요!
3,0,Nue0a,이것은 빚을 갚을 뿐(만큼)이니까!
4,0,Nue0a,군집하고 있을 뿐의 무리에게!
5,0,Nue0a,분명하게 노리면、맞겠죠!
6,0,Nue0a,죽고 싶지 않으면、방해 하지마!
7,0,Nue0a,나의 전부터 사라져 없어져!
8,0,Nue0a,이것으로 결정타야…
8,1,Nue1a,방해!
9,0,Nue0a,건방진 것이야…
9,1,Nue1a,먹어랏!
10,0,Nue0a,누에님에게이빨 향한다면…
10,1,Nue1a,이러하닷!
11,0,Nue0a,관통해 준다…
11,1,Nue1a,그것!
12,0,Nue0a,방해를 하기 때문에…
12,1,Nue1a,이―!
13,0,Nue0a,도망 다니면、파악할 수 없지요!
14,0,Nue0a,좀 더 틈을 엿보지 않으면
15,0,Nue2a,저것、어디에 도망쳤어!?
16,0,Nue2a,반격 할 수 없다고 말하는거야…!?
17,0,Nue0a,응、예 같은거 말한다고 생각하고 있어!?
18,0,Nue0a,이 녀석은 내가 주목해 있었다는!
19,0,Nue0a,인기 배우의 등장이야!
20,0,Nue0a,너의 상대는 나야!
21,0,Nue0a,뭐 멍하니 하고 있는 것?
22,0,Nue0a,응、감사하세요!
23,0,Nue0a,전혀 효과가 없다!
24,0,Nue0a,상대가 되지 않네요!
25,0,Nue0a,대요괴 누에님에게、\n 그런 공격이 통하는 것일까!
26,0,Nue2a,더 이상은 정말로 위험하다!
27,0,Nue2a,너희들에게무슨、지고도 참을까!
28,0,Nue2a,이런 일방적인…!
29,0,Nue2a,피하지 못했다인가…
30,0,Nue2a,구、생각했던 것보다 하지 않아!
31,0,Nue2a,이놈도 저놈도!
32,0,Nue2a,화나는 녀석!
33,0,Nue2a,너희들、숨막힐 듯이 더워!
34,0,Nue2a,이대로는 불리할지도…
35,0,Nue2a,방해 하는 것이 아니에요!
36,0,Nue0a,좀 더 나은 공격을 해!
37,0,Nue0a,눈도 마음도 흐리기 때문에、\n 나의 정체를 몰라
38,0,Nue0a,그런 촌티나는 공격、맞지 않아!
39,0,Nue0a,와、간단해!
40,0,Nue0a,남편、맞을 이유 없지요
41,0,Nue0a,그런 것은、\n 나의 정체까지 겨우 도착할 수 없어!
42,0,Nue0a,아하하는、이것이 나의 요력이야!
43,0,Nue0a,이런 것 피하지 않아도!
44,0,Nue0a,그─것와!
45,0,Nue0a,대요괴의 힘、신중히 보는거야!
46,0,Nue0a,그저 조금의 우려에도 기입한다!
47,0,Nue2a,구、내가 뒤쳐지다니…!
48,0,Nue0a,… 벌써 충분히 싸운 것이군요、\n 뒤는 모습을 엿보고 있자
49,0,Nue0a,겨우 즐겁게 해요!
50,0,Nue0a,내가 상대를 해 준다!
51,0,Nue0a,두드려 잡아 주기 때문에!
52,0,Nue0a,이것으로 끝내 주어요!
53,0,Nue0a,피할 수 있다고 생각하지 마!
54,0,Nue0a,좋은 것도 좋지 않은 것도 있는 것일까!
55,0,Nue0a,여기를 무서워하고 있는 기색이 전해지고 있다!
56,0,Nue0a,대의명분에 흥미는 없지만…
57,0,Nue0a,도망이고 끊어 허락하지 않아!
58,0,Nue0a,죽고 싶지 않으면、방해 하지마!
59,0,Nue0a,나의 전부터 사라져 없어져!
60,0,Nue1a,입다물고 당하는 것일까!
61,0,Nue1a,그 정도로 나와 대등하게 된 생각이라면…!
62,0,Nue1a,이대로 끝날 수 있는 것일까!
63,0,Nue0a,이것으로 해준다…
63,1,Nue1a,방해!
64,0,Nue0a,건방진 것이야…
64,1,Nue1a,먹어랏!
65,0,Nue0a,누에님에게이빨 향한다면…
65,1,Nue1a,이러하닷!
66,0,Nue0a,관통해 준다…
66,1,Nue1a,그것!
67,0,Nue1a,어둠중에서 1 찌르기다!
67,1,Nue1a,그것 그것!
68,0,Nue1a,어둠에 두려움인!
68,1,Nue1a,거기다!
69,0,Nue1a,이것이인가 원 다투는 것일까!
69,1,Nue1a,그것 그것!
