ID,LineID,face,dialog
0,0,Nue0a,너희들의 상대는 지긋지긋해요!
1,0,Nue0a,、두드려 잡아 주기 때문에!
2,0,Nue0a,이것으로 끝내 주어요!
3,0,Nue0a,나는 사람을 무서워하게 하고 싶은 것뿐!
4,0,Nue0a,군집하고 있을 뿐의 무리에게!
5,0,Nue0a,분명하게 노리면、맞겠죠!
6,0,Nue0a,죽고 싶지 않으면、방해 하지마!
7,0,Nue0a,나의 전부터 사라져 없어져!
8,0,Nue0a,이것으로 결정타야…
8,1,Nue1a,방해!
9,0,Nue0a,건방진 것이야…
9,1,Nue1a,먹어랏!
10,0,Nue0a,누에님에게이빨 향한다면…
10,1,Nue1a,이러하닷!
11,0,Nue0a,관통해 준다…
11,1,Nue1a,그것!
12,0,Nue0a,방해를 하기 때문에…
12,1,Nue1a,이―!
13,0,Nue0a,도망 다니면、파악할 수 없지요!
14,0,Nue0a,좀 더 틈을 엿보지 않으면
15,0,Nue2a,저것、어디에 도망쳤어!?
16,0,Nue2a,반격 할 수 없다고 말하는거야…!?
17,0,Nue0a,응、예 같은거 말한다고 생각하고 있어!?
18,0,Nue0a,이 녀석은 내가 주목해 있었다는!
19,0,Nue0a,인기 배우의 등장이야!
20,0,Nue0a,너의 상대는 나야!
21,0,Nue0a,뭐 멍하니 하고 있는 것?
22,0,Nue0a,나는、헌신적이다!
23,0,Nue0a,전혀 효과가 없다!
24,0,Nue0a,상대가 되지 않네요!
25,0,Nue0a,대요괴 누에님에게、\n 그런 공격이 통하는 것일까!
26,0,Nue2a,더 이상 정말로 위험하다!
27,0,Nue2a,너희들 같은 것、지고도 참을까!
28,0,Nue2a,이런 일방적인…!
29,0,Nue2a,피하지 못했다인가…
30,0,Nue2a,구、생각했던 것보다 하지 않아!
31,0,Nue2a,이놈도 저놈도!
32,0,Nue2a,화나는 녀석!
33,0,Nue2a,군집해 버려、숨막힐 듯이 더워!
34,0,Nue2a,이대로는 불리할지도…
35,0,Nue2a,방해 하는 것이 아니에요!
36,0,Nue0a,좀 더 나은 공격을 해!
37,0,Nue0a,눈도 마음도 흐리기 때문에、\n 나의 정체를 몰라
38,0,Nue0a,그런 촌티나는 공격、맞지 않아!
39,0,Nue0a,와、간단해!
40,0,Nue0a,남편、맞을 이유 없지요
41,0,Nue0a,그런 것은、\n 나의 정체까지 겨우 도착할 수 없어!
42,0,Nue0a,아하하는、이것이 나의 요력이야!
43,0,Nue0a,이런 것 피하지 않아도!
44,0,Nue0a,그─것와!
45,0,Nue0a,대요괴의 힘、신중히 보는거야!
46,0,Nue0a,그저 조금의 우려에도 기입한다!
47,0,Nue2a,이… 이런 일은…!
48,0,Nue0a,None
49,0,Nue0a,너희들의 상대도 오늘까지!
50,0,Nue0a,두드려 잡아 주기 때문에!
51,0,Nue0a,나는 사람을 무서워하게 하고 싶은 것뿐!
52,0,Nue0a,군집하고 있을 뿐의 무리에게!
53,0,Nue0a,나의 전부터 사라져 없어져!
54,0,Nue0a,그렇게 말한다면 나에게 이겨 보이는거야!
55,0,Nue0a,이것으로 해준다…
55,1,Nue1a,방해!
56,0,Nue0a,건방진 것이야…
56,1,Nue1a,먹어랏!
57,0,Nue0a,누에님에게이빨 향한다면…
57,1,Nue1a,이러하닷!
58,0,Nue0a,관통해 준다…
58,1,Nue1a,그것!
59,0,Nue0a,방해를 하기 때문에…
59,1,Nue1a,이―!
60,0,Nue1a,자、가랏!
61,0,Nue1a,너희들、차례다!
62,0,Nue1a,편대를 짜 담당자인!
