ID,LineID,face,dialog
0,0,Orin0a,값에 노려져、앞은 길지 않다!
1,0,Orin0a,무엇을 우왕좌왕 하고 있는 것이다!
2,0,Orin0a,무사하게 돌려보내는 것일까!
3,0,Orin0a,값에 싸움을 건다고는
4,0,Orin0a,값을 당했던 것이 운이 다하고!
5,0,Orin0a,해 볼까
6,0,Orin0a,여기가 너의 묘지야!
7,0,Orin0a,그런데、사냥감은 너일까!
8,0,Orin0a,오늘도 짐이 무거워지는 와
9,0,Orin0a,전부 발로 차서 흩뜨려 준다!
10,0,Orin0a,일격으로 끝내 준다!
11,0,Orin0a,송사리가、방해 하는 것이 아니야!
12,0,Orin0a,지저의 요괴의 힘을 보여 준다!
13,0,Orin0a,너희들이라니…
14,0,Orin0a,거기를 물러나 받을까!
15,0,Orin0a,나왔던 것이 운이 다하고다!
16,0,Orin0a,드디어、\n 시체 여행다워져 왔지 않은가!
17,0,Orin0a,그런데、놀이는 여기까지는!
18,0,Orin0a,이 정도로 정지하지 않아!
19,0,Orin0a,이제 곧 끝내 준다!
20,0,Orin0a,마지막에 승리좋다!
21,0,Orin1a,창고네、흙,모래를 운반하는 일륜차 부스터─!
22,0,Orin1a,우랴!
23,0,Orin1a,가、끌고 다녀 준다!
24,0,Orin1a,쳐날려 준다!
25,0,Orin1a,물러나!
26,0,Orin1a,돌진이다!
27,0,Orin1a,해준다!
28,0,Orin1a,고양이 킥이다、그것!
29,0,Orin1a,단념할 수 있는 것일까!
30,0,Orin1a,움직임을 읽을 수 없을 것이다!
31,0,Orin1a,방심하면 이 녀석들의 동참이야!
31,1,Orin1a,그것 가라!
31,2,Orin1a,이제 한숨이다!
31,3,Orin0a,좋은 짐이 생겼군요
32,0,Orin1a,자、유희의 시간이야!
32,1,Orin1a,뒤쫓아라!
32,2,Orin1a,아직도 지금부터!
32,3,Orin0a,여기는 값이 받아 간다
33,0,Orin1a,너희들、잘 부탁해!
33,1,Orin1a,자、가세요!
33,2,Orin1a,아직 죽을 수 없어!
33,3,Orin0a,1분、안내~
34,0,Orin1a,좀비 페어리、일어나는거야!
34,1,Orin1a,자、가는거야!
34,2,Orin1a,이런 것이 아니다!
34,3,Orin0a,살고의 좋은 것이 손에 들어 왔군요
35,0,Orin1a,이 녀석들은、말하는 일 (듣)묻지 않아서
35,1,Orin1a,스프린이타!
35,2,Orin1a,해 끝인!
36,0,Orin1a,원한은 이 녀석들에게 힘을 준다…
36,1,Orin1a,스프린이타!
36,2,Orin1a,먹어 끝인!
37,0,Orin1a,드디어 추적해 준다!
37,1,Orin1a,스프린이타!
37,2,Orin1a,이것으로 결정타다!
38,0,Orin0a,고양이라는 것은、제멋대인 것
39,0,Orin0a,응、밀리기 시작했는지
40,0,Orin0a,틈을 찾아내 접근하지 않으면 안 된다
41,0,Orin0a,상대는 수완가같다
42,0,Orin0a,고양이도 원망은 잊지 않는다!
43,0,Orin0a,저 녀석은 값이 옮겨도 좋다는 것이구나!
44,0,Orin0a,마음대로 시켜 받는다!
45,0,Orin0a,어중간하게 하면、위험해!
46,0,Orin0a,두드릴 수 있을 때 두드려 두고 싶다
47,0,Orin0a,이봐요、흙,모래를 운반하는 일륜차로 쳐 버린다!
48,0,Orin0a,노려지고 있다 라고 깨닫지 않는 것인지!?
49,0,Orin0a,값은、이렇게 보여 공연한 참견 구이야
50,0,Orin0a,이 앞에 가게 하지는 않아!
51,0,Orin0a,그러면야、값도 혼합해 주어라
52,0,Orin0a,、로 하고 있는 것이 아니야!
53,0,Orin1a,팔이 좋다는 것을、근처에서 보여 주어라
54,0,Orin1a,값이 끌어당겨 준다!
55,0,Orin1a,그러면야、값도 혼합해 주어라
56,0,Orin1a,화차에 뒤를 맡기다니、유별나다
57,0,Orin1a,적이라면 귀찮지만、\n 아군에게 붙이면 믿음직한 것은 확실하다
58,0,Orin1a,값이 놀래켜 준다!
59,0,Orin1a,여기서 값의 차례구나!
60,0,Orin1a,어느 쪽이 저 녀석을 옮길까、\n 경쟁과 가자!
61,0,Orin0a,아군에게 붙이면 믿음직하다
62,0,Orin0a,값의 등은 맡겼어!
63,0,Orin0a,키스메의 원한은 값이 푼다!
64,0,Orin0a,키스메、값이 받아 버린다!
65,0,Orin0a,키스메로 해서는 어중간하다
66,0,Orin0a,키스메는 시키지 않아!
67,0,Orin0a,키스메、공연한 참견을 굽게 해 받는다!
68,0,Orin1a,그러면야、값도 혼합해 주어라
69,0,Orin1a,키스메、값이 끌어당긴다!
70,0,Orin1a,지저 동료가 아닌가!
71,0,Orin1a,키스메의 방식、옆에서 보여 주어라!
72,0,Orin1a,부탁했어、키스메!
73,0,Orin0a,키스메、어느 쪽의 무기로 옮길까!
74,0,Orin0a,키스메、등은 맡겼어!
75,0,Orin0a,키스메、의지한다!
76,0,Orin0a,야마메의 원한은 값이 푼다!
77,0,Orin0a,야마메、값이 받아 버린다!
78,0,Orin0a,야마메로 해서는 어중간하다
79,0,Orin0a,야마메는 시키지 않아!
80,0,Orin0a,야마메、공연한 참견을 굽게 해 받는다!
81,0,Orin1a,그러면야、값도 혼합해 주어라
82,0,Orin1a,야마메、값이 끌어당긴다!
83,0,Orin1a,지저 동료가 아닌가!
84,0,Orin1a,야마메의 방식、옆에서 보여 주어라!
85,0,Orin1a,부탁했어、야마메!
86,0,Orin0a,야마메、어느 쪽의 무기로 옮길까!
87,0,Orin0a,야마메、등은 맡겼어!
88,0,Orin0a,야마메、의지한다!
89,0,Orin0a,파르시의 원한은 값이 푼다!
90,0,Orin0a,파르시、값이 받아 버린다!
91,0,Orin0a,파르시로 해서는 어중간하다
92,0,Orin0a,파르시는 시키지 않아!
93,0,Orin0a,파르시、공연한 참견을 굽게 해 받는다!
94,0,Orin1a,그러면야、값도 혼합해 주어라
95,0,Orin1a,파르시、값이 끌어당긴다!
96,0,Orin1a,지저 동료가 아닌가!
97,0,Orin1a,파르시의 방식、옆에서 보여 주어라!
98,0,Orin1a,부탁했어、파르시!
99,0,Orin0a,파르시、어느 쪽의 무기로 옮길까!
100,0,Orin0a,파르시、등은 맡겼어!
101,0,Orin0a,파르시、의지한다!
102,0,Orin0a,유기의 원한은 값이 푼다!
103,0,Orin0a,유기、값이 받아 버린다!
104,0,Orin0a,유기로 해서는 어중간하다
105,0,Orin0a,유기는 시키지 않아!
106,0,Orin0a,유기、공연한 참견을 굽게 해 받는다!
107,0,Orin1a,그러면야、값도 혼합해 주어라
108,0,Orin1a,유기、값이 끌어당긴다!
109,0,Orin1a,지저 동료가 아닌가!
110,0,Orin1a,유기의 방식、옆에서 보여 주어라!
111,0,Orin1a,부탁했어、유기!
112,0,Orin0a,유기、어느 쪽의 무기로 옮길까!
113,0,Orin0a,유기、등은 맡겼어!
114,0,Orin0a,유기、의지한다!
115,0,Orin2a,먹지만 당했다고 하는 것인가!?
116,0,Orin0a,먹는、나도 두드려 준다!
117,0,Orin0a,먹는、내가 결정타를 찌른다!
118,0,Orin0a,먹고는 어쩔 수 없기 때문에
119,0,Orin0a,먹고는 조금 쉬어서 말이야!
120,0,Orin1a,먹는、우리로 해준다!
121,0,Orin1a,먹는、값도 있으니까요!
122,0,Orin1a,먹는、값도 계속된다!
123,0,Orin1a,먹는、너가 잡는거야!
124,0,Orin1a,의지하고 있어、먹는다!
125,0,Orin1a,먹는、두 명이라면 가능할 것!
126,0,Orin1a,두는 우노등은 값이 지킨다!
127,0,Orin0a,먹는、너인 만큼 시키지 않아!
128,0,Orin1a,사토리님을 한다고、허락하지 않는다!
129,0,Orin0a,내가 붙어 있어요、사토리님
130,0,Orin0a,사토리님、내가 결정타를!
131,0,Orin0a,사토리님은 값이 지킨다!
132,0,Orin0a,사토리님、위험해요!
133,0,Orin1a,저쪽이에요、사토리님!
134,0,Orin1a,값이 가요、사토리님!
135,0,Orin1a,사토리님、값이 붙어 있습니다!
136,0,Orin1a,값이 저 녀석의 기분을 끌어요!
137,0,Orin1a,사토리님의 앞에 값이 가요!
138,0,Orin0a,사토리님、한사람이 아니에요!
139,0,Orin0a,둘이서 잡아 버립시다、사토리님!
140,0,Orin0a,사토리님의 등은 값이 지킵니다!
141,0,Orin1a,진하고 모양을 한다고、허락하지 않는다!
142,0,Orin0a,나도 있습니다、진하고 모양
143,0,Orin0a,진하고 모양、값이 결정타를!
144,0,Orin0a,진하고 모양은 값이 지킨다!
145,0,Orin0a,진하고 모양、위험해요!
