ID,LineID,face,dialog
0,0,Parsee0a,도망치려고 해도 쓸데없어요
1,0,Parsee0a,너희들 물러나세요
2,0,Parsee0a,잘난체한 녀석들…
3,0,Parsee0a,여기서 헛되이 죽는 것이 좋아요…
4,0,Parsee0a,나는 손대중 같은거 하지 않아요
5,0,Parsee0a,아 이제、\n 부러운도 참 짝이 없다!
6,0,Parsee0a,나의 방해를 할 생각이라면…
7,0,Parsee0a,원한은 없지만、질투는 있어요!
8,0,Parsee0a,너희들은、싫은 것이야
9,0,Parsee0a,이것에서 이기면 좋겠지요!?
10,0,Parsee0a,나의 아픔을 깨닫게 해 주어요!
11,0,Parsee0a,나라도 각오를 결정했어요!
12,0,Parsee0a,이대로는 끝내지 않기 때문에!
13,0,Parsee1a,물어 찢으세요!
14,0,Parsee1a,도망쳐도 쓸데없는 것이야!
15,0,Parsee1a,도망쳐도 쓸데없는 것이야!
16,0,Parsee1a,찢어지고 하세요!
17,0,Parsee0a,초록의 눈의 괴물이야…
18,0,Parsee0a,질투의 무서움을 보여 준다
19,0,Parsee0a,부럽다…
20,0,Parsee0a,저주해 죽여준다…!
21,0,Parsee0a,질투에 미쳐 죽으세요…!
22,0,Parsee1a,안 되는 괴물에 찢어지고 하세요!
23,0,Parsee0a,초록의 눈의 괴물이야…
24,0,Parsee0a,당신에게도 보이겠지요…
24,1,Parsee1a,마음을 삼키는 괴물이!
25,0,Parsee0a,누구의 마음에도 잠복하는 괴물이야…
25,1,Parsee1a,모습을 나타내세요!
26,0,Parsee0a,녹색의 눈을 한 괴물이야…
26,1,Parsee1a,먹어 뜯으세요!
27,0,Parsee0a,자、시작합시다
27,1,Parsee0a,시기해도 시기해도 시기해도…
27,2,Parsee0a,들어가지 않아、이 기분…
27,3,Parsee2a,내던져도…!
27,4,Parsee0a,아직 부족해요…
28,0,Parsee0a,오늘 밤도 축의 각 가…
28,1,Parsee0a,사람을 주구멍 2개…
28,2,Parsee0a,질투、질투의 아가씨도…
28,3,Parsee2a,아、부럽다…!
28,4,Parsee0a,는 、다스려지지 않는다…
29,0,Parsee0a,울분 풀어 준다!
29,1,Parsee0a,오른쪽을 봐도 왼쪽을 봐도…
29,2,Parsee0a,행복한 얼굴(뿐)만…
29,3,Parsee2a,사라지면 좋다!
29,4,Parsee0a,당연한 보답해라
30,0,Parsee0a,엉뚱한 화풀이에서도、상관없어요
30,1,Parsee0a,연락 없으면 술집에 있고…
30,2,Parsee0a,권하면 언제나 술집이고…
30,3,Parsee2a,나와 술、어느 쪽이 소중한 것이야!
30,4,Parsee0a,… 좀 더 상관하세요
31,0,Parsee0a,뭐라고 하는 부러운 싸움일까
32,0,Parsee0a,나에게 공격을 시키지 않는 기분이군요
33,0,Parsee0a,무슨 사정인 것、부러워요
34,0,Parsee0a,소간사하게 싸우지 않은、부러워요
35,0,Parsee0a,나를 감싸다는、부럽다…
36,0,Parsee0a,확실히 잡아요
37,0,Parsee0a,당신에게(뿐)만 활약시키지 않아요!
38,0,Parsee0a,하면 되지요、하면!
39,0,Parsee0a,결정타를 찌르지 않는다니 여유의 생각?
40,0,Parsee0a,나에게 감싸게 하다는、어떤 분이야!?
41,0,Parsee0a,이봐요、물러나세요!
42,0,Parsee0a,당신에게(뿐)만 활약시키지 않아요
43,0,Parsee0a,나에게도、시키세요!
44,0,Parsee0a,사냥감을 독점은… 부럽다
45,0,Parsee0a,나빼고 싸우지 말아요!
46,0,Parsee0a,내가 있는 것、잊지 않겠지요
47,0,Parsee0a,확실히 넘어뜨리는거야!
48,0,Parsee0a,먼저 가요、해 보세요
49,0,Parsee0a,남아 마음대로 움직이지 말아요
50,0,Parsee0a,자、기분을 부딪치는거야!
51,0,Parsee0a,둘이서 저 녀석의 마음을 꺾으러 가요!
52,0,Parsee0a,질투의 기분이 높아져 왔어요…!
53,0,Parsee0a,키스메의 마음의 예쁨이 부러워요…
54,0,Parsee0a,키스메에(뿐)만 활약시키지 않아요!
55,0,Parsee0a,키스메、뒤는 내가 해 주어요
56,0,Parsee0a,키스메、물러나세요!
57,0,Parsee0a,키스메、김이 빠져 있어요!
58,0,Parsee0a,키스메、적을 유도해요!
