ID,LineID,face,dialog
0,0,Patchouli0a,이런 것、향하지 않아요
1,0,Patchouli0a,귀찮고、이것으로 좋네요
2,0,Patchouli0a,모퉁이에서 두드리면 아플 것이야
3,0,Patchouli0a,시간은 들이고 싶지 않아요
4,0,Patchouli0a,답례를 받읍시다
5,0,Patchouli0a,이대로는 끝내지 않아요
6,0,Patchouli0a,나의 마법을 보여 준다
7,0,Patchouli0a,잘 모르는 움직임은 죽음에 연결된다
8,0,Patchouli0a,네─와、\n 눈앞의 적을 효율적으로 넘어뜨리는 방법은…
9,0,Patchouli0a,이것이 마법사의 마법이야
10,0,Patchouli0a,예측 대로에 적이 움직인다면…
11,0,Patchouli0a,수다를 할 생각은 없어요
12,0,Patchouli0a,여기서 결정해 두고 싶네요
13,0,Patchouli0a,상대를 얕잡아 보지 않는 것이 좋네요
14,0,Patchouli0a,소악마、도와 받아요
15,0,Patchouli0a,소악마、여기에 오세요
16,0,Patchouli0a,이것이 나의 비장의 카드야
17,0,Patchouli0a,이 마법을 사용해야 하는 것
18,0,Patchouli0a,최고의 마법을 보여 주어요
19,0,Patchouli0a,… 책이 손상되지만
20,0,Patchouli0a,… 뭐、이 책은 얼룩이 있었고
21,0,Patchouli0a,라고―
22,0,Patchouli1a,불길이야
23,0,Patchouli1a,불의 정령이야、타고
24,0,Patchouli1a,… 책에 불타고 옮기지 않는 정도로
25,0,Patchouli1a,유도성의 체크도 겸해… 와
26,0,Patchouli1a,도망갈 장소는 없어요
27,0,Patchouli1a,전방위 레이저、발사
28,0,Patchouli1a,이 레이저는 당신을 놓치지 않는다
29,0,Patchouli1a,등방적인 것에 \n 방향은 존재하지 않는…\n 즉、논디레크쇼날
30,0,Patchouli1a,… 당신은 조금 시끄럽다
31,0,Patchouli1a,자、머리를 식히는 거네
32,0,Patchouli1a,물의 정령이야、정화해
33,0,Patchouli1a,조금、조용하게 해 받아요
34,0,Patchouli1a,나무의 정령이야、불을 도와라
34,1,Patchouli1a,화＆목부 『포레스트 블레이즈』
35,0,Patchouli1a,당신은 피할 수 없어요
