ID,LineID,face,dialog
0,0,Patchouli0a,더 이상、\n 나의 도서관에서 날뛰게 하지 않는다
1,0,Patchouli4e,… 적당、나가 받아요
2,0,Patchouli0a,… 뭐、실험도 겸해
3,0,Patchouli0a,쥐 잡아 정도、\n 스스로 하지 않으면
4,0,Patchouli0c,네─와、\n 눈앞의 적을 효율적으로 넘어뜨리는 방법은…
5,0,Patchouli4c,… 뭐、이것도 교제중이군요
6,0,Patchouli0a,여기라면 물건이 망가질 걱정은 없네요
7,0,Patchouli1d,당신들에게 상관하고 있을 여유는 없어요
8,0,Patchouli1d,이대로라면、\n 프랑이 밖에 나와 버리는거야!
9,0,Patchouli4f,레미도 참、하필이면 \n 이 녀석들을 기 비비는걸!
10,0,Patchouli0a,외부인은 떠나세요
11,0,Patchouli0a,환상향의 인간은 \n 어떤 마법을 사용할 수 있을까
12,0,Patchouli0c,인간의 마법사、\n 어떤 솜씨인가 보여 받아요
13,0,Patchouli0a,같은 마법사로서 \n 간단하게 뒤쳐질 수 없어요
14,0,Patchouli0c,이 마법사、방심할 수 없네요
15,0,Patchouli0a,갓빠라고 하는 것은 재미있는 것을 만드는 거네
16,0,Patchouli0a,이상한 도구…\n 저것이 과학이라는 것이군요
17,0,Patchouli4c,같은 인간이 사쿠야를 내린다고는
18,0,Patchouli0a,이 마법사의 \n 화력에는 조심해야 하는 것
19,0,Patchouli1d,이 마법사에게는 틈을 보여지지 않는다
20,0,Patchouli0c,그 인형、어떤 마법인 것일까
21,0,Patchouli0a,어떤 도구를 가지고 있을까. \n 아직 예상이 붙지 않아요
22,0,Patchouli0a,도구로부터 한 눈을 팔지 않게 하지 않으면
23,0,Patchouli1d,마리사、\n 이 건에까지 머리를 들이밀지 마
24,0,Patchouli1d,마리사、당신들은 외부인이지요
25,0,Patchouli1d,앨리스、이것이 차선의 방법인 것이야
26,0,Patchouli1d,앨리스、당신들은 외부인이지요
27,0,Patchouli1d,니토리、딴 곳의 일에 \n 말참견을 해야 할 것은 아니에요
28,0,Patchouli1d,니토리、당신들은 외부인이지요
29,0,Patchouli0a,불길이야
30,0,Patchouli0c,불의 정령이야、타고
31,0,Patchouli0a,… 책에 불타고 옮기지 않는 정도로
32,0,Patchouli0a,유도성의 체크도 겸해… 와
