UnitID,ID,LineID,face,dialog
Akyu,56,0,Akyu2b,글자、지병의 적이…\n 뒤로 안정하게 하고 있지 않으면!
Akyu,57,0,Akyu2a,、충분히 노력했군요…\n 뒤는 맡겼습니다!
Akyu,96,0,Akyu3e,여기를… 빠질 수 없었습니다
Alice,233,0,Alice1a,감싸、분명하게 앞을 봐!
Alice,234,0,Alice0c,이봐요、유카에게 칭찬되어지고 싶겠지요?
Alice,237,0,Alice1a,나의 인형에게 무엇을 해!
Alice,238,0,Alice1c,자주(잘) 해 준 원이군요、호라이
Alice_en,40,0,Alice0a,None
Alice_en,160,0,Alice4c,후후후、꽤 기분이 좋네요
Aya,38,0,Aya0c,이 일은、\n 확실히 기사에 하도록 해 받으니까요
Aya,225,0,Aya1b,췌향씨、내가 길을 엽시다!
Aya,226,0,Aya0a,나도 공격하기 때문에 미리 승낙을
Aya,227,0,Aya1b,췌향씨、내가 선도합시다!
Aya,231,0,Aya4a,귀신을 방패로 하다는、\n 텐구의 수치예요!
Aya,232,0,Aya0a,주제넘지만、원호에 들어가게 해 받아요
Aya,233,0,Aya1b,유기씨、원호는 맡겨 주세요!
AyaK,39,0,Aya0c,이 일은、\n 확실히 기사에 하도록 해 받으니까요
AyaK,270,0,Aya0a,내 쪽이 빠른 것에 정해져 있습니다
AyaK,271,0,Aya7b,너무 늦어서、기다릴 수 없었습니다
AyaK,272,0,Aya2b,어머、너무 방심했습니까
AyaK,276,0,Aya0a,아니―、졌습니다. \n 얌전하게 뒤로 내리고 있네요
AyaK,277,0,Aya0c,이 일은 환상향안에 \n 넓은 시켜 받아요
AyaK,278,0,Aya2a,이것은 상정외군요…
Aya_en,29,0,Aya6a,、이런 것이군요
Aya_en,115,0,Aya0c,레이무씨、겨드랑이가 달콤해요
Bakebake_en,16,0,Bakebake0a,……
Byakuren,161,0,Byakuren1a,미마씨、잘 부탁드립니다!
Byakuren,162,0,Byakuren0a,미마씨、모두 싸웁시다
ByakurenH,174,0,ByakurenH2a,거절하지 못할이란…
ByakurenH,175,0,ByakurenH0a,이것으로 기분이 풀렸습니까…?
Byakuren_en,76,0,Byakuren0a,기분이 깃들이지 않는 공격 따위…
Chen,92,0,Chen1a,보라색님、저 녀석이 적이군요!
Chen,93,0,Chen1a,달리는 것이라면 맡겨 주세요!
Chen_en,95,0,Chen0a,이 정도、화내는 있고!
Chen_en,96,0,Chen0a,하면 할 수 있다 라는、\n 란님이 말한 것이니까!
Chen_en,97,0,Chen0a,이 정도 간단해!
Cirno,130,0,Cirno0a,첸、조심하지 않으면 안 돼요!
Cirno,131,0,Cirno0a,첸은 정말、전 밖에 보지 않기 때문에!
Cirno,134,0,Cirno1a,지나쳐、맞지 말아요!
Cirno,135,0,Cirno1a,첸、어느 쪽으로 가?
Cirno_en,138,0,Cirno0a,그런 풋내기!
Cirno_en,141,0,Cirno0a,와와… 아까웠지요!
Cirno_en,142,0,Cirno0a,아、위험했다아
Cirno_en,254,0,Cirno0a,이런 것 낙승잖아!
Daiyosei,153,0,Daiyosei0a,사니짱、나의 힘도 사용해!
Daiyosei,154,0,Daiyosei0a,사니짱、내가 함께 있으니까요!
