ID,LineID,face,dialog
0,0,Lunasa0a,… 이것보다 개막
1,0,Lunasa0a,괜찮다면 들어 가
2,0,Merlin0a,우리의 연주로 해피해지자!
3,0,Merlin0a,자 실전이야、즐겁게 합시다!
4,0,Lyrica0a,내가 없으면 \n 소리가 꼭 죄이지 않는다고!
5,0,Lyrica0a,자、능숙하게 정리해 보여 버리자
6,0,Lunasa0a,대금은 본 돌아오는 길이야
6,1,Lyrica0a,할 수 있으면 많이 갖고 싶지만 말야
7,0,Merlin0a,트리오! 화려하게 결정해 버려~!
7,1,Lyrica0a,너무 엉뚱하게 하지 말아요~?
8,0,Lunasa0a,아직도 라이브는 끝나지 않아요
9,0,Lunasa0a,잡음은、처리할 때까지
10,0,Merlin0a,우리의 연주를 들어 \n 무사할 수 있을까~
11,0,Merlin0a,어떤 때도、\n 해피의 영혼을 잊어서는 안 돼요!
12,0,Lyrica0a,누나、연주에 넣는 느낌?
13,0,Lyrica0a,떠들썩해지는 것은 지금부터
14,0,Lunasa0a,너무 까불며 떠들구나 、안정해
14,1,Merlin0a,르나사 누나는 너무 침착하고―
15,0,Lunasa0a,아무래도 들어 부족한 손님이 있는 것 같네
15,1,Lyrica0a,앵콜에는 응해 주지 않으면!
16,0,Merlin0a,당신에게는 조금 \n 조상태가 되어 받는 것이 좋네요!
16,1,Lunasa0a,집、좀 더 울적함이 되어 받아야 하는 것
17,0,Merlin0a,티켓마다 답례해요~!
17,1,Lyrica0a,대금은 돌려주지 않지만 말야!
18,0,Lyrica0a,당하면 다시하는 것이 매너지요
18,1,Merlin0a,리리카도 알아 왔지 않아!
19,0,Lunasa0a,fortissimo로 연주한다
19,1,Merlin0a,그것은 대이익!
20,0,Merlin0a,두 명에게는 미안하지만、\n 역시 나의 소리가 제일이군요!
20,1,Lunasa0a,우쭐해지지 않도록
21,0,Lyrica0a,여러가지 기억해 새로운 소리를 만드는거야!
21,1,Lunasa0a,좋은 상태이지만、\n 방심은 하지 않도록요
22,0,Lyrica0a,나라도、하면 할 수 있대
22,1,Merlin0a,그러한 것、혼자일 때에 말해 되어
23,0,Lyrica0a,누나、나 대신에 해요
23,1,Lunasa0a,자신의 파트는 스스로 하세요
24,0,Lunasa0a,이 연주도 곧 클라이막스군요
24,1,Merlin0a,서운하지만、어쩔 수 없다!
25,0,Lunasa0a,아직 연주는 계속되어요
25,1,Lyrica0a,누나들은 터프한 것이니까…
26,0,Merlin0a,다 끝까지 떠들지 않으면!
26,1,Lunasa0a,그렇구나、다 끝까지 합시다
27,0,Merlin0a,프리즘 리버 악단에 중지의 \n 2문자는 없어요~
27,1,Lyrica0a,아니、보통에 있겠죠
28,0,Lyrica0a,이것이라도 프로이군!
28,1,Lunasa0a,… 대단하다
29,0,Lyrica0a,이제 뒤로 내리고 싶은 것이지만…\n 그렇게도 말하고 있을 수 없을까
29,1,Merlin0a,당연하지 않은、눌러라~!
30,0,Lunasa0a,지금이야말로、최고의 라이브를…
31,0,Merlin0a,좋아、최고의 라이브로 하자!
32,0,Lyrica0a,누나、지금이 라이브의 최고조군요!
33,0,Lunasa0a,presto… 힘차게
33,1,Merlin0a,그러한 것 자신있다고!
34,0,Lunasa0a,여기가 우리의 무대야
34,1,Lyrica0a,최초부터 날려 가네요!
35,0,Merlin0a,메르란짱의 합피라이브!
35,1,Lunasa0a,… 지금은 세 명이라고 잊어서는 안 된다
36,0,Merlin0a,자꾸자꾸 주어 갑시다!
36,1,Lyrica0a,누나、트바 너무 하다고!
37,0,Lyrica0a,원、투、쓰리!
37,1,Lunasa0a,……
38,0,Lyrica0a,누나들、준비는 좋아?
38,1,Merlin0a,키―、의!
39,0,Merlin0a,자、마음껏 불어요!
39,1,Lyrica0a,퍼져라、우리의 소리!
39,2,Lunasa0a,유령 악단의 진심을 보여요
40,0,Merlin0a,누나、신호는 잘 부탁드립니다!
40,1,Lyrica0a,이 타이밍이지요、누나
40,2,Lunasa0a,예、두 사람 모두 맞추세요
41,0,Merlin0a,가요、두 사람 모두!
41,1,Lyrica0a,OK!
41,2,Lunasa0a,세 명이 힘을 합해요
42,0,Lunasa0a,이것이 우리의 소리의 진면목
42,1,Merlin0a,하늘까지 닿아라、대합장!
