ID,LineID,face,dialog
0,0,Lunasa0a,괜찮다면 들어 가
1,0,Lunasa0a,… 이것보다 개막
2,0,Merlin0a,우리의 연주로 해피에가 되자!
3,0,Merlin0a,자 실전이야、즐겁게 합시다!
4,0,Lyrica0a,내가 없으면 \n 소리가 꼭 죄이지 않는다고!
5,0,Lyrica0a,자、능숙하게 정리해 보여 버리자
6,0,Lunasa0a,아무래도 들어 부족한 \n 손님이 있는 것 같네
7,0,Lunasa0a,아직도 라이브는 끝나지 않아요
8,0,Merlin0a,우리의 연주를 들어 \n 무사할 수 있을까~
9,0,Merlin0a,어떤 때도、\n 해피의 영혼을 잊어서는 안 돼요
10,0,Lyrica0a,누나、연주에 넣는 느낌?
11,0,Lyrica0a,당하면、다시하자
12,0,Lunasa0a,presto… 힘차게
12,1,Merlin0a,그러한 것 자신있다고!
13,0,Lunasa0a,여기가 우리의 무대야
13,1,Lyrica0a,최초부터 날려 가네요!
14,0,Merlin0a,메르란짱의 합피라이브!
14,1,Lunasa0a,… 지금은 세 명이라고 잊어서는 안 된다
15,0,Merlin0a,자꾸자꾸 주어 갑시다!
15,1,Lyrica0a,누나、트바 너무 하다고!
16,0,Lyrica0a,원、투、쓰리!
16,1,Lunasa0a,……
17,0,Lyrica0a,누나들、준비는 좋아?
17,1,Merlin0a,키―、의!
18,0,Merlin0a,자、마음껏 불어요!
18,1,Lyrica0a,퍼져라、우리의 소리!
18,2,Lunasa0a,유령 악단의 진심을 보여요
19,0,Merlin0a,누나、신호는 잘 부탁드립니다!
19,1,Lyrica0a,이 타이밍이지요、누나
19,2,Lunasa0a,예、두 사람 모두 맞추세요
20,0,Merlin0a,가요、두 사람 모두!
20,1,Lyrica0a,OK!
20,2,Lunasa0a,세 명이 힘을 합해요
21,0,Lunasa0a,이것이 우리의 소리의 진면목
21,1,Merlin0a,하늘까지 닿아라、대합장!
21,2,Lyrica0a,소리가 흘러넘친다…!
21,3,Lunasa0a,만끽해 받을 수 있었을까
22,0,Merlin0a,두 사람 모두、소리를 맞춥시다
22,1,Lyrica0a,돌아라、소리의 대활약!
22,2,Lunasa0a,소리를 발해요…!
22,3,Merlin0a,있고―、시원해졌다
23,0,Lyrica0a,누나、저것을 하자!
23,1,Lunasa0a,영향을 주어라、합주 협주곡
23,2,Merlin0a,해 버려라―!
23,3,Lyrica0a,과연 우리구나
24,0,Lunasa0a,다음의 연주의 준비를 해 둬
25,0,Merlin0a,가끔 씩은 쉬지 않으면~
26,0,Lyrica0a,이래서야 연주할 수 없잖아
27,0,Lunasa0a,… 듣는 관심이 없으면、돌아가면 좋겠다
28,0,Merlin0a,마음을 움직일 수 없는 소리에 뭔가 \n 흥미는 없어요
29,0,Lyrica0a,어머、어떻게 하는 누나
30,0,Merlin0a,네 명 분의 대음량으로、\n 휙 날려 버리자!
31,0,Lunasa0a,여기는 우리가 돕는다
32,0,Merlin0a,여기서 설마의 사프라이즉!
32,1,Lyrica0a,조금、무리하지 말아요
