ID,LineID,face,dialog
0,0,Ran0a,반격을 하는 타이밍이구나
1,0,Ran0a,이것으로 결말을 짓자
2,0,Ran0a,설마、다 도망칠 수 있으면 \n 생각하고 있던 것이 아닐 것이다?
3,0,Ran0a,다음은 이쪽의 차례다
4,0,Ran0a,나의 솜씨를 보여 주자
5,0,Ran0a,신속히 정리하고 싶은 곳이다
6,0,Ran0a,어떤 상대일거라고 하는 것은 변함없다
7,0,Ran0a,최저한의 공격으로 끝낸다
8,0,Ran0a,그런데、각오를 해 받을까
9,0,Ran0a,굉장한 상대는 아닌 것 같지만…
10,0,Ran0a,나의 상대가 너로 감당해낼까
11,0,Ran0a,팔손이나무처에서、너의 막힘이다
12,0,Ran0a,최선을 다하는、다만 그것뿐이다!
13,0,Ran0a,명령을 완수하기 (위해)때문에、질 수 없다…!
14,0,Ran0a,꽤 애먹였지만、여기까지다!
15,0,Ran0a,이런 전황이 되는 일도、\n 계산중이다
16,0,Ran1a,너무 늦데!
17,0,Ran1a,거기다!
18,0,Ran1a,틈투성이다!
19,0,Ran0a,보다 빠르게、그렇게 생각하면 그렇게 될 수 있다
20,0,Ran0a,이것으로 상대를 해 주자
21,0,Ran0a,어떻게 대처할까 볼만하다
22,0,Ran0a,빛이야、내뿜어라
23,0,Ran0a,주고 받아 보였으면 좋지만
24,0,Ran0a,꼭 좋은 위치에 굳어지고 있네요
25,0,Ran0a,가끔 씩은 욕심을 부리는 것도 나쁘지 않다
26,0,Ran0a,정리해 정리하지 않겠는가
27,0,Ran1a,도망쳐도 쓸데없는 일이다
28,0,Ran0a,계약과는、제약 대신에 \n 큰 혜택을 가져온다…
28,1,Ran0a,그리고 분에 지난 계약은 \n 그 신세를 망친다…
29,0,Ran0a,구미[九尾]의 힘、보이지 않겠는가
29,1,Ran0a,여기로부터가 실전이다!
30,0,Ran0a,밖의 세계에서는、\n 호리를 호출하는 것은 놀이라고 (듣)묻지만…
30,1,Ran0a,실로 죽음을 두려워하지 않음이다!
31,0,Ran0a,첸、여기에 오세요
31,1,Ran0a,좋다、나의 말하는 대로 움직인다
31,2,Chen0a,네、란님!
31,3,Ran0a,빙의、식신 『첸』!
31,4,Ran0a,동시 공격、미스는 할 수 없다!
31,5,Chen0a,양해[了解]입니닷!
31,6,Ran1a,도!
31,7,Chen1a,응!
31,8,Ran1a,격!
31,9,Ran1a,요들발호!
31,10,Chen2a,도대체…
31,11,Ran0a,응、식이 약했을까나
32,0,Ran0a,첸、준비를 하세요
32,1,Ran0a,연습대로에 하면 괜찮다
32,2,Chen0a,가 、노력하겠습니다!
32,3,Ran0a,패턴 『첸』、개시!
32,4,Ran0a,연속 충돌 콤비 네이션…
32,5,Ran0a,인게이지!
32,6,Ran1a,원!
32,7,Chen1a,투!
32,8,Ran1a,쓰리!
32,9,Ran1a,끝이다!
32,10,Chen2a,들 、란님 미안해요…
32,11,Ran0a,이제、첸은 믿음직스럽지 못하구나
33,0,Ran0a,첸、여기로 와
33,1,Ran0a,명령을 주는、충실히 움직인다
33,2,Chen0a,나라도 식신이다!
33,3,Ran0a,식신 『첸』、아크티베이트!
33,4,Ran0a,동기 확인… 가라!
33,5,Chen0a,네、뜁니다!
33,6,Ran1a,어택!
33,7,Chen1a,히트!
33,8,Chen1a,다시 한번!
33,9,Ran0a,상황 종료、자주(잘) 했다
33,10,Chen2a,들 、란님 미안해요…
33,11,Ran0a,이제、첸은 믿음직스럽지 못하구나
34,0,Ran0a,조금 모습을 보자
35,0,Ran0a,회피에 사무칠 필요가 있구나
36,0,Ran0a,상대를 잃는다고는、실태다…
37,0,Ran0a,무리하게 공격해도 맞지 않는가
38,0,Ran0a,잘도 해 주었군!
39,0,Ran0a,조력 하자、내리고 있어 줘
40,0,Ran0a,후의 일은 맡겨 줘
41,0,Ran0a,효율적으로 수고를 늘려 가자
42,0,Ran0a,내가 받는 것이 빠른 것 같다
43,0,Ran0a,아군은 지키도록(듯이)、명령을 받고 있다
44,0,Ran0a,지원을 하는、마무리는 부탁했어
45,0,Ran0a,그 쪽의 움직임도 계산에 넣고 있다
46,0,Ran0a,목표는 녀석이구나、현명한 판단이다
47,0,Ran0a,나에 맞추어 공격하면 된다
48,0,Ran0a,그 쪽을 보조하도록(듯이)、명령을 받고 있다
49,0,Ran0a,표적은 정해졌는지?
50,0,Ran0a,좋을 것이다、이쪽도 맞춘다
51,0,Ran0a,나에게 맡겨 준다면 좋다
52,0,Ran0a,효율적으로 수고를 늘려 가자
53,0,Ran0a,일격 맞히면 충분할 것이다
54,0,Ran0a,공격을 집중시키자
55,0,Ran0a,여기서 전력인가、현명한 판단이다
56,0,Ran0a,자님의 생명에 따라、너에게 맡기자
57,0,Ran0a,여기서 마무리와 가지 않겠는가
58,0,Ran0a,죽인다
59,0,Ran0a,좋겠어 첸、\n 지금부터 모범을 보이니까요
60,0,Ran0a,첸도、저것 정도 \n 혼자서 넘어뜨릴 수 있도록(듯이) 안 되면
61,0,Ran1a,첸에게 무엇을 하고 있다…!
62,0,Ran1a,내가 있다고도 알지 못하고、어리석은 놈
