ID,LineID,face,dialog
0,0,Ran0a,첸을 괴롭힌 녀석들에게는 \n 상응하는 보답을 받는다
1,0,Ran0a,내가 상대를 하는 동안도 아니겠지만…
2,0,Ran0a,첸을 괴롭힌 녀석들에게는 \n 상응하는 보답을 받는다
3,0,Ran0a,이변 조사에 관해서는 \n 수고 하셨습니다… 라고 말하고 싶은 곳이지만
4,0,Ran0a,그런데、누가 지저에 들어간 사람일까…
5,0,Ran0a,너희들의 힘、보여 받자
6,0,Ran0a,이변 조사의 방해를 할 생각은 없겠지만…
7,0,Ran0a,첸을 괴롭힌 녀석들에게는 \n 상응하는 보답을 받는다
8,0,Ran0a,나를 넘어뜨리지 않으면、\n 자님의 곁으로는 겨우 도착할 수 없어
9,0,Ran0a,너희들의 힘、보여 받자
10,0,Ran0a,이것도 자님의 생명이다
11,0,Ran1a,너무 늦데!
12,0,Ran1a,거기다!
13,0,Ran0a,보다 빠르게、그렇게 생각하면 그렇게 될 수 있다
14,0,Ran0a,이것으로 상대를 해 주자
15,0,Ran0a,빛이야、내뿜어라
16,0,Ran0a,주고 받아 보였으면 좋지만
17,0,Ran0a,꼭 좋은 위치에 굳어지고 있네요
18,0,Ran0a,정리해 정리하지 않겠는가
19,0,Ran1a,도망쳐도 쓸데없는 일이다
20,0,Ran0a,계약과는、제약 대신에 \n 큰 혜택을 가져온다…
20,1,Ran0a,그리고 분에 지난 계약은 \n 그 신세를 망친다…
21,0,Ran0a,구미[九尾]의 힘、보이지 않겠는가
21,1,Ran0a,여기로부터가 실전이다!
22,0,Ran0a,밖의 세계에서는、\n 호리를 호출하는 것은 놀이라고 (듣)묻지만…
22,1,Ran0a,실로 죽음을 두려워하지 않음이다!
23,0,Ran0a,회피에 사무칠 필요가 있구나
24,0,Ran0a,조금 모습을 보자
25,0,Ran0a,무리하게 공격해도 맞지 않는가
26,0,Ran0a,사정외로부터의 공격이란…
27,0,Ran0a,잘도 해 주었군!
28,0,Ran0a,죽인다
29,0,Ran0a,나부터도 한 방법 더하자
30,0,Ran0a,효율적으로 수고를 늘려 가자
31,0,Ran0a,첸도、저것 정도 \n 혼자서 넘어뜨릴 수 있도록(듯이) 안 되면
32,0,Ran0a,좋겠어 첸、\n 지금부터 모범을 보이니까요
33,0,Ran0a,원호하는、자님
34,0,Ran0a,자님의 명령대로…
35,0,Ran0a,아군을 지키도록(듯이)、명령을 받고 있다
36,0,Ran0a,내가 받는 것이 빠른 것 같다
37,0,Ran0a,살아 돌아갈 수 있다고 생각하지마
38,0,Ran0a,첸에게 무엇을 하고 있다…!
39,0,Ran0a,첸은 믿음직스럽지 못하기 때문에…
40,0,Ran0a,자님이 받을 것도 없습니다
41,0,Ran0a,그 정도로는、보라색님이 닿지 않아
42,0,Ran0a,확실히 맞혀 오는、좋은 목적이다
43,0,Ran2a,생각했던 것보다 유행하는 것 같다
44,0,Ran2a,맞아 버린다고는…
45,0,Ran0a,이 정도、막아 보이자
46,0,Ran0a,좋은 팔을 하고 있네요
47,0,Ran0a,목적은 나쁘지 않다
48,0,Ran0a,유감이었지
49,0,Ran0a,상대의 움직임을 계산하는 것이구나
50,0,Ran0a,조금 헛됨이 많은 듯 하다
51,0,Ran0a,미숙한 공격이다、피할 필요도 없다
52,0,Ran0a,유감이지만、그러면 통하지 않는다
53,0,Ran0a,설마、이 정도와는
54,0,Ran0a,그럼、이쪽도 다음의 지폐를 자르자
55,0,Ran0a,응、계산 대로다
56,0,Ran0a,계산 이상이다、평가를 고치자
57,0,Ran2a,여기까지 한다고는、과연이야
58,0,Ran0a,None
59,0,Ran0a,자님、먼저 돌아오고 있습니다
60,0,Ran0a,반격을 하는 타이밍이구나
61,0,Ran0a,이것으로 결말을 짓자
62,0,Ran0a,설마、다 도망칠 수 있으면 \n 생각하고 있던 것이 아닐 것이다?
63,0,Ran0a,다음은 이쪽의 차례다
64,0,Ran0a,나의 솜씨를 보여 주자
65,0,Ran0a,원래 방심은 하고 있지 않겠지만…
66,0,Ran0a,경계해야 할 상대인 것 같다
67,0,Ran0a,신속히 정리하고 싶은 곳이다
68,0,Ran0a,누가 상대일거라고 하는 것은 변함없다
