ID,LineID,face,dialog
0,0,Reimu1a,우선은 눈앞의 장해로부터!
1,0,Reimu1a,꼭 좋은 곳에 나왔군요!
2,0,Reimu1a,너는 얌전하게 해 주세요!
3,0,Reimu0a,나쁘지만 잡게 해 받아요!
4,0,Reimu0a,사、처를 서두르고 있는거네요
5,0,Reimu0a,지금、편하게 해 주어요!
6,0,Reimu0a,너무 우쭐해지고 있는 것이 아니에요!
7,0,Reimu0a,당하면 다시한다!
8,0,Reimu0a,빨리 당해 주지 않을까
9,0,Reimu0a,손을 대는 상대를 오인했군요!
10,0,Reimu0a,너희들에게 상관하고 있는 시간은 없는거야!
11,0,Reimu0a,놓친다고 생각하지 말아요!
12,0,Reimu0a,너 건방지구나
13,0,Reimu0a,잘도 방해 해 주었군요!
14,0,Reimu0a,그쪽으로부터 와 준다고는!
15,0,Reimu0a,눈앞에 나왔군요!
16,0,Reimu0a,나에게 이길 수 있을 이유 없어요
17,0,Reimu0a,나의 일은 요마 조복[調伏]!
18,0,Reimu0a,한다 라고 하면、\n 할 때도 아무튼 아무튼 있어!
19,0,Reimu0a,나는 눈이 좋으니까!
20,0,Reimu0a,빨리 넘어뜨려、차 한 잔 하고 싶네요
21,0,Reimu1a,조금 벌주지 않으면 \n 안 되네요!
22,0,Reimu0a,송사리가 우쭐해지는 것이 아니야!
23,0,Reimu0a,이런 곳에서、\n 꾸물꾸물 하고 있을 수 없는거야!
24,0,Reimu1a,빨리 정리해요!
25,0,Reimu1a,이대로는、맛이 없으니까!
26,0,Reimu1a,… 여기서 떨어뜨리게 해 받아요!
27,0,Reimu1a,더 이상은 시키지 않는다!
28,0,Reimu1a,여기로부터가 실전이야!
29,0,Reimu1a,거기!
30,0,Reimu1a,인색하들 해 주어요!
31,0,Reimu1a,방해야!
32,0,Reimu1a,물러나세요!
33,0,Reimu1a,정면으로 나왔다! 지금!
34,0,Reimu1a,보이고 있는거야!
35,0,Reimu1a,너 같은거 일격이야!
36,0,Reimu1a,피할 수 있는 것이라면、\n 피해 보세요!
37,0,Reimu1a,이런 것은 어때?
38,0,Reimu1a,음양구슬을 내던져 주어요!
39,0,Reimu1a,하쿠레이의 무녀는 겉멋이 아니다!
40,0,Reimu0a,너를、\n 결계의 사이에 떨어뜨린다!
40,1,Reimu1a,몽부 『봉마진』!
41,0,Reimu0a,늦어요、받아!
