ID,LineID,face,dialog
0,0,Reimu1a,우선은 눈앞의 장해로부터!
1,0,Reimu1a,꼭 좋은 곳에 나왔군요!
2,0,Reimu1a,너는 얌전하게 해 주세요!
3,0,Reimu0a,나쁘지만 잡게 해 받아요!
4,0,Reimu0a,사、처를 서두르고 있는거네요
5,0,Reimu0a,지금、편하게 해 주어요!
6,0,Reimu0a,너무 우쭐해지고 있는 것이 아니에요!
7,0,Reimu0a,당하면 다시한다!
8,0,Reimu0a,빨리 당해 주지 않을까
9,0,Reimu0a,손을 대는 상대를 오인했군요!
10,0,Reimu0a,너희들에게 상관하고 있는 시간은 없는거야!
11,0,Reimu0a,놓친다고 생각하지 말아요!
12,0,Reimu0a,너 건방지구나
13,0,Reimu0a,잘도 방해 해 주었군요!
14,0,Reimu0a,그쪽으로부터 와 준다고는!
15,0,Reimu0a,슬슬 끝냅시다
16,0,Reimu0a,눈앞에 나왔군요!
17,0,Reimu1a,어디에서라도、걸려 오세요!
18,0,Reimu0a,놀고 있는 여유는 없는거야!
19,0,Reimu0a,나의 일은 요마 조복[調伏]!
20,0,Reimu0a,한다 라고 하면、\n 할 때도 아무튼 아무튼 있어!
21,0,Reimu0a,나는 눈이 좋으니까!
22,0,Reimu0a,빨리 넘어뜨려、차 한 잔 하고 싶네요
23,0,Reimu1a,조금 벌주지 않으면 \n 안 되네요!
24,0,Reimu0a,송사리가 우쭐해지는 것이 아니야!
25,0,Reimu0a,이런 곳에서、\n 꾸물꾸물 하고 있을 수 없는거야!
26,0,Reimu1a,빨리 정리해요!
27,0,Reimu1a,도망칠 생각은 없는거야!
28,0,Reimu1a,지고 있을 수 없는거야!
29,0,Reimu1a,이대로는、맛이 없으니까!
30,0,Reimu1a,… 여기서 떨어뜨리게 해 받아요!
31,0,Reimu1a,실패할 생각은 없어요!
32,0,Reimu1a,더 이상은 시키지 않는다!
33,0,Reimu1a,여기로부터가 실전이야!
34,0,Reimu1a,틈투성이!
35,0,Reimu1a,문답 무용!
36,0,Reimu1a,그런 우뚝선 자세다!
37,0,Reimu1a,거리를 채워…!
38,0,Reimu1a,어디를 보고 있는거야!
39,0,Reimu1a,놓치는 것입니까!
40,0,Reimu1a,이것이라면 제외하지 않는다!
41,0,Reimu1a,이것을 사용하면!
42,0,Reimu1a,조금 정도 멀어도!
43,0,Reimu1a,늦어、거기!
