ID,LineID,face,dialog
0,0,Reimu0a,사실은 이변 해결을 \n 하지 않으면 안 되지만…
1,0,Reimu0a,빨리 끝마쳐、\n 차 한 잔 하고 싶네요
2,0,Reimu0a,나는 손대중 하지 않아요!
3,0,Reimu0a,여기를 알아차렸어? \n 그렇지만、이미 늦은거야!
4,0,Reimu1a,나라도 질 생각은 없는거야!
5,0,Reimu1a,더 이상은 시키지 않는다!
6,0,Reimu1a,여기로부터가 실전이야!
7,0,Reimu1a,틈투성이!
8,0,Reimu1a,문답 무용!
9,0,Reimu1a,그런 우뚝선 자세다!
10,0,Reimu1a,거리를 채워…!
11,0,Reimu1a,어디를 보고 있는거야!
12,0,Reimu1a,놓치는 것입니까!
13,0,Reimu1a,이것을 사용하면!
14,0,Reimu1a,조금 정도 멀어도!
15,0,Reimu1a,늦어、거기!
16,0,Reimu1a,아뮬렛、닿을 것!
17,0,Reimu1a,봉마 하리에서 퇴치하고 해 주어요!
17,1,Reimu1a,바닥 시세!
18,0,Reimu1a,맞히러 가 주어요!
18,1,Reimu1a,거기!
19,0,Reimu1a,조금 정도 대략적이다고!
19,1,Reimu1a,거기!
20,0,Reimu1a,이것이 평소의 무기군요!
20,1,Reimu1a,지금!
21,0,Reimu1a,앞에 나온 것이라면!
21,1,Reimu1a,거기!
22,0,Reimu1a,힘밀기로 가요!
22,1,Reimu1a,나오세요、음양 귀신구슬!
22,2,Reimu1a,무너지세요!
23,0,Reimu1a,이것이라면 일격으로!
23,1,Reimu1a,나오세요、귀신구슬!
23,2,Reimu1a,거기야!
24,0,Reimu1a,이것을 사용해요!
24,1,Reimu1a,음양 귀신구슬!
24,2,Reimu1a,무너지세요!
25,0,Reimu1a,이런 것은 어때?
25,1,Reimu1a,되물리칠 수 있는 것이라면…
25,2,Reimu1a,되물리칠 수 있는 것이라면…\n 해 보세요!
26,0,Reimu1a,우리 보구를 보여 준다!
26,1,Reimu1a,음양 귀신구슬!
26,2,Reimu1a,도망칠 수 없어요!
27,0,Reimu1a,하쿠레이의 무녀의 힘、보여 준다!
27,1,Reimu1a,탄막결계야!
27,2,Reimu1a,가세요!
27,3,Reimu1a,일곡!
28,0,Reimu1a,소중히 간직함의 탄막이야!
28,1,Reimu1a,『하쿠레이 탄막결계』!
28,2,Reimu1a,가세요!
28,3,Reimu1a,일곡!
29,0,Reimu1a,가요、탄막결계!
29,1,Reimu1a,이 결계를 단념할 수 있을까…
29,2,Reimu1a,가세요!
29,3,Reimu1a,감쪽같이 빠져 있었군요!
30,0,Reimu1a,너는 내가 봉인한다!
30,1,Reimu1a,보이고 있는거야!
30,2,Reimu1a,일곡!
30,3,Reimu0a,아휴、한가지 일이었네요
31,0,Reimu1a,곧바로 봉인해 주어요!
31,1,Reimu1a,잡았다!
31,2,Reimu1a,이!
31,3,Reimu0a,오름이라는 것
32,0,Reimu1a,봉마도구의 진수 성찬이야!
32,1,Reimu1a,파악했닷!
32,2,Reimu1a,일곡!
32,3,Reimu0a,아휴、지쳤군요
33,0,Reimu5a,자、각오 하세요!
33,1,Reimu5a,『몽상 천생』
34,0,Reimu0c,『궁극 오의』、해줘요
34,1,Reimu5a,……
35,0,Reimu0c,해요、『궁극 오의』!
35,1,Reimu5a,『몽상 천생』
36,0,Reimu0a,탄막의 본분은 피하는 것이야?
37,0,Reimu0a,지금은 피할 수 밖에 없네요…
38,0,Reimu0a,뭔가 아니꼽구나. 그렇다고 할까、아니꼽구나
39,0,Reimu1a,현재는 용서 해 주어요!
40,0,Reimu0a,아―、음울하다…
41,0,Reimu0a,텐션 내리는구나
42,0,Reimu0a,닿지 않는、인가…
43,0,Reimu2a,아 이제、하필이면 \n 닿지 않는다니!
44,0,Reimu0a,아、어? 어디 가는 거야?
45,0,Reimu0a,도망치는 발걸음만은 칭찬해 주어요
46,0,Reimu0a,나쁘네요. \n 너의 분의 빌린 것은 돌려주어 두어요
47,0,Reimu1a,계속해 가요!
48,0,Reimu0a,몰래 앞지르기는 허락하지 않아요
49,0,Reimu0a,내려、내가 해요!
50,0,Reimu0a,분명하게 잡으세요!
51,0,Reimu0a,하는 김에 이것도 먹으세요!
52,0,Reimu0a,빈틈없이 정리해요!
53,0,Reimu0a,떨어뜨릴 수 없으면、곧 내린다!
54,0,Reimu0a,아직 끝나지 않아요!
55,0,Reimu0a,이 기세라면 할 수 있어요…!
56,0,Reimu0a,나도 좋아하게 시켜 받아요!
57,0,Reimu0a,아직도、이제 일격!
58,0,Reimu0a,조금 너무 긴장을 늦추는 것이 아니야?
59,0,Reimu0a,수고 걸게 하지 않고군요
60,0,Reimu0a,의지가 없으면 돌아가면?
61,0,Reimu1a,조금、괜찮아?
62,0,Reimu2a,췌향!? \n 너가 그렇게 필사적으로 되는 것은 \n 없을텐데…
63,0,Reimu1a,이 적이나 나도、\n 너가 아츠무의 것이지 않겠지요
64,0,Reimu1a,췌향、떨어뜨릴 수 있지 않잖아!
65,0,Reimu1a,조금 췌향、\n 술이 너무 깊은 것이 아니야!?
66,0,Reimu0a,어째서 내가 췌향을 감싸고 있는 것이든지…
67,0,Reimu2a,… 자신으로부터 떨어지다는、\n 그런 것은 기자 실격이 아니다
68,0,Reimu0a,과연 교란시키는 것은 이익같구나
69,0,Reimu1a,문장、기세를 타게 해 받아요!
70,0,Reimu0a,사진에 열중해、\n 적이 보이지 않은 것이 아니야?
71,0,Reimu1a,문장、여유를 너무 보였어!
72,0,Reimu2a,사나에!? \n 내가 방심하고 있어도─의!?
73,0,Reimu1a,사나에、분명하게 떨어뜨리세요!
74,0,Reimu1a,사나에、기세를 타게 해 받아요!
75,0,Reimu1a,사나에、상대에게 읽혀지고 있어요!
76,0,Reimu1a,사나에、뿌옇게 하고 있는 것이지 않아!
77,0,Reimu2a,누가 보라색에 그런 일을 \n 부탁했다고 하는거야…!
78,0,Reimu0a,보라색、분명하게 잡으세요!
79,0,Reimu0a,보라색、이런 녀석은 빨리 떨어뜨려요
80,0,Reimu0a,보라색、분명하게 떨어뜨리세요!
81,0,Reimu1a,자、하를 하고 있는거야!
82,0,Reimu1a,보라색、여유를 너무 보였어
83,0,Reimu0a,왜、벌써 끝!?
84,0,Reimu0a,다시 해 오는 거네!
85,0,Reimu0a,어? 뭔가 했어?
86,0,Reimu0a,별로 어떻게라는 일 없네요
87,0,Reimu0a,、이런 것이군요
88,0,Reimu0a,좀 더 격렬한 공격에서도 좋아요
89,0,Reimu2a,이런 건 찰과상이야!
90,0,Reimu2a,응、별일 아니네요!
91,0,Reimu2a,…! \n 각오는 되어있겠지요!
92,0,Reimu2a,있고、언젠가 벌을 받기 때문에!
93,0,Reimu2a,나쁜 패턴일지도…
94,0,Reimu2a,구、이래서야 져 버리지 않아…!
95,0,Reimu2a,、어떻게 되어 있어―!?
96,0,Reimu2a,여기가 불리하다는 것…
97,0,Reimu2a,아휴、갔군요…
98,0,Reimu2a,조금 조금!
99,0,Reimu2a,뭐 하는거야!
100,0,Reimu2a,구、의외로 하지 않아!
101,0,Reimu2a,이제、어째서 이렇게 되는거야!
102,0,Reimu2a,해냈군요!
103,0,Reimu2a,쿳! 큰일났다!
104,0,Reimu2a,쿳! 빠르다!
105,0,Reimu2a,피할 수 없다는!
106,0,Reimu2a,… 꽤 할 수 있어요
107,0,Reimu2a,피할 수 없다!? 그렇다면…!
108,0,Reimu2a,적당히 했으면 좋아요
109,0,Reimu0a,곤란하기 때문 그만두어 주지 않겠어?
110,0,Reimu2a,응. \n 조금 너무 무리했는지
111,0,Reimu2a,여기서 뒤에는 물러날 수 없네요!
112,0,Reimu2a,당한 채로는 끝내지 않아요!
113,0,Reimu0a,가볍다 가볍다!
