ID,LineID,face,dialog
0,0,Reisen0a,여기로부터 걸면、반격 될지도…
1,0,Reisen0a,총격당하면 공격해 돌려주지 않으면!
2,0,Reisen0a,나도、면월님의 애완동물인 것이니까!
3,0,Reisen0a,훈련 대로에 하면 좋은거야!
4,0,Reisen0a,어떻게든、좋은 곳 보이지 않으면!
5,0,Reisen1a,단순한 검이 아니니까!
5,1,Reisen1a,받았다!
6,0,Reisen1a,에너지 충분히、블레이드 내요!
6,1,Reisen1a,받음!
7,0,Reisen1a,레、레이저 블레이드!
7,1,Reisen1a,맞아!
8,0,Reisen1a,맞으면 다 구울 수 있어요!
8,1,Reisen1a,받음!
9,0,Reisen1a,수격맞는닷!
10,0,Reisen1a,연사 모드로 해 공격하면…!
11,0,Reisen1a,탄창 세트… 파이어!
12,0,Reisen1a,잔탄 충분히! 이것이라면!
13,0,Reisen1a,이것이 달의 탄막이야! … 랄까
14,0,Reisen1a,사격 훈련의 평가는 B!
15,0,Reisen0a,나라도 할 수 있을 것!
15,1,Reisen1a,있는 최대한을 발사한다!
15,2,Reisen1a,있는 최대한을 발사한다!
15,3,Reisen1a,이것으로 결정타야!
15,4,Reisen1a,상당히 능숙하게 말했군요…!
16,0,Reisen0a,간단한 환각이라면…!
16,1,Reisen1a,지금이다、연사!
16,2,Reisen1a,이대로 돌진한다!
16,3,Reisen1a,이것으로 결정해요!
16,4,Reisen1a,전투 종료…!
17,0,Reisen0a,뒤를 취하는 정도라면…!
17,1,Reisen1a,모드、개틀링!
17,2,Reisen1a,타겟、락!
17,3,Reisen1a,레이저 모드、슛!
17,4,Reisen1a,좋아、리로드… 리로드…
18,0,Reisen0a,달의 최신 병기로…!
18,1,Reisen0a,새틀라이트、링크!
18,2,Reisen0a,조준은 내가…!
18,3,Reisen0a,최대 망원、좋아!
18,4,Reisen1a,파이악!
19,0,Reisen0a,저것으로 단번에 정리를 한다!
19,1,Reisen0a,달대지 유도 미사일、기동!
19,2,Reisen0a,동기 확인、조준 맞추어라…!
19,3,Reisen0a,지금이라면 맞힐 수 있다!
19,4,Reisen1a,트리거!
20,0,Reisen0a,사용 허가는 나와 있는거야!
20,1,Reisen0a,미사일 발사 기지、응답해!
20,2,Reisen0a,리모트 트리거、접속 완료!
20,3,Reisen0a,타겟、인 사이트!
20,4,Reisen1a,발사!
21,0,Reisen2a,、도와―!
22,0,Reisen2c,적이 안보인다―!
23,0,Reisen0a,아휴、내가 아니고 좋았다…
24,0,Reisen0a,전위에 잇고―!
25,0,Reisen0a,뒤로 원호라면、얼마든지!
26,0,Reisen0a,여기서 나오지 않으면 토끼가 쓸모없게 된다!
27,0,Reisen0a,아、위험하다!
